Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
3,3:13,1,10,OAK 15,7,20,LeSean McCoy right tackle for 7 yards (tackle by Shalom Luani),4.580,5.220
3,2:35,2,3,OAK 8,7,20,Tyrod Taylor pass complete short middle to LeSean McCoy for 4 yards (tackle by NaVorro Bowman),5.220,6.280
3,1:58,1,4,OAK 4,7,20,LeSean McCoy left guard for 3 yards (tackle by Reggie Nelson and NaVorro Bowman),6.280,5.910
3,1:25,2,1,OAK 1,7,20,LeSean McCoy left guard for -1 yards (tackle by Reggie Nelson and NaVorro Bowman),5.910,4.950
3,0:49,3,2,OAK 2,7,20,LeSean McCoy middle for 1 yard (tackle by NaVorro Bowman and Reggie Nelson),4.950,3.550
3,0:15,4,1,OAK 1,7,20,Penalty on NaVorro Bowman: Encroachment (no play),3.550,3.550
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,OAK 1,7,26,"Tyrod Taylor middle for 1 yard, touchdown",3.550,7.000
4,14:57,,,OAK 15,7,27,"Steven Hauschka kicks extra point good. Penalty on Steven Hauschka: Delay of Kickoff, 5 yards (no play)",0.000,-1.000
4,14:57,,,BUF 35,7,27,"Penalty on Steven Hauschka: Delay of Kickoff, 5 yards (no play)",0.000,0.000
4,14:57,,,BUF 30,7,27,"Steven Hauschka kicks off 70 yards, touchback",0.000,-0.610
4,14:57,1,10,OAK 25,7,27,Jalen Richard left tackle for 14 yards (tackle by Preston Brown),0.610,1.530
4,14:25,1,10,OAK 39,7,27,Derek Carr pass complete short left to Jared Cook for 17 yards (tackle by Matt Milano),1.530,2.650
4,13:56,1,10,BUF 44,7,27,Derek Carr pass complete short left to Michael Crabtree for 8 yards (tackle by Matt Milano and Trae Elston),2.650,3.190
4,13:23,2,2,BUF 36,7,27,Derek Carr pass complete short left to Michael Crabtree for 3 yards (tackle by Shareece Wright),3.190,3.380
4,12:51,1,10,BUF 33,7,27,Derek Carr pass complete short right to Cordarrelle Patterson for 3 yards (tackle by Micah Hyde and Preston Brown),3.380,3.240
4,12:16,2,7,BUF 30,7,27,Derek Carr pass incomplete deep left intended for Michael Crabtree,3.240,2.540
4,12:11,3,7,BUF 30,7,27,Derek Carr pass complete short right to Amari Cooper for 9 yards (tackle by TreDavious White and Ryan Davis),2.540,4.170
4,11:38,1,10,BUF 21,7,27,Derek Carr pass complete short middle to Jared Cook for 17 yards (tackle by Trae Elston),4.170,6.280
4,10:54,1,4,BUF 4,13,27,"Derek Carr pass complete short right to DeAndre Washington for 4 yards, touchdown",6.280,7.000
4,10:50,,,BUF 15,14,27,"Giorgio Tavecchio kicks extra point good. Penalty on Jerel Worthy: Leverage, 15 yards",0.000,0.000
4,10:50,,,,14,27,"Giorgio Tavecchio kicks off 50 yards, touchback",0.000,-0.610
