Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
3,3:24,2,9,TEN 44,13,28,Travis Etienne left tackle for no gain (tackle by Azeez Al-Shaair and Denico Autry),2.180,1.490
3,2:43,3,9,TEN 44,13,28,Trevor Lawrence pass complete deep right to Evan Engram for 17 yards (tackle by Terrell Edmunds),1.490,3.780
3,2:02,1,10,TEN 27,13,28,Trevor Lawrence pass complete short right to Travis Etienne for 3 yards (tackle by Garret Wallow),3.780,3.640
3,1:19,2,7,TEN 24,13,28,Trevor Lawrence pass complete short left to Calvin Ridley for 6 yards,3.640,3.840
3,0:45,3,1,TEN 18,13,28,Travis Etienne up the middle for 4 yards (tackle by Azeez Al-Shaair),3.840,4.650
3,0:05,1,10,TEN 14,13,28,Trevor Lawrence pass incomplete short right intended for Calvin Ridley (defended by Roger McCreary),4.650,4.000
Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,TEN 14,19,28,"Trevor Lawrence pass complete short left to Evan Engram for 14 yards, touchdown",4.000,7.000
4,14:55,,,TEN 15,20,28,Brandon McManus kicks extra point good,0.000,0.000
4,14:55,,,JAX 35,20,28,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,14:55,1,10,TEN 25,20,28,Ryan Tannehill pass complete short left to Tyjae Spears for 3 yards (tackle by Tyson Campbell),0.610,0.470
4,14:19,2,7,TEN 28,20,28,Derrick Henry up the middle for 1 yard (tackle by Tyson Campbell),0.470,-0.100
4,13:34,3,6,TEN 29,20,28,Ryan Tannehill pass complete short left to Kyle Philips for 10 yards,-0.100,1.530
4,12:56,1,10,TEN 39,20,28,Ryan Tannehill pass complete short right to DeAndre Hopkins for 4 yards (tackle by Darious Williams),1.530,1.530
4,12:18,2,6,TEN 43,20,28,Ryan Tannehill pass short middle intended for DeAndre Hopkins is intercepted by Andre Cisco at JAC-43 and returned for 29 yards (tackle by Ryan Tannehill),1.530,-3.710
4,12:09,1,10,TEN 28,20,28,Travis Etienne left end for 5 yards (tackle by Arden Key and Marlon Davidson),3.710,3.840
4,11:28,2,5,TEN 23,20,28,Trevor Lawrence pass complete short left to Travis Etienne for no gain (tackle by Otis Reese),3.840,3.140
4,10:45,3,5,TEN 23,20,28,"Trevor Lawrence pass incomplete short left intended for Evan Engram. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (accepted) (no play)",3.140,4.370
4,10:45,1,10,TEN 18,20,28,"Travis Etienne for no gain (tackle by K'Von Wallace). Penalty on Brenton Strange: Offensive Holding, 10 yards (accepted) (no play)",4.370,3.710
4,10:14,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,10:14,1,20,TEN 28,20,28,Trevor Lawrence pass complete short left to Zay Jones for 11 yards (tackle by Sean Murphy-Bunting),3.710,3.940
4,9:34,2,9,TEN 17,20,28,Trevor Lawrence pass complete short right to Zay Jones for 7 yards (tackle by Otis Reese),3.940,4.510
4,8:53,3,2,TEN 10,20,28,Tank Bigsby up the middle for 3 yards (tackle by Elijah Molden and Marlon Davidson),4.510,5.600
4,8:06,1,7,TEN 7,20,28,Trevor Lawrence pass incomplete short left intended for Calvin Ridley,5.600,4.760
4,8:02,2,7,TEN 7,20,28,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Sean Murphy-Bunting),4.760,5.170
4,7:19,3,1,TEN 1,20,28,Trevor Lawrence pass incomplete short right,5.170,3.550
4,7:14,4,1,TEN 1,20,28,Trevor Lawrence up the middle for no gain (tackle by Quinton Bohanna),3.550,0.380
4,7:13,1,10,TEN 1,20,28,"Penalty on DaVon Hamilton: Encroachment, 5 yards (accepted) (no play)",-0.380,-0.190
4,7:13,1,5,TEN 6,20,28,Derrick Henry up the middle for 5 yards (tackle by Foyesade Oluokun and Adam Gotsis),-0.190,-0.370
4,6:29,1,10,TEN 11,20,28,Ryan Tannehill pass complete short right to Chris Moore for 16 yards (tackle by Devin Lloyd),-0.370,0.740
4,5:47,1,10,TEN 27,20,28,Derrick Henry left tackle for 1 yard (tackle by Roy Robertson-Harris),0.740,0.330
4,5:01,2,9,TEN 28,20,28,Ryan Tannehill pass complete short left to DeAndre Hopkins for 4 yards (tackle by DaVon Hamilton),0.330,0.170
4,4:18,3,5,TEN 32,20,28,Ryan Tannehill pass complete short right to Kyle Philips for 5 yards (tackle by Rayshawn Jenkins),0.170,1.400
4,3:26,1,10,TEN 37,20,28,Derrick Henry up the middle for -3 yards (tackle by Rayshawn Jenkins and Devin Lloyd),1.400,0.450
4,3:20,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:20,2,13,TEN 34,20,28,Derrick Henry left guard for 2 yards (tackle by DaVon Hamilton and Josh Allen),0.450,0.040
4,3:15,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,3:15,3,11,TEN 36,20,28,Ryan Tannehill sacked by Josh Allen for -6 yards,0.040,-1.370
4,2:31,4,17,TEN 30,20,28,"Ty Zentner punts 50 yards, returned by Parker Washington for 5 yards (tackle by Matthew Jackson)",-1.370,-0.610
4,2:18,1,10,JAX 25,20,28,Trevor Lawrence scrambles up the middle for 8 yards (tackle by Terrell Edmunds),0.610,1.140
4,2:00,2,2,JAX 33,20,28,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,1.140,0.430
4,1:53,3,2,JAX 33,20,28,Trevor Lawrence pass incomplete short left intended for Tim Jones,0.430,-1.180
4,1:50,,,,,,Timeout #1 by Tennessee Titans,,
4,1:50,4,2,JAX 33,20,28,Trevor Lawrence pass incomplete short left intended for Evan Engram,-1.180,-3.450
4,1:47,1,10,JAX 32,20,28,Ryan Tannehill kneels for -1 yards,3.450,2.770
4,1:08,2,11,JAX 33,20,28,Ryan Tannehill kneels for -1 yards,2.770,1.950
4,0:37,3,12,JAX 34,20,28,Ryan Tannehill kneels for -1 yards,1.950,0.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
