Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
3,7:03,,,,3,17,Timeout #2 by Kansas City Chiefs,0.000,-0.220
3,7:03,1,10,SDG 15,3,17,Michael Turner left tackle for 2 yards (tackle by John Browning and Kawika Mitchell),-0.220,-0.440
3,6:22,2,8,SDG 17,3,17,Philip Rivers pass incomplete intended for Michael Turner,-0.440,-1.120
3,6:17,3,8,SDG 17,3,17,Philip Rivers pass complete to Michael Turner for 7 yards (tackle by Scott Fujita),-1.120,-1.770
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
3,5:45,4,1,SDG 24,3,17,"Mike Scifres punts 41 yards, returned by Dante Hall for 1 yard (tackle by Hanik Milligan)",-1.770,-1.330
3,5:34,1,10,KAN 36,3,17,Trent Green pass complete to Larry Johnson for 6 yards (tackle by Ben Leber),1.330,1.600
3,4:53,2,4,KAN 42,3,17,Trent Green pass complete to Tony Gonzalez for 1 yard (tackle by Jamar Fletcher),1.600,1.030
3,4:23,3,3,KAN 43,3,17,Trent Green pass complete to Chris Horn for 5 yards (tackle by Jamar Fletcher),1.030,2.130
3,3:42,1,10,KAN 48,3,17,Trent Green pass incomplete intended for Chris Horn (defended by DeQuincy Scott),2.130,1.580
3,3:37,2,10,KAN 48,3,17,Trent Green pass complete to Samie Parker for 8 yards (tackle by Sammy Davis),1.580,1.950
3,2:57,3,2,SDG 44,3,17,Trent Green pass complete to Samie Parker for 6 yards (tackle by Jamar Fletcher),1.950,3.050
3,2:18,1,10,SDG 38,3,17,Trent Green pass incomplete intended for Tony Gonzalez (defended by Stephen Cooper),3.050,2.510
3,2:13,2,10,SDG 38,3,17,"Trent Green pass complete to Jason Dunn for 3 yards (tackle by Shaun Phillips). Penalty on Matt Wilhelm: Roughing the Passer, 15 yards",2.510,4.240
3,1:45,1,10,SDG 20,3,17,Larry Johnson up the middle for 1 yard (tackle by Jason Fisk and Stephen Cooper),4.240,3.820
3,1:11,2,9,SDG 19,3,17,Trent Green pass incomplete intended for Eddie Kennison,3.820,3.100
3,1:06,3,9,SDG 19,3,17,Trent Green pass complete to Samie Parker for 4 yards (tackle by Jamar Fletcher),3.100,2.490
3,0:26,4,5,SDG 15,3,17,Lawrence Tynes 33 yard field goal no good,2.490,-0.480
3,0:22,1,10,SDG 23,3,17,Michael Turner up the middle for 9 yards (tackle by Greg Wesley),0.480,1.150
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,SDG 32,3,17,Andrew Pinnock up the middle for no gain (tackle by Eric Hicks),1.150,0.430
4,14:29,3,1,SDG 32,3,17,Andrew Pinnock right guard for 2 yards (tackle by Greg Wesley and Shaunard Harts),0.430,1.200
4,13:52,1,10,SDG 34,3,17,Michael Turner right tackle for 2 yards (tackle by Kawika Mitchell and Eric Hicks),1.200,0.930
4,13:07,2,8,SDG 36,3,17,Philip Rivers pass complete to Ryan Krause for 10 yards (tackle by Kawika Mitchell),0.930,1.990
4,12:22,1,10,SDG 46,3,17,Michael Turner left tackle for -2 yards (tackle by Jared Allen),1.990,1.180
4,11:38,2,12,SDG 44,3,17,"Philip Rivers sacked for -10 yards. Philip Rivers fumbles, recovered by Philip Rivers at SDG-34",1.180,-0.820
4,11:08,3,22,SDG 34,3,17,Philip Rivers pass incomplete intended for Malcom Floyd (defended by Eric Warfield),-0.820,-1.110
