Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
4,5:26,4,7,NYJ 28,15,10,"Braden Mann punts 46 yards, returned by Andre Roberts for 15 yards (tackle by Blake Cashman and Vyncint Smith)",-1.500,-1.660
4,5:18,1,10,BUF 41,15,10,Zack Moss left tackle for 1 yard (tackle by Quinnen Williams),1.660,1.260
4,4:36,2,9,BUF 42,15,10,Josh Allen pass complete short right to Cole Beasley for 18 yards (tackle by Neville Hewitt),1.260,2.920
4,3:51,1,10,NYJ 40,15,10,Josh Allen pass complete short left to Cole Beasley for 4 yards (tackle by Marcus Maye),2.920,2.910
4,3:08,2,6,NYJ 36,15,10,Josh Allen left guard for 6 yards (tackle by Folorunso Fatukasi and Neville Hewitt),2.910,3.580
4,3:00,,,,,,Timeout #1 by New York Jets,,
4,3:00,1,10,NYJ 30,15,10,Zack Moss left tackle for 6 yards (tackle by Neville Hewitt),3.580,3.840
4,2:54,,,,,,Timeout #2 by New York Jets,,
4,2:54,2,4,NYJ 24,15,10,Zack Moss left guard for 2 yards (tackle by Folorunso Fatukasi),3.840,3.400
4,2:08,,,,,,Timeout #1 by Buffalo Bills,,
4,2:08,3,2,NYJ 22,15,10,Josh Allen up the middle for no gain (tackle by Henry Anderson and Folorunso Fatukasi),3.400,2.120
4,2:00,4,2,NYJ 22,18,10,Tyler Bass 40 yard field goal good,2.120,3.000
4,1:56,,,BUF 35,18,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,1:56,1,10,NYJ 25,18,10,Sam Darnold sacked by and Matt Milano for -8 yards and Tre'Davious White for -8 yards,0.610,-1.150
4,1:50,,,,,,Timeout #3 by New York Jets,,
4,1:50,2,18,NYJ 17,18,10,"Sam Darnold pass incomplete deep right intended for Breshad Perriman (defended by Micah Hyde). Penalty on Micah Hyde: Unnecessary Roughness, 15 yards (no play)",-1.150,1.070
4,1:45,,,,,,Timeout #2 by Buffalo Bills,,
4,1:45,1,10,NYJ 32,18,10,"Sam Darnold right end for 10 yards (tackle by Tremaine Edmunds). Penalty on George Fant: Offensive Holding, 10 yards (no play)",1.070,0.410
4,1:37,1,20,NYJ 22,18,10,Sam Darnold sacked by Jerry Hughes for -2 yards,0.410,-1.090
4,1:16,2,22,NYJ 20,18,10,"Sam Darnold pass short right (defended by Quinton Jefferson) intended for Braxton Berrios is intercepted by Jerry Hughes at NYJ-15 and returned for -3 yards. Penalty on Connor McGovern: Unnecessary Roughness, 9 yards",-1.090,-5.140
4,1:08,1,9,NYJ 9,18,10,Josh Allen kneels for -1 yards,5.140,4.190
4,0:39,2,10,NYJ 10,18,10,Josh Allen kneels for -1 yards,4.190,3.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
