Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
3,6:50,3,6,PHI 10,10,20,Jalen Hurts pass complete short right to Kenneth Gainwell for 6 yards (tackle by Bobby Okereke),-0.950,-0.140
3,6:04,1,10,PHI 16,10,20,D'Andre Swift left tackle for 5 yards (tackle by A'Shawn Robinson),-0.140,0.150
3,5:38,2,5,PHI 21,10,20,D'Andre Swift right end for 4 yards (tackle by Jason Pinnock),0.150,-0.200
3,5:11,3,1,PHI 25,10,20,Jalen Hurts up the middle for 3 yards (tackle by Adoree' Jackson),-0.200,0.810
3,4:29,1,10,PHI 28,10,20,Jalen Hurts pass complete short left to Grant Calcaterra for 12 yards (tackle by Deonte Banks),0.810,1.600
3,4:01,1,10,PHI 40,10,20,D'Andre Swift right tackle for 13 yards (tackle by Jason Pinnock),1.600,2.460
3,3:16,1,10,NYG 47,10,20,Jalen Hurts pass complete short middle to A.J. Brown for 14 yards (tackle by Adoree' Jackson),2.460,3.380
3,2:31,1,10,NYG 33,10,20,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Adoree' Jackson),3.380,2.840
3,2:23,2,10,NYG 33,10,20,Jalen Hurts pass complete short left to Dallas Goedert for 6 yards (tackle by Jihad Ward and Bobby Okereke),2.840,2.940
3,1:37,3,4,NYG 27,10,20,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Bobby Okereke),2.940,4.370
3,0:57,1,10,NYG 18,10,20,"Jalen Hurts pass complete short left to A.J. Brown for no gain (tackle by Xavier McKinney). Penalty on Jordan Mailata: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",4.370,3.710
3,0:25,,,,,,Timeout #1 by Philadelphia Eagles,,
3,0:25,1,20,NYG 28,10,20,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Bobby Okereke),3.710,2.480
3,0:21,2,20,NYG 28,16,20,"Jalen Hurts pass short left intended for Dallas Goedert is intercepted by Adoree' Jackson at NYG-24 and returned for 76 yards, touchdown",2.480,-7.000
3,0:09,,,PHI 2,16,20,"Penalty on Jalen Hurts: Horse Collar Tackle, 1 yard (accepted) (no play)",0.000,1.000
3,0:09,,,PHI 1,18,20,"Two Point Attempt: Saquon Barkley rushes, conversion succeeds.",1.000,1.000
3,0:09,,,NYG 35,18,20,"Mason Crosby kicks off 58 yards,",0.000,0.610
3,0:09,1,10,PHI 25,18,20,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Nick McCloud),0.610,1.330
Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 36,18,20,"Jalen Hurts pass incomplete short right intended for A.J. Brown. Penalty on Lane Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.330,0.670
4,14:54,1,20,PHI 26,18,20,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.670,-0.560
4,14:50,2,20,PHI 26,18,20,Jalen Hurts pass complete short left to Julio Jones for 5 yards (tackle by Nick McCloud and Isaiah Simmons),-0.560,-0.560
4,14:11,3,15,PHI 31,18,20,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",-0.560,-1.220
4,14:11,3,20,PHI 26,18,20,Jalen Hurts pass complete deep right to A.J. Brown for 32 yards (tackle by Isaiah Simmons),-1.220,2.790
4,13:23,1,10,NYG 42,18,20,Kenneth Gainwell left end for 22 yards (tackle by Xavier McKinney),2.790,4.240
4,12:41,1,10,NYG 20,18,20,Kenneth Gainwell left guard for 3 yards (tackle by Micah McFadden and Xavier McKinney),4.240,4.120
4,11:57,2,7,NYG 17,18,20,Jalen Hurts pass complete short right to A.J. Brown for 12 yards (tackle by Xavier McKinney),4.120,6.060
4,11:11,1,5,NYG 5,18,26,"D'Andre Swift right tackle for 5 yards, touchdown",6.060,7.000
4,11:07,,,NYG 15,18,27,Jake Elliott kicks extra point good,0.000,0.000
4,11:07,,,PHI 35,18,27,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,11:07,1,10,NYG 25,18,27,Saquon Barkley up the middle for 4 yards (tackle by Fletcher Cox),0.610,0.600
4,10:36,2,6,NYG 29,18,27,Tyrod Taylor pass complete deep left to Daniel Bellinger for 20 yards (tackle by Kevin Byard),0.600,2.190
4,10:08,1,10,NYG 49,18,27,Saquon Barkley left tackle for 7 yards (tackle by Eli Ricks),2.190,2.590
4,9:34,2,3,PHI 44,18,27,Saquon Barkley right guard for 2 yards (tackle by Shaquille Leonard and Ben VanSumeren),2.590,2.150
4,9:00,3,1,PHI 42,18,27,Tyrod Taylor pass incomplete deep left intended for Darren Waller,2.150,0.460
4,8:53,4,1,PHI 42,18,27,Tyrod Taylor pass incomplete short right intended for Wan'Dale Robinson,0.460,-1.730
4,8:50,1,10,PHI 42,18,27,D'Andre Swift right tackle for 4 yards (tackle by A'Shawn Robinson and Micah McFadden),1.730,1.730
