Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
3,3:25,4,1,CAR 46,14,6,"Brad Nortman punts 14 yards, out of bounds",-0.320,-1.600
3,3:18,1,10,WAS 40,14,6,"Alfred Morris right end for 4 yards (tackle by Dwan Edwards and Luke Kuechly). Penalty on Darrel Young: Offensive Holding, 10 yards (no play)",1.600,0.940
3,2:48,1,20,WAS 30,14,6,Robert Griffin III pass complete short middle to Leonard Hankerson for 17 yards (tackle by Captain Munnerlyn and Luke Kuechly),0.940,2.000
3,2:48,2,3,WAS 47,14,6,"Penalty on Dwan Edwards: Neutral Zone Infraction, 5 yards (no play)",2.000,2.390
3,1:52,1,10,CAR 48,14,6,Alfred Morris right end for 4 yards (tackle by Greg Hardy),2.390,2.390
3,1:19,2,6,CAR 44,14,6,Robert Griffin III pass complete short right to Dezmon Briscoe for 8 yards (tackle by Captain Munnerlyn),2.390,3.180
3,0:54,1,10,CAR 36,14,6,Robert Griffin III left guard for no gain (tackle by Captain Munnerlyn and Luke Kuechly),3.180,2.640
3,0:16,2,10,CAR 36,14,6,"Robert Griffin III pass complete short left to Darrel Young for 6 yards (tackle by Captain Munnerlyn). Penalty on Kory Lichtensteiger: Ineligible Downfield Pass, 5 yards (no play)",2.640,1.960
Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,15,CAR 41,14,6,Robert Griffin III sacked by Charles Johnson for -5 yards,1.960,0.630
4,14:31,3,20,CAR 46,14,6,Robert Griffin III pass incomplete short middle intended for Josh Morgan,0.630,0.200
4,14:25,4,20,CAR 46,14,6,"Saverio Rocca punts 37 yards, fair catch by Captain Munnerlyn",0.200,0.380
4,14:17,1,10,CAR 9,14,6,Cam Newton pass complete deep left to Armanti Edwards for 82 yards (tackle by Cedric Griffin),-0.380,5.140
4,13:41,1,9,WAS 9,14,6,DeAngelo Williams left guard for 3 yards (tackle by Madieu Williams),5.140,4.950
4,12:56,2,6,WAS 6,14,6,"Cam Newton pass incomplete short left intended for Steve Smith. Penalty on Josh Wilson: Defensive Pass Interference, 5 yards (no play)",4.950,6.970
4,12:47,1,1,WAS 1,20,6,"Cam Newton left guard for 1 yard, touchdown",6.970,7.000
4,12:47,,,WAS 2,21,6,Justin Medlock kicks extra point good,0.000,0.000
4,12:46,,,CAR 35,21,6,"Justin Medlock kicks off 64 yards, returned by Brandon Banks for 21 yards (tackle by Jason Phillips)",0.000,0.410
4,12:39,1,10,WAS 22,21,6,Robert Griffin III pass incomplete short right intended for Logan Paulsen,0.410,-0.130
4,12:34,2,10,WAS 22,21,6,Robert Griffin III up the middle for -2 yards (tackle by Thomas Davis),-0.130,-1.090
4,11:58,3,12,WAS 20,21,6,Robert Griffin III sacked by Greg Hardy for -8 yards,-1.090,-2.490
4,11:38,4,20,WAS 12,21,6,"Saverio Rocca punts 51 yards, returned by Captain Munnerlyn for 8 yards (tackle by Dejon Gomes)",-2.490,-1.930
4,11:26,1,10,CAR 45,21,6,Cam Newton pass complete short right to Greg Olsen for 5 yards (tackle by London Fletcher),1.930,2.060
4,10:44,2,5,,21,6,DeAngelo Williams right guard for 1 yard (tackle by London Fletcher and Chris Baker),2.060,1.490
4,10:01,3,4,WAS 49,21,6,Cam Newton left tackle for 5 yards (tackle by Madieu Williams),1.490,2.650
4,9:23,1,10,WAS 44,21,6,Jonathan Stewart left end for 3 yards (tackle by Perry Riley and Reed Doughty),2.650,2.520
4,8:38,2,7,WAS 41,21,6,Jonathan Stewart right end for -2 yards (tackle by Barry Cofield),2.520,1.550
4,7:52,3,9,WAS 43,21,6,Cam Newton pass incomplete short middle intended for Steve Smith,1.550,0.400
4,7:46,4,9,WAS 43,21,6,Brad Nortman punts 29 yards,0.400,0.280
4,7:37,1,10,WAS 14,21,6,Robert Griffin III pass incomplete short left intended for Josh Morgan,-0.280,-0.750
4,7:33,2,10,WAS 14,21,6,Robert Griffin III pass complete short middle to Evan Royster for 6 yards (tackle by Luke Kuechly),-0.750,-0.680
4,7:10,3,4,WAS 20,21,6,Robert Griffin III left end for 6 yards (tackle by Captain Munnerlyn). Penalty on Charles Johnson: Defensive Offside (Declined),-0.680,0.670
4,6:44,1,10,WAS 26,21,6,Robert Griffin III pass complete short left to Evan Royster for 17 yards (tackle by Sherrod Martin),0.670,1.800
4,6:19,1,10,WAS 43,21,6,Robert Griffin III pass incomplete short left intended for Evan Royster,1.800,1.250
4,6:11,2,10,WAS 43,21,6,Robert Griffin III pass incomplete short right intended for Alfred Morris,1.250,0.560
4,6:07,3,10,WAS 43,21,6,Robert Griffin III pass incomplete short left intended for Josh Morgan,0.560,0.000
4,6:03,,,,21,6,Timeout #1 by Carolina Panthers,0.000,-0.520
4,6:03,4,10,WAS 43,21,6,Robert Griffin III sacked by Greg Hardy and Charles Johnson for -9 yards,-0.520,-3.310
4,6:03,1,10,WAS 34,21,6,DeAngelo Williams left end for -2 yards (tackle by Kedric Golston),3.310,2.500
4,5:25,2,12,WAS 36,21,6,Cam Newton pass incomplete deep right intended for Steve Smith (defended by DeAngelo Hall),2.500,1.820
4,5:15,3,12,WAS 36,21,6,Cam Newton pass complete short right to Louis Murphy for 4 yards (tackle by Perry Riley),1.820,0.000
4,4:27,,,,21,6,Timeout #2 by Carolina Panthers,0.000,1.240
4,4:27,4,8,WAS 32,21,6,Justin Medlock 50 yard field goal no good,1.240,-1.600
4,4:22,1,10,WAS 40,21,6,Robert Griffin III pass complete short left to Josh Morgan for 5 yards (tackle by Josh Norman),1.600,1.730
4,4:17,2,5,WAS 45,21,6,Robert Griffin III pass incomplete short middle intended for Josh Morgan (defended by Thomas Davis),1.730,1.030
4,4:13,3,5,WAS 45,21,6,Robert Griffin III pass complete short left to Logan Paulsen for 12 yards (tackle by Thomas Davis),1.030,2.720
4,3:47,1,10,CAR 43,21,6,Robert Griffin III pass incomplete deep middle intended for Leonard Hankerson (defended by Sherrod Martin),2.720,2.180
4,3:40,2,10,CAR 43,21,6,Robert Griffin III pass complete short right to Logan Paulsen for 6 yards (tackle by Luke Kuechly),2.180,2.280
4,3:22,3,4,CAR 37,21,6,Robert Griffin III pass incomplete short left intended for Santana Moss (defended by Josh Norman),2.280,0.000
4,3:19,,,,21,6,Timeout #3 by Carolina Panthers,0.000,0.790
4,3:19,4,4,CAR 37,21,6,Robert Griffin III up the middle for 8 yards (tackle by Captain Munnerlyn and James Anderson),0.790,3.640
4,2:58,1,10,CAR 29,21,6,Robert Griffin III pass complete deep middle to Logan Paulsen for 19 yards (tackle by Charles Godfrey),3.640,4.910
4,2:31,1,10,CAR 10,21,6,Robert Griffin III pass complete short middle to Leonard Hankerson for 7 yards (tackle by Luke Kuechly and James Anderson),4.910,5.530
4,2:06,2,3,CAR 3,21,6,Robert Griffin III pass incomplete short middle intended for Niles Paul (defended by Charles Godfrey),5.530,4.720
4,2:03,3,3,CAR 3,21,6,"Robert Griffin III left tackle for 3 yards. Penalty on Will Montgomery: Offensive Holding, 10 yards (no play)",4.720,3.060
4,1:57,3,13,CAR 13,21,6,"Robert Griffin III right end for 7 yards (tackle by Thomas Davis). Penalty on Thomas Davis: Unnecessary Roughness, 3 yards",3.060,6.510
4,1:49,1,3,CAR 3,21,6,"Robert Griffin III pass complete short left to Leonard Hankerson for 3 yards. Penalty on WAS: Illegal Formation, 5 yards (no play)",6.510,5.370
4,1:43,1,8,CAR 8,21,6,Robert Griffin III pass complete short middle to Aldrick Robinson for 6 yards (tackle by Sherrod Martin),5.370,0.000
4,1:34,,,,21,6,Timeout #1 by Washington Redskins,0.000,5.720
4,1:34,2,2,CAR 2,21,12,"Evan Royster left end for 2 yards, touchdown",5.720,7.000
4,1:34,,,CAR 2,21,13,Kai Forbath kicks extra point good,0.000,0.000
