Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
3,4:19,1,10,WAS 43,7,21,Taylor Heinicke pass complete deep middle to Terry McLaurin for 51 yards (tackle by Samuel Womack),1.800,5.830
3,3:32,1,6,SFO 6,7,21,Brian Robinson up the middle for 3 yards (tackle by T.Y. McGill and Fred Warner),5.830,5.530
3,2:53,2,3,SFO 3,13,21,"Taylor Heinicke pass complete short middle to Terry McLaurin for 3 yards, touchdown. Penalty on Talanoa Hufanga: Illegal Contact, 5 yards (declined)",5.530,7.000
3,2:46,,,SFO 15,14,21,Joey Slye kicks extra point good,0.000,0.000
3,2:46,,,WAS 35,14,21,"Joey Slye kicks off 65 yards, touchback.. Penalty on Rachad Wildgoose: Unnecessary Roughness / Offense, 15 yards (accepted)",0.000,1.600
3,2:46,1,10,SFO 40,14,21,Brock Purdy pass complete short left to Brandon Aiyuk for 54 yards (tackle by Bobby McCain),1.600,5.830
3,1:58,1,6,WAS 6,14,21,Christian McCaffrey up the middle for 1 yard (tackle by Jonathan Allen),5.830,5.150
3,1:22,2,5,WAS 5,14,21,Brock Purdy sacked by James Smith-Williams for -4 yards,5.150,0.000
3,0:47,3,9,WAS 9,14,21,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",0.000,3.000
3,0:33,3,14,WAS 14,14,21,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Jeremy Reaves and Bobby McCain),3.000,2.950
Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,8,WAS 8,14,24,Robbie Gould 26 yard field goal good,2.950,3.000
4,14:56,,,SFO 35,14,24,"Robbie Gould kicks off 64 yards, returned by Antonio Gibson for 18 yards (tackle by George Odum and Jordan Mason)",0.000,0.150
4,14:51,1,10,WAS 19,14,24,Curtis Samuel left end for 2 yards (tackle by Deommodore Lenoir),0.150,-0.060
4,14:12,2,8,WAS 21,14,24,"Taylor Heinicke sacked by Nick Bosa for -10 yards. Taylor Heinicke fumbles (forced by Nick Bosa), recovered by Jordan Willis at WAS-11 (tackle by Cornelius Lucas and Cole Turner)",-0.060,-4.840
4,14:04,1,10,WAS 11,14,24,Christian McCaffrey left end for no gain (tackle by Jeremy Reaves),4.840,4.140
4,13:28,2,10,WAS 11,14,24,Brock Purdy pass complete short middle to George Kittle for 5 yards (tackle by David Mayo),4.140,4.210
4,12:48,3,5,WAS 6,14,24,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",4.210,3.130
4,12:48,3,10,WAS 11,14,24,Brock Purdy scrambles right tackle for 6 yards (tackle by Jamin Davis),3.130,3.010
4,12:05,4,4,WAS 5,14,27,Robbie Gould 23 yard field goal good,3.010,3.000
4,12:02,,,SFO 35,14,27,"Robbie Gould kicks off 63 yards, returned by Dax Milne for 17 yards (tackle by Oren Burks and Danny Gray)",0.000,0.150
4,11:57,1,10,WAS 19,14,27,Brian Robinson left guard for 3 yards (tackle by Talanoa Hufanga),0.150,0.070
4,11:23,2,7,WAS 22,14,27,"Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain (tackle by Brian Robinson)",0.070,-3.910
4,11:19,1,10,WAS 25,14,27,Brock Purdy pass complete short left to Brandon Aiyuk for 4 yards (tackle by Darrick Forrest),3.910,3.900
4,10:42,2,6,WAS 21,14,27,Christian McCaffrey left end for -2 yards (tackle by Jamin Davis),3.900,2.940
4,9:58,3,8,WAS 23,14,27,Brock Purdy pass complete short left to Jauan Jennings for 6 yards (tackle by Benjamin St-Juste),2.940,2.440
4,9:20,4,2,WAS 17,14,30,Robbie Gould 35 yard field goal good,2.440,3.000
4,9:16,,,SFO 35,14,30,"Robbie Gould kicks off 66 yards, returned by Dax Milne for 19 yards (tackle by George Odum)",0.000,0.040
4,9:11,1,10,WAS 18,14,30,Carson Wentz pass incomplete deep right intended for Logan Thomas,0.040,-0.490
4,9:07,2,10,WAS 18,14,30,Jonathan Williams up the middle for 9 yards (tackle by Deommodore Lenoir and Fred Warner),-0.490,-0.020
4,8:44,3,1,WAS 27,14,30,Carson Wentz pass complete short left to Curtis Samuel for 4 yards (tackle by Charvarius Ward),-0.020,1.000
4,8:18,1,10,WAS 31,14,30,Carson Wentz pass complete short right to Jonathan Williams for 21 yards (tackle by Deommodore Lenoir),1.000,2.390
4,7:43,1,10,SFO 48,14,30,"Carson Wentz pass complete short right to Logan Thomas for 4 yards (tackle by Deommodore Lenoir) SFO challenged the pass completion ruling, and the play was upheld.",2.390,2.390
4,7:13,2,6,SFO 44,14,30,Carson Wentz pass complete short left to Antonio Gibson for 12 yards (tackle by Talanoa Hufanga),2.390,3.450
4,6:34,1,10,SFO 32,14,30,Carson Wentz pass complete short left to Jonathan Williams for 7 yards (tackle by Fred Warner),3.450,3.850
4,6:06,2,3,SFO 25,14,30,Carson Wentz pass complete short middle to Logan Thomas for 5 yards (tackle by Jimmie Ward),3.850,4.240
4,5:40,1,10,SFO 20,14,30,Carson Wentz pass incomplete short right intended for Jahan Dotson (defended by Deommodore Lenoir),4.240,3.690
4,5:36,2,10,SFO 20,14,30,Carson Wentz pass incomplete short middle intended for Logan Thomas (defended by Talanoa Hufanga),3.690,3.010
4,5:30,3,10,SFO 20,20,30,"Carson Wentz pass complete short left to Curtis Samuel for 20 yards, touchdown",3.010,7.000
4,5:25,,,SFO 2,20,30,"Two Point Attempt: Carson Wentz pass incomplete, sacked by Carson Wentz sacked by",1.000,-1.000
4,5:25,,,WAS 35,20,30,"Joey Slye kicks onside 3 yards,. Penalty on Khaleke Hudson: Illegal Touch Kick, 5 yards (accepted)",0.000,3.380
4,5:25,1,10,WAS 33,20,30,Tyrion Davis-Price up the middle for 2 yards (tackle by John Ridgeway),3.380,3.110
4,4:49,2,8,WAS 31,20,30,Tyrion Davis-Price right tackle for 7 yards (tackle by Jeremy Reaves and Darrick Forrest),3.110,3.340
4,4:42,,,,,,Timeout #1 by Washington Commanders,,
4,4:42,3,1,WAS 24,20,30,Tyrion Davis-Price up the middle for 6 yards (tackle by Jeremy Reaves and John Ridgeway),3.340,4.370
4,4:37,,,,,,Timeout #2 by Washington Commanders,,
4,4:37,1,10,WAS 18,20,30,Tyrion Davis-Price right end for 3 yards (tackle by David Mayo),4.370,4.250
4,4:29,,,,,,Timeout #3 by Washington Commanders,,
4,4:29,2,7,WAS 15,20,30,Brock Purdy sacked by Benjamin St-Juste for -4 yards,4.250,2.970
4,3:45,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:45,3,11,WAS 19,20,30,Christian McCaffrey up the middle for 8 yards (tackle by Darrick Forrest),2.970,2.800
4,3:02,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:02,4,3,WAS 11,20,30,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by Jeremy Reaves),2.800,6.970
4,2:16,1,1,WAS 1,20,36,"Christian McCaffrey for 1 yard, touchdown",6.970,7.000
4,2:13,,,WAS 15,20,37,Robbie Gould kicks extra point good,0.000,0.000
4,2:13,,,SFO 35,20,37,"Robbie Gould kicks off 65 yards, returned by Dax Milne for 18 yards (tackle by Oren Burks and Ambry Thomas)",0.000,0.040
4,2:06,1,10,WAS 18,20,37,Jonathan Williams right tackle for 2 yards (tackle by Nick Bosa),0.040,-0.130
4,2:00,2,8,WAS 20,20,37,Carson Wentz pass incomplete short left intended for Jonathan Williams,-0.130,-0.910
4,1:52,3,8,WAS 20,20,37,Carson Wentz pass complete short middle to Logan Thomas for 15 yards (tackle by Oren Burks and Demetrius Flannigan-Fowles),-0.910,1.270
4,1:35,1,10,WAS 35,20,37,Carson Wentz pass complete short right to Jahan Dotson for 9 yards (tackle by Samuel Womack),1.270,1.940
4,1:14,2,1,WAS 44,20,37,Carson Wentz pass complete short left to Terry McLaurin for 9 yards (tackle by George Odum and Oren Burks),1.940,2.460
4,0:51,1,10,SFO 47,20,37,Carson Wentz pass complete short right to Curtis Samuel for 11 yards (tackle by Ambry Thomas),2.460,3.180
4,0:20,1,10,SFO 36,20,37,Carson Wentz pass complete short right to Logan Thomas for 6 yards (tackle by Demetrius Flannigan-Fowles),3.180,3.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
