Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
3,13:26,1,10,WAS 33,7,2,Kirk Cousins pass complete short left to Terrelle Pryor for 12 yards (tackle by Richard Sherman),1.140,1.930
3,12:59,1,10,WAS 45,7,2,Robert Kelley right tackle for 5 yards (tackle by Richard Sherman and K.J. Wright),1.930,2.060
3,12:23,2,5,,7,2,"Kirk Cousins pass complete short middle to Ryan Grant for 23 yards (tackle by Shaquill Griffin). Penalty on Jarran Reed: Roughing the Passer, 14 yards",2.060,4.710
3,11:52,1,10,SEA 13,7,2,Robert Kelley middle for -3 yards (tackle by Bobby Wagner),4.710,3.620
3,11:07,2,13,SEA 16,7,2,Kirk Cousins pass complete short right to Chris Thompson for 3 yards (tackle by Kam Chancellor),3.620,3.120
3,10:39,3,10,SEA 13,7,2,Kirk Cousins pass complete short left to Vernon Davis for 3 yards (tackle by K.J. Wright). Penalty on T.J. Clemmings: Illegal Formation (Declined),3.120,2.760
3,10:22,4,7,SEA 10,10,2,Nick Rose 28 yard field goal good,2.760,3.000
3,10:19,,,WAS 35,10,2,"Nick Rose kicks off 68 yards, returned by Tyler Lockett for 21 yards (tackle by Martrell Spaight)",0.000,-0.040
3,10:14,1,10,SEA 18,10,2,Russell Wilson sacked by Zach Brown for 0 yards,0.040,-0.490
3,9:58,2,10,SEA 18,10,2,Russell Wilson right tackle for 3 yards (tackle by Josh Norman),-0.490,-0.790
3,9:18,3,7,SEA 21,10,2,Russell Wilson pass complete short middle to Jimmy Graham for 11 yards (tackle by DeAngelo Hall),-0.790,1.070
3,8:41,1,10,SEA 32,10,2,Russell Wilson pass complete short right to Thomas Rawls for 9 yards (tackle by Terrell McClain),1.070,1.740
3,7:58,2,1,SEA 41,10,2,Thomas Rawls right tackle for no gain (tackle by William Compton and Ryan Anderson),1.740,1.030
3,7:21,3,1,SEA 41,10,2,Thomas Rawls middle for 5 yards (tackle by Zach Brown),1.030,1.990
3,6:38,1,10,SEA 46,10,2,Russell Wilson right end for 3 yards (tackle by William Compton),1.990,1.860
3,5:56,2,7,SEA 49,10,2,Russell Wilson pass incomplete short left intended for Doug Baldwin is intercepted by William Compton at WAS-44 and returned for 2 yards,1.860,-1.990
3,5:47,1,10,WAS 46,10,2,Kirk Cousins pass incomplete short middle intended for Vernon Davis,1.990,1.450
3,5:43,2,10,WAS 46,10,2,Robert Kelley right tackle for 2 yards (tackle by Marcus Smith),1.450,1.030
3,5:17,3,8,WAS 48,10,2,Kirk Cousins pass incomplete deep left intended for Vernon Davis,1.030,-0.190
3,5:12,4,8,WAS 48,10,2,"Tress Way punts 39 yards, fair catch by Tyler Lockett",-0.190,0.320
3,5:05,1,10,SEA 13,10,2,Russell Wilson pass incomplete deep middle intended for Doug Baldwin (defended by D.J. Swearinger),-0.320,-0.770
3,4:58,2,10,SEA 13,10,2,Russell Wilson pass complete short left to Paul Richardson for 10 yards (tackle by Zach Brown),-0.770,0.480
3,4:25,1,10,SEA 23,10,2,Russell Wilson for 13 yards (tackle by Zach Brown),0.480,1.330
3,3:48,1,10,SEA 36,10,2,Russell Wilson pass incomplete deep middle intended for Tyler Lockett. Penalty on SEA: Illegal Shift (Declined),1.330,0.890
3,3:00,3,4,SEA 42,10,2,Russell Wilson pass complete short middle to Doug Baldwin for 12 yards (tackle by DeAngelo Hall),0.890,2.520
3,2:26,1,10,WAS 46,10,2,"Russell Wilson pass incomplete. Penalty on Luke Willson: Offensive Pass Interference, 10 yards (no play)",2.520,1.860
3,2:21,1,20,SEA 44,10,2,Russell Wilson for 11 yards (tackle by William Compton),1.860,2.110
3,1:46,2,9,WAS 45,10,2,"Penalty on Duane Brown: False Start, 5 yards (no play)",2.110,1.440
3,1:33,2,14,,10,2,Russell Wilson pass incomplete short middle intended for Doug Baldwin (defended by William Compton),1.440,0.760
3,1:29,3,14,,10,2,"Russell Wilson pass incomplete short right intended for Jimmy Graham (defended by William Compton). Penalty on Justin Britt: Unnecessary Roughness, 15 yards",0.760,-1.040
3,1:21,4,29,SEA 35,10,2,Jon Ryan punts 41 yards,-1.040,-0.540
3,1:11,1,10,WAS 24,10,2,"Kirk Cousins for no gain. Kirk Cousins fumbles, recovered by Kirk Cousins at WAS-15",0.540,-1.350
3,0:30,2,19,WAS 15,10,2,Kirk Cousins pass complete short left to Ryan Grant for 5 yards (tackle by Justin Coleman),-1.350,-1.220
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,WAS 20,10,2,Kirk Cousins pass incomplete short middle intended for Chris Thompson,-1.220,-2.030
4,14:55,4,14,WAS 20,10,2,"Tress Way punts 36 yards, returned by Tyler Lockett for no gain. Penalty on Michael Wilhoite: Illegal Block Above the Waist, 10 yards",-2.030,-1.200
4,14:42,1,10,SEA 34,10,2,Russell Wilson right tackle for 6 yards (tackle by Terrell McClain),1.200,1.470
4,14:06,2,4,SEA 40,10,2,Russell Wilson pass complete short left to Thomas Rawls for 22 yards (tackle by William Compton),1.470,3.050
4,13:40,1,10,WAS 38,10,2,Thomas Rawls left tackle for 7 yards (tackle by Terrell McClain),3.050,3.450
4,13:10,2,3,WAS 31,10,2,Russell Wilson pass complete short middle to Jimmy Graham for 15 yards (tackle by D.J. Swearinger),3.450,4.510
4,12:35,1,10,WAS 16,10,2,J.D. McKissic right tackle for 6 yards (tackle by Zach Brown),4.510,4.970
4,11:53,2,4,WAS 10,10,8,"Russell Wilson pass complete short left to Luke Willson for 10 yards, touchdown",4.970,7.000
4,11:48,,,WAS 2,10,8,"Two Point Attempt: Russell Wilson pass incomplete intended for J.D. McKissic is intercepted by D.J. Swearinger, conversion fails",0.000,-1.000
4,11:48,,,SEA 35,10,8,"Blair Walsh kicks off 63 yards, returned by Samaje Perine for 20 yards (tackle by Terence Garvin)",0.000,-0.410
4,11:43,1,10,WAS 22,10,8,Kirk Cousins sacked by Quinton Jefferson for -8 yards,0.410,-1.330
4,11:03,2,18,WAS 14,10,8,Chris Thompson right guard for 3 yards (tackle by Bradley McDougald and Frank Clark),-1.330,-1.680
4,10:22,3,15,WAS 17,10,8,Kirk Cousins sacked by Dwight Freeney for -13 yards,-1.680,-2.490
4,10:14,4,28,WAS 4,10,8,"Tress Way punts 52 yards, returned by Tyler Lockett for 3 yards (tackle by Martrell Spaight). Penalty on Tedric Thompson: Illegal Blindside Block, 15 yards",-2.490,-1.070
4,10:03,1,10,SEA 32,10,8,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Josh Norman),1.070,1.470
4,9:20,2,3,SEA 39,10,8,J.D. McKissic left end for 2 yards (tackle by Evander Hood),1.470,1.030
4,8:34,3,1,SEA 41,10,8,Thomas Rawls right end for no gain (tackle by Josh Norman),1.030,-0.650
4,7:55,4,1,SEA 41,10,8,"Jon Ryan punts 59 yards, touchback",-0.650,-0.280
4,7:45,1,10,WAS 20,10,8,Robert Kelley right tackle for 4 yards (tackle by Nazair Jones and Jarran Reed),0.280,0.270
4,7:08,2,6,WAS 24,10,8,Kirk Cousins pass complete short right to Josh Doctson for 11 yards (tackle by Richard Sherman),0.270,1.270
4,6:26,1,10,WAS 35,10,8,"Robert Kelley right guard for 1 yard (tackle by Michael Bennett). Penalty on Vernon Davis: Offensive Holding, 10 yards (no play)",1.270,0.610
4,6:03,1,20,WAS 25,10,8,Kirk Cousins pass complete short middle to Chris Thompson for 5 yards (tackle by Bobby Wagner),0.610,0.050
4,5:22,2,15,WAS 30,10,8,Kirk Cousins pass complete short right to Brian Quick for 12 yards (tackle by Bobby Wagner),0.050,0.960
4,4:40,3,3,WAS 42,10,8,Kirk Cousins pass complete short left to Ryan Grant for 11 yards (tackle by Justin Coleman),0.960,2.460
4,4:34,1,10,SEA 47,10,8,Robert Kelley right end for 3 yards (tackle by Kam Chancellor and Jarran Reed),2.460,2.320
4,3:52,2,7,SEA 44,10,8,"Penalty on Arie Kouandjio: False Start, 5 yards (no play)",2.320,1.640
4,3:52,2,12,SEA 49,10,8,"Kirk Cousins pass complete short right to Vernon Davis for 10 yards (tackle by Bobby Wagner). Penalty on Tyler Catalina: Illegal Block Above the Waist, 10 yards",1.640,0.000
4,3:44,,,,,,Timeout #1 by Washington Redskins,0.000,-1.640
4,3:44,2,12,SEA 49,10,8,Kirk Cousins sacked by Michael Bennett for -6 yards,1.640,0.170
4,3:00,3,18,WAS 45,10,8,Chris Thompson left end for 5 yards (tackle by Justin Coleman),0.170,0.000
4,2:31,,,,,,Timeout #1 by Seattle Seahawks,0.000,0.060
4,2:31,4,13,,10,8,"Tress Way punts 29 yards, returned by Tyler Lockett for 8 yards (tackle by Deshazor Everett)",-0.060,-0.870
4,2:22,1,10,SEA 29,10,8,Russell Wilson pass complete short left to J.D. McKissic for 9 yards (tackle by Bashaud Breeland and D.J. Swearinger),0.870,1.540
4,2:00,2,1,SEA 38,10,8,Russell Wilson pass complete short right to Jimmy Graham for 21 yards (tackle by Josh Norman),1.540,2.850
4,1:52,1,10,WAS 41,10,8,Russell Wilson pass incomplete,2.850,2.310
4,1:46,2,10,WAS 41,10,8,Russell Wilson for 11 yards (tackle by Kendall Fuller),2.310,3.580
4,1:40,1,10,WAS 30,10,14,"Russell Wilson pass complete deep right to Doug Baldwin for 30 yards, touchdown",3.580,7.000
4,1:34,,,,,,Timeout #2 by Seattle Seahawks,0.000,0.000
4,1:34,,,WAS 2,10,14,"Two Point Attempt: Russell Wilson pass incomplete intended for Jimmy Graham, conversion fails",0.000,-1.000
4,1:34,,,SEA 35,10,14,"Blair Walsh kicks off 65 yards, touchback. Penalty on Delano Hill: Offside on Free Kick, 5 yards",0.000,-0.940
4,1:34,1,10,WAS 30,10,14,Kirk Cousins pass incomplete short left intended for Josh Doctson (defended by Dwight Freeney),0.940,0.390
4,1:31,2,10,WAS 30,10,14,Kirk Cousins pass complete deep right to Brian Quick for 31 yards (tackle by Justin Coleman and Kam Chancellor),0.390,2.980
4,1:24,1,10,SEA 39,10,14,Kirk Cousins pass complete deep left to Josh Doctson for 38 yards (tackle by Bradley McDougald),2.980,0.000
4,1:02,,,,,,Timeout #3 by Seattle Seahawks,0.000,-6.970
4,1:02,1,1,SEA 1,16,14,"Robert Kelley left guard for 1 yard, touchdown",6.970,7.000
4,0:59,,,SEA 15,17,14,Nick Rose kicks extra point good,0.000,0.000
4,0:59,,,WAS 35,17,14,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
4,0:59,1,10,SEA 25,17,14,Russell Wilson pass complete short right to J.D. McKissic for 5 yards,0.610,0.740
4,0:53,2,5,SEA 30,17,14,Russell Wilson pass complete short left to Tyler Lockett for 6 yards (tackle by Bashaud Breeland),0.740,1.330
4,0:45,1,10,SEA 36,17,14,Russell Wilson pass incomplete deep left intended for Tyler Lockett (defended by Quinton Dunbar),1.330,0.790
4,0:40,2,10,SEA 36,17,14,Russell Wilson pass incomplete deep middle intended for Jimmy Graham,0.790,0.100
4,0:35,3,10,SEA 36,17,14,Russell Wilson pass complete short middle to Paul Richardson for 26 yards (tackle by Zach Brown),0.100,3.050
4,0:15,1,10,WAS 38,17,14,Russell Wilson sacked by Terrell McClain for -8 yards,3.050,0.000
4,0:04,,,,,,Timeout #2 by Washington Redskins,0.000,-1.430
4,0:04,2,18,WAS 46,17,14,Russell Wilson pass incomplete deep left intended for Tanner McEvoy (defended by DeAngelo Hall),1.430,0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
