Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
3,7:41,1,10,CHI 32,13,3,David Montgomery right guard for 2 yards (tackle by Bobby Okereke and Justin Houston),1.070,0.800
3,7:00,2,8,CHI 34,13,3,Nick Foles pass complete short middle to Anthony Miller for 4 yards (tackle by Isaiah Rodgers),0.800,0.630
3,6:21,3,4,CHI 38,13,3,Nick Foles pass incomplete deep right intended for Darnell Mooney,0.630,-0.850
3,6:15,4,4,CHI 38,13,3,"Pat O'Donnell punts 62 yards, touchback.",-0.850,-0.280
3,6:06,1,10,IND 20,13,3,Philip Rivers pass complete short left to Nyheim Hines for -6 yards (tackle by Roquan Smith),0.280,-1.180
3,5:27,2,16,IND 14,13,3,Philip Rivers pass complete short right to T.Y. Hilton for 13 yards (tackle by Kyle Fuller),-1.180,-0.030
3,4:45,3,3,IND 27,13,3,Philip Rivers pass complete deep middle to Marcus Johnson for 27 yards (tackle by Buster Skrine),-0.030,2.520
3,4:01,1,10,CHI 46,13,3,Jonathan Taylor left end for 5 yards (tackle by Tashaun Gipson),2.520,2.650
3,3:43,2,5,CHI 41,13,3,Jonathan Taylor left guard for 3 yards (tackle by Tashaun Gipson),2.650,2.350
3,2:56,3,2,CHI 38,13,3,Philip Rivers pass complete short left to Jordan Wilkins for 16 yards (tackle by Danny Trevathan),2.350,4.110
3,2:22,1,10,CHI 22,13,3,Jordan Wilkins right guard for -3 yards (tackle by Bilal Nichols),4.110,3.160
3,1:43,2,13,CHI 25,13,3,Philip Rivers pass complete short right to Nyheim Hines for -1 yards (tackle by Roquan Smith),3.160,2.350
3,1:03,3,14,CHI 26,13,3,Philip Rivers pass incomplete short middle intended for Zach Pascal (defended by Jaylon Johnson),2.350,1.740
3,1:00,4,14,CHI 26,16,3,Rodrigo Blankenship 44 yard field goal good,1.740,3.000
3,0:55,,,IND 35,16,3,"Rigoberto Sanchez kicks off 69 yards, returned by Cordarrelle Patterson for 21 yards (tackle by Jordan Glasgow and George Odum)",0.000,-0.060
3,0:51,1,10,CHI 17,16,3,Nick Foles pass complete short middle to Jimmy Graham for 5 yards (tackle by Bobby Okereke),-0.060,0.210
3,0:29,2,5,CHI 22,16,3,Nick Foles pass complete short right to Darnell Mooney for 4 yards (tackle by Anthony Walker),0.210,-0.120
Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CHI 26,16,3,Cordarrelle Patterson right guard for -1 yards (tackle by Bobby Okereke),-0.120,-1.700
4,14:18,4,2,CHI 25,16,3,"Pat O'Donnell punts 59 yards, returned by Nyheim Hines for 21 yards (tackle by Josh Woods)",-1.700,-1.400
4,14:06,1,10,IND 37,16,3,Philip Rivers pass incomplete short middle intended for T.Y. Hilton,1.400,0.860
4,14:01,2,10,IND 37,16,3,Nyheim Hines right guard for 3 yards (tackle by Akiem Hicks),0.860,0.560
4,13:18,3,7,IND 40,16,3,Philip Rivers pass incomplete deep middle intended for Zach Pascal (defended by Kyle Fuller),0.560,-0.720
4,13:13,4,7,IND 40,16,3,"Rigoberto Sanchez punts 60 yards, touchback.",-0.720,-0.280
4,13:01,1,10,CHI 20,16,3,Nick Foles pass complete short middle to David Montgomery for 8 yards (tackle by Anthony Walker),0.280,0.810
4,12:41,2,2,CHI 28,16,3,Nick Foles pass incomplete short left intended for David Montgomery,0.810,0.100
4,12:37,3,2,CHI 28,16,3,Nick Foles pass incomplete short middle intended for Anthony Miller (defended by Julian Blackmon),0.100,-1.500
4,12:32,4,2,CHI 28,16,3,"Nick Foles pass incomplete deep left intended for David Montgomery. Penalty on Khari Willis: Defensive Pass Interference, 32 yards (no play)",-1.500,2.920
4,12:25,1,10,IND 40,16,3,Nick Foles pass incomplete short left intended for David Montgomery (defended by DeForest Buckner),2.920,2.370
4,12:21,2,10,IND 40,16,3,"Penalty on Ben Banogu: Neutral Zone Infraction, 5 yards (no play)",2.370,3.050
4,12:21,2,5,IND 35,16,3,David Montgomery right guard for 3 yards (tackle by Bobby Okereke and Anthony Walker),3.050,2.740
4,11:49,3,2,IND 32,16,3,David Montgomery left tackle for 6 yards (tackle by Khari Willis),2.740,3.840
4,11:23,1,10,IND 26,16,3,Nick Foles pass incomplete short middle intended for Cole Kmet,3.840,3.300
4,11:17,2,10,IND 26,16,3,Nick Foles pass incomplete deep left intended for Allen Robinson (defended by Xavier Rhodes),3.300,2.610
4,11:10,3,10,IND 26,16,3,Nick Foles pass deep middle intended for Anthony Miller is intercepted by Julian Blackmon at IND-7 and returned for 15 yards,2.610,-0.410
4,10:59,1,10,IND 22,16,3,"Jonathan Taylor right tackle for 8 yards (tackle by Eddie Jackson and Brent Urban). Penalty on Akiem Hicks: Face Mask (15 Yards), 15 yards",0.410,1.930
4,10:31,1,10,IND 45,16,3,Jonathan Taylor right end for 16 yards (tackle by Eddie Jackson),1.930,2.980
4,9:51,1,10,CHI 39,16,3,Nyheim Hines left guard for 1 yard (tackle by Brent Urban and Tashaun Gipson),2.980,2.580
4,9:09,2,9,CHI 38,16,3,Jonathan Taylor left tackle for -4 yards (tackle by Bilal Nichols),2.580,1.360
4,8:25,3,13,CHI 42,16,3,Nyheim Hines left tackle for 12 yards (tackle by Danny Trevathan),1.360,1.520
4,7:40,,,,,,Timeout #1 by Indianapolis Colts,,
4,7:40,4,1,CHI 30,16,3,Jonathan Taylor left tackle for 3 yards (tackle by Roquan Smith),1.520,3.780
4,6:56,1,10,CHI 27,16,3,Jonathan Taylor right tackle for no gain (tackle by Brent Urban),3.780,3.230
4,6:13,2,10,CHI 27,16,3,Jonathan Taylor right end for 4 yards (tackle by Roy Robertson-Harris),3.230,3.070
4,6:10,,,,,,Timeout #1 by Chicago Bears,,
4,6:10,3,6,CHI 23,16,3,Philip Rivers pass complete short left to Trey Burton for 8 yards (tackle by Jaylon Johnson),3.070,4.580
4,5:23,1,10,CHI 15,16,3,Jordan Wilkins right guard for 1 yard (tackle by Tashaun Gipson),4.580,4.110
4,4:41,2,9,CHI 14,16,3,Jordan Wilkins left tackle for 4 yards (tackle by Tashaun Gipson),4.110,4.000
4,3:53,3,5,CHI 10,16,3,Nyheim Hines left guard for -2 yards (tackle by Roquan Smith),4.000,2.630
4,3:51,,,,,,Timeout #2 by Chicago Bears,,
4,3:51,4,7,CHI 12,19,3,Rodrigo Blankenship 30 yard field goal good,2.630,3.000
4,3:47,,,IND 35,19,3,"Rigoberto Sanchez kicks off 63 yards, returned by Cordarrelle Patterson for 18 yards (tackle by George Odum). Penalty on Barkevious Mingo: Illegal Block Above the Waist, 10 yards",0.000,-0.380
4,3:39,1,10,CHI 10,19,3,Nick Foles pass complete short left to Allen Robinson for 4 yards (tackle by Anthony Walker),-0.380,-0.460
4,3:22,2,6,CHI 14,19,3,Nick Foles pass complete short middle to Jimmy Graham for 7 yards (tackle by Bobby Okereke),-0.460,0.340
4,3:04,1,10,CHI 21,19,3,Nick Foles pass complete deep left to Allen Robinson for 25 yards (tackle by Xavier Rhodes),0.340,1.990
4,2:40,1,10,CHI 46,19,3,Nick Foles pass complete short right to Darnell Mooney for 4 yards (tackle by Kenny Moore),1.990,1.990
4,2:20,2,6,CHI 50,19,3,Nick Foles pass complete short left to Allen Robinson for 2 yards (tackle by Bobby Okereke),1.990,1.550
