Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
4,14:21,3,11,CHI 18,10,12,Matt Ryan pass complete short right to Brian Finneran for 13 yards (tackle by Mike Brown). Penalty on Corey Graham: Defensive Holding (Declined),3.000,6.060
4,14:00,1,5,CHI 5,10,12,Michael Turner up the middle for 2 yards (tackle by Kevin Payne),6.060,5.530
4,13:30,2,3,CHI 3,10,18,"Matt Ryan pass complete short left to Roddy White for 3 yards, touchdown",5.530,7.000
4,,,,CHI 2,10,19,Jason Elam kicks extra point good,0.000,0.000
4,,,,ATL 30,10,19,"Michael Koenen kicks off 53 yards, returned by Garrett Wolfe for 33 yards (tackle by Jamaal Fudge)",0.000,2.260
4,13:15,1,10,CHI 50,10,19,"Kyle Orton pass incomplete deep middle intended for Devin Hester. Penalty on Kevin Jones: Offensive Holding, 10 yards (no play)",2.260,1.600
4,13:08,1,20,CHI 40,10,19,Matt Forte up the middle for no gain (tackle by Chauncey Davis),1.600,0.360
4,12:34,2,20,CHI 40,10,19,Kyle Orton pass complete short right to Matt Forte for 11 yards (tackle by Chevis Jackson),0.360,1.160
4,11:47,3,9,ATL 49,10,19,"Kyle Orton pass incomplete. Penalty on Kyle Orton: Intentional Grounding (Offsetting), Penalty on Brent Grimes: Defensive Offside (Offsetting) (no play)",1.160,1.160
4,11:43,3,9,ATL 49,10,19,Kyle Orton pass complete short right to Devin Hester for 14 yards (tackle by Lawyer Milloy),1.160,3.250
4,11:04,1,10,ATL 35,10,19,Kevin Jones up the middle for 3 yards (tackle by Jonathan Babineaux),3.250,3.110
4,10:32,2,7,ATL 32,10,19,Kyle Orton pass complete short left to Greg Olsen for 14 yards (tackle by Chris Houston),3.110,4.370
4,10:02,1,10,ATL 18,10,19,Kyle Orton pass complete short left to Desmond Clark for 10 yards (tackle by Erik Coleman),4.370,5.370
4,9:21,1,8,ATL 8,10,19,Kyle Orton pass incomplete short right intended for Greg Olsen (defended by Brent Grimes),5.370,4.570
4,9:16,2,8,ATL 8,10,19,Matt Forte left end for 7 yards (tackle by Michael Boley and Jonathan Babineaux),4.570,5.170
4,8:41,3,1,ATL 1,10,19,Jason McKie up the middle for no gain (tackle by Curtis Lofton),5.170,3.550
4,8:03,4,1,ATL 1,10,19,Matt Forte up the middle for no gain (tackle by Keith Brooking),3.550,0.380
4,7:59,1,10,ATL 1,10,19,"Penalty on Dusty Dvoracek: Defensive Delay of Game, 5 yards (no play)",-0.380,-0.190
4,7:57,1,5,ATL 6,10,19,Michael Turner up the middle for no gain (tackle by Adewale Ogunleye),-0.190,-0.420
4,7:15,2,5,ATL 6,10,19,Michael Turner up the middle for no gain (tackle by Lance Briggs),-0.420,-0.840
4,6:36,3,5,ATL 6,10,19,Matt Ryan pass complete short right to Harry Douglas for 3 yards (tackle by Corey Graham),-0.840,-2.490
4,6:04,4,2,ATL 9,10,19,"Michael Koenen punts 45 yards, fair catch by Devin Hester",-2.490,-1.990
4,5:56,1,10,CHI 46,10,19,Kyle Orton pass complete short right to Greg Olsen for 5 yards (tackle by Brent Grimes),1.990,2.130
4,5:38,2,5,ATL 49,10,19,Kyle Orton pass incomplete short left intended for Greg Olsen,2.130,1.420
4,5:32,3,5,ATL 49,10,19,Kyle Orton pass complete short middle to Desmond Clark for 11 yards (tackle by Curtis Lofton),1.420,3.050
4,5:08,1,10,ATL 38,10,19,Matt Forte up the middle for 2 yards (tackle by Kindal Moorehead),3.050,2.780
4,4:45,2,8,ATL 36,10,19,Kyle Orton pass complete deep middle to Greg Olsen for 22 yards (tackle by Curtis Lofton),2.780,4.650
4,4:15,1,10,ATL 14,10,19,Kyle Orton pass incomplete short left intended for Greg Olsen,4.650,4.000
4,4:13,2,10,ATL 14,10,19,Kyle Orton pass incomplete short right intended for Desmond Clark,4.000,3.110
4,4:08,3,10,ATL 14,10,19,Kyle Orton pass incomplete short middle intended for Marty Booker,3.110,2.510
4,4:05,4,10,ATL 14,13,19,Robbie Gould 32 yard field goal good,2.510,3.000
4,,,,CHI 30,13,19,"Robbie Gould kicks off 72 yards, returned by Jerious Norwood for 85 yards (tackle by Garrett Wolfe)",0.000,4.440
4,3:48,1,10,CHI 17,13,19,Michael Turner right end for -2 yards (tackle by Dusty Dvoracek),4.440,3.600
4,3:41,,,,13,19,Timeout #1 by Chicago Bears,0.000,3.600
4,3:41,2,12,CHI 19,13,19,Michael Turner up the middle for 2 yards (tackle by Adewale Ogunleye),3.600,3.070
4,3:35,,,,13,19,Timeout #2 by Chicago Bears,0.000,3.070
4,3:35,3,10,CHI 17,13,19,Michael Turner left tackle for 2 yards,3.070,2.440
4,2:50,,,,13,19,Timeout #1 by Atlanta Falcons,0.000,2.440
4,2:50,4,8,CHI 15,13,19,Jason Elam 33 yard field goal no good,2.440,-0.480
4,2:43,1,10,CHI 23,13,19,Kyle Orton pass complete short middle to Matt Forte for 4 yards (tackle by Michael Boley),0.480,0.470
4,2:21,2,6,CHI 27,13,19,Kyle Orton pass complete short middle to Desmond Clark for 10 yards (tackle by Keith Brooking),0.470,1.400
4,2:05,1,10,CHI 37,13,19,Kyle Orton pass incomplete short right intended for Desmond Clark,1.400,0.860
4,2:00,2,10,CHI 37,13,19,"Kyle Orton pass incomplete short right intended for Devin Hester. Penalty on Brent Grimes: Defensive Pass Interference, 6 yards (no play)",0.860,1.800
4,1:57,1,10,CHI 43,13,19,Kyle Orton pass incomplete deep right intended for Devin Hester,1.800,1.250
4,1:52,2,10,CHI 43,13,19,Kyle Orton pass complete short right to Matt Forte for 3 yards (tackle by John Abraham),1.250,0.960
4,1:24,3,7,CHI 46,13,19,Kyle Orton pass complete short middle to Matt Forte for 10 yards (tackle by Kindal Moorehead),0.960,2.650
4,0:59,1,10,ATL 44,13,19,Kyle Orton pass complete short left to Rashied Davis for 10 yards (tackle by Chevis Jackson),2.650,3.310
4,0:34,1,10,ATL 34,13,19,Kyle Orton pass complete deep middle to Devin Hester for 17 yards (tackle by Chris Houston),3.310,4.440
4,0:28,,,,13,19,Timeout #3 by Chicago Bears,0.000,4.440
4,0:28,1,10,ATL 17,13,19,Kyle Orton pass incomplete short right intended for Devin Hester,4.440,3.850
4,0:23,2,10,ATL 17,13,19,Kyle Orton pass incomplete deep left intended for Marty Booker,3.850,3.070
4,0:17,3,10,ATL 17,19,19,"Kyle Orton pass complete deep left to Rashied Davis for 17 yards, touchdown",3.070,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,ATL 2,20,19,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,20,19,"Robbie Gould kicks off 36 yards, returned by Harry Douglas for 10 yards (tackle by Craig Steltz)",0.000,1.860
4,0:06,1,10,ATL 44,20,19,Matt Ryan pass complete deep left to Michael Jenkins for 26 yards (tackle by Mike Brown),1.860,3.580
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:01,1,10,CHI 30,20,22,Jason Elam 48 yard field goal good,3.580,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
