Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
4,9:17,1,10,TEN 20,23,20,Chris Johnson right tackle for -2 yards (tackle by Erik Walden),0.280,-0.630
4,8:41,2,12,TEN 18,23,20,Ryan Fitzpatrick pass incomplete short middle intended for Nate Washington (defended by Darius Butler),-0.630,-1.330
4,8:35,3,12,TEN 18,23,20,Ryan Fitzpatrick pass complete short right to Kendall Wright for 11 yards (tackle by Darius Butler),-1.330,-1.440
4,7:53,4,1,TEN 29,23,20,"Brett Kern punts 44 yards, returned by T.Y. Hilton for -1 yards (tackle by Craig Stevens)",-1.440,-0.670
4,7:41,1,10,IND 26,23,20,Donald Brown right tackle for 6 yards (tackle by Akeem Ayers),0.670,0.940
4,7:00,2,4,IND 32,23,20,Donald Brown right tackle for 17 yards (tackle by Michael Griffin),0.940,2.190
4,6:14,1,10,IND 49,23,20,Donald Brown right tackle for 8 yards (tackle by Derrick Morgan and Bernard Pollard),2.190,2.730
4,5:36,2,2,TEN 43,23,20,Donald Brown up the middle for 1 yard (tackle by Colin McCarthy),2.730,2.150
4,4:53,3,1,TEN 42,23,20,Stanley Havili left guard for 4 yards (tackle by Colin McCarthy and Zach Brown),2.150,3.050
4,4:11,1,10,TEN 38,23,20,Trent Richardson right guard for -1 yards (tackle by Akeem Ayers),3.050,2.370
4,3:29,2,11,TEN 39,23,20,Andrew Luck pass complete short right to Coby Fleener for 14 yards (tackle by Jason McCourty),2.370,3.910
4,3:21,1,10,TEN 25,23,20,Trent Richardson left tackle for 4 yards (tackle by Colin McCarthy),3.910,3.910
4,3:14,1,10,TEN 25,23,20,Timeout #2 by Tennessee Titans,3.910,3.900
4,3:14,2,6,TEN 21,23,20,"Donald Brown left guard for no gain (tackle by Ropati Pitoitua). Penalty on Akeem Ayers: Unnecessary Roughness, 10 yards",3.900,4.840
4,3:09,1,10,TEN 11,23,20,Donald Brown right tackle for no gain (tackle by Colin McCarthy),4.840,4.840
4,3:05,1,10,TEN 11,23,20,Timeout #3 by Tennessee Titans,4.840,4.140
4,3:05,2,10,TEN 11,29,20,"Donald Brown right guard for 11 yards, touchdown",4.140,7.000
4,3:05,,,TEN 2,30,20,Adam Vinatieri kicks extra point good,0.000,0.000
4,3:05,,,IND 35,30,20,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
4,3:01,1,10,TEN 20,30,20,Ryan Fitzpatrick pass complete short left to Delanie Walker for 4 yards (tackle by Pat Angerer),0.280,0.270
4,2:36,2,6,TEN 24,30,20,Ryan Fitzpatrick left guard for 15 yards (tackle by LaRon Landry),0.270,1.530
4,2:26,1,10,TEN 39,30,20,Ryan Fitzpatrick pass complete deep middle to Nate Washington for 42 yards (tackle by Cassius Vaughn),1.530,4.310
4,2:00,1,10,IND 19,30,26,"Ryan Fitzpatrick pass complete deep right to Delanie Walker for 19 yards, touchdown",4.310,7.000
4,2:00,,,IND 2,30,27,Rob Bironas kicks extra point good,0.000,0.000
4,2:00,,,TEN 35,30,27,"Rob Bironas kicks onside 9 yards, recovered by Pat Angerer",0.000,-2.650
4,1:53,1,10,TEN 44,30,27,Andrew Luck kneels for no gain,2.650,2.110
4,1:13,2,10,TEN 44,30,27,Andrew Luck kneels for -1 yards,2.110,1.290
4,0:33,3,11,TEN 45,30,27,Andrew Luck kneels for -1 yards,1.290,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
