Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
4,15:00,2,6,,12,14,Tom Brady pass complete short left to Wes Welker for 10 yards (tackle by Antonio Cromartie),1.990,2.920
4,14:40,1,10,SDG 40,12,14,Laurence Maroney right guard for 20 yards (tackle by Marlon McCree),2.920,4.240
4,13:51,1,10,SDG 20,12,14,Tom Brady pass complete short left to Laurence Maroney for 9 yards (tackle by Marlon McCree),4.240,5.260
4,13:35,2,1,SDG 11,12,14,Laurence Maroney up the middle for 4 yards (tackle by Igor Olshansky),5.260,5.600
4,13:04,1,7,SDG 7,12,14,Laurence Maroney up the middle for 1 yard (tackle by Shaun Phillips and Ryon Bingham),5.600,4.950
4,12:21,2,6,SDG 6,12,20,"Tom Brady pass complete short left to Wes Welker for 6 yards, touchdown",4.950,7.000
4,,,,SDG 2,12,21,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 30,12,21,"Stephen Gostkowski kicks off 75 yards, returned by Darren Sproles for 21 yards (tackle by Eric Alexander)",0.000,-0.140
4,12:11,1,10,SDG 16,12,21,Philip Rivers pass complete deep right to Chris Chambers for 17 yards (tackle by James Sanders),-0.140,1.140
4,11:37,1,10,SDG 33,12,21,Philip Rivers pass incomplete deep left intended for Chris Chambers,1.140,0.590
4,11:31,2,10,SDG 33,12,21,Philip Rivers pass incomplete short middle intended for Darren Sproles,0.590,-0.100
4,11:26,3,10,SDG 33,12,21,Philip Rivers pass complete deep left to Vincent Jackson for 18 yards (tackle by Ellis Hobbs),-0.100,2.320
4,10:43,1,10,NWE 49,12,21,Philip Rivers pass complete short right to Antonio Gates for 9 yards (tackle by Rodney Harrison),2.320,3.000
4,10:08,2,1,NWE 40,12,21,Michael Turner up the middle for 4 yards (tackle by Tedy Bruschi and Ty Warren),3.000,3.180
4,9:34,1,10,NWE 36,12,21,Philip Rivers pass incomplete short left intended for Antonio Gates,3.180,2.640
4,9:31,2,10,NWE 36,12,21,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Vince Wilfork),2.640,1.950
4,9:26,3,10,NWE 36,12,21,Philip Rivers pass incomplete short middle intended for Chris Chambers,1.950,0.880
4,9:21,4,10,NWE 36,12,21,"Mike Scifres punts 23 yards, fair catch by Kevin Faulk",0.880,0.320
4,9:13,1,10,NWE 13,12,21,Laurence Maroney left end for 12 yards (tackle by Antonio Cromartie),-0.320,0.610
4,8:40,1,10,NWE 25,12,21,Tom Brady sacked by Igor Olshansky and Stephen Cooper for -8 yards,0.610,-1.150
4,8:04,2,18,NWE 17,12,21,Tom Brady pass complete short right to Kevin Faulk for 7 yards (tackle by Drayton Florence),-1.150,-0.760
4,7:16,3,11,NWE 24,12,21,Tom Brady pass complete short right to Kevin Faulk for 11 yards (tackle by Clinton Hart),-0.760,1.270
4,6:30,1,10,NWE 35,12,21,Laurence Maroney right end for 1 yard (tackle by Clinton Hart and Ryon Bingham),1.270,0.860
4,5:49,,,,12,21,Timeout #2 by San Diego Chargers,0.000,0.860
4,5:49,2,9,NWE 36,12,21,Tom Brady pass complete short left to Donte Stallworth for 6 yards (tackle by Eric Weddle),0.860,0.960
4,5:17,3,3,NWE 42,12,21,Tom Brady pass complete short middle to Kevin Faulk for 14 yards (tackle by Eric Weddle),0.960,2.650
4,4:28,1,10,SDG 44,12,21,Laurence Maroney left end for 2 yards (tackle by Igor Olshansky and Jamal Williams),2.650,2.380
4,3:43,2,8,SDG 42,12,21,Laurence Maroney right guard for 6 yards (tackle by Jyles Tucker and Igor Olshansky),2.380,2.480
4,3:36,,,,12,21,Timeout #3 by San Diego Chargers,0.000,2.480
4,3:36,3,2,SDG 36,12,21,Laurence Maroney left tackle for 5 yards (tackle by Stephen Cooper),2.480,3.510
4,2:50,1,10,SDG 31,12,21,Laurence Maroney up the middle for 4 yards (tackle by Matt Wilhelm and Jamal Williams),3.510,3.510
4,2:08,2,6,SDG 27,12,21,Laurence Maroney left tackle for 2 yards (tackle by Shaun Phillips and Ryon Bingham),3.510,3.070
4,2:00,3,4,SDG 25,12,21,Laurence Maroney left tackle for 5 yards (tackle by Quentin Jammer),3.070,4.240
4,1:15,1,10,SDG 20,12,21,Tom Brady kneels for -1 yards,4.240,3.560
4,0:39,2,11,SDG 21,12,21,Tom Brady kneels for -1 yards,3.560,2.740
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
