Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
4,6:32,1,10,JAX 38,7,27,Maurice Jones-Drew right guard for 1 yard (tackle by Haloti Ngata and Ray Lewis),1.470,1.060
4,5:56,2,9,JAX 39,7,27,"Maurice Jones-Drew right guard for 1 yard (tackle by Bart Scott). Maurice Jones-Drew fumbles (forced by Bart Scott), recovered by Ray Lewis at JAX-40 (tackle by Brad Meester)",1.060,-2.920
4,5:48,1,10,JAX 40,7,27,Le'Ron McClain left tackle for 2 yards (tackle by Brian Williams),2.920,2.640
4,5:03,2,8,JAX 38,7,27,Le'Ron McClain left guard for 2 yards (tackle by Pierson Prioleau and Mike Peterson),2.640,2.210
4,4:23,3,6,JAX 36,7,27,Troy Smith pass incomplete short left intended for Terrance Copper (defended by Drayton Florence),2.210,0.880
4,4:17,4,6,JAX 36,7,27,"Sam Koch punts 36 yards, touchback",0.880,-0.280
4,4:12,1,10,JAX 20,7,27,David Garrard pass complete short right to Maurice Jones-Drew for 10 yards (tackle by Nick Greisen),0.280,0.940
4,4:04,1,10,JAX 30,7,27,David Garrard pass complete short right to Dennis Northcutt for 2 yards (tackle by Corey Ivy),0.940,0.660
4,3:33,2,8,JAX 32,7,27,David Garrard sacked by Corey Ivy for 0 yards,0.660,-0.030
4,2:55,3,8,JAX 32,7,27,David Garrard pass complete deep left to Mike Sims-Walker for 23 yards (tackle by Evan Oglesby),-0.030,2.590
4,2:28,1,10,BAL 45,7,27,David Garrard pass complete short right to Reggie Williams for 10 yards (tackle by Frank Walker),2.590,3.250
4,2:20,1,10,BAL 35,7,27,David Garrard up the middle for 4 yards (tackle by Ed Reed),3.250,3.240
4,2:00,2,6,BAL 31,7,27,"David Garrard pass incomplete deep middle intended for Dennis Northcutt is intercepted by Ed Reed and returned for 38 yards. Ed Reed fumbles, recovered by Terrell Suggs at BAL-30",3.240,-0.940
4,1:42,1,10,BAL 30,7,27,Le'Ron McClain left guard for 3 yards (tackle by Derrick Harvey),0.940,0.800
4,1:35,,,,7,27,Timeout #1 by Jacksonville Jaguars,0.000,0.800
4,1:35,2,7,BAL 33,7,27,Jalen Parmele up the middle for 31 yards (tackle by Reggie Nelson),0.800,3.180
4,0:47,1,10,JAX 36,7,27,Troy Smith pass complete deep middle to Edgar Jones for 25 yards (tackle by Reggie Nelson),3.180,4.840
4,0:13,1,10,JAX 11,7,27,"Penalty on Jared Gaither: False Start, 5 yards (no play)",4.840,4.340
4,0:03,1,15,JAX 16,7,27,Jalen Parmele up the middle for -4 yards (tackle by Derek Landri),4.340,3.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
