Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
3,7:41,3,14,NOR 15,10,17,Drew Brees pass complete short right to Coby Fleener for 8 yards (tackle by Alec Ogletree),-1.760,-1.830
3,7:05,4,6,NOR 23,10,17,"Thomas Morstead punts 67 yards, returned by Pharoh Cooper for 13 yards (tackle by Zach Line). Pharoh Cooper fumbles (forced by Zach Line), ball out of bounds at LAR-29. Penalty on Kevin Peterson: Illegal Block Above the Waist, 10 yards",-1.830,0.320
3,6:50,1,10,LAR 13,10,17,"Todd Gurley middle for 3 yards (tackle by Marcus Williams). Penalty on Andrew Whitworth: Offensive Holding, 8 yards",-0.320,-0.570
3,6:31,1,15,LAR 8,10,17,Todd Gurley middle for 14 yards (tackle by De'Vante Harris and Marcus Williams),-0.570,0.490
3,5:45,2,1,LAR 22,10,17,Todd Gurley middle for 3 yards (tackle by Craig Robertson and John Hughes),0.490,0.610
3,5:05,1,10,LAR 25,10,17,"Jared Goff pass incomplete deep middle intended for Sammy Watkins. Penalty on P.J. Williams: Defensive Pass Interference, 48 yards (no play)",0.610,3.780
3,4:58,1,10,NOR 27,10,17,Jared Goff pass complete short right to Tavon Austin for 4 yards (tackle by De'Vante Harris),3.780,3.770
3,4:47,2,6,NOR 23,10,17,"Penalty on LAR: Offensive 12 On-field, 5 yards (no play)",3.770,3.100
3,4:26,2,11,NOR 28,10,17,Todd Gurley middle for no gain (tackle by Craig Robertson),3.100,2.410
3,3:48,3,11,NOR 28,10,17,Jared Goff pass incomplete deep right intended for Sammy Watkins,2.410,1.590
3,3:42,4,11,NOR 28,10,20,Greg Zuerlein 46 yard field goal good,1.590,3.000
3,3:37,,,LAR 35,10,20,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,3:35,1,10,NOR 25,10,20,Mark Ingram left tackle for 7 yards (tackle by Mark Barron and Michael Brockers),0.610,1.010
3,3:02,2,3,NOR 32,10,20,Drew Brees sacked by Samson Ebukam for -11 yards. Penalty on Mark Ingram: Chop Block (Declined),1.010,-1.150
3,2:48,3,14,NOR 21,10,20,Drew Brees pass incomplete deep right intended for Ted Ginn,-1.150,-1.960
3,2:41,4,14,NOR 21,10,20,"Thomas Morstead punts 44 yards, out of bounds. Penalty on Troy Hill: Unnecessary Roughness, 15 yards",-1.960,-0.280
3,2:31,1,10,LAR 20,10,20,Jared Goff pass complete short middle to Sammy Watkins for 22 yards (tackle by Kenny Vaccaro),0.280,1.730
3,1:49,1,10,LAR 42,10,20,Jared Goff pass complete deep right to Tyler Higbee for 38 yards (tackle by Marcus Williams),1.730,4.240
3,0:55,1,10,NOR 20,10,20,Todd Gurley middle for 1 yard (tackle by Kenny Vaccaro and A.J. Klein),4.240,3.820
3,0:09,2,9,NOR 19,10,20,Jared Goff pass incomplete deep right intended for Josh Reynolds,3.820,3.100
3,0:03,3,9,NOR 19,10,20,"Jared Goff pass incomplete short right intended for Josh Reynolds. Penalty on Rob Havenstein: Face Mask (15 Yards), 15 yards (no play)",3.100,1.160
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,24,NOR 34,10,20,Jared Goff pass complete short left to Cooper Kupp for 4 yards (tackle by Rafael Bush),1.160,1.410
4,14:17,4,20,NOR 30,10,23,Greg Zuerlein 49 yard field goal good,1.410,3.000
4,14:11,,,LAR 35,10,23,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,14:11,1,10,NOR 25,10,23,Drew Brees pass incomplete deep left intended for Ted Ginn (defended by Kayvon Webster),0.610,0.060
4,14:04,2,10,NOR 25,10,23,"Drew Brees pass incomplete deep middle intended for Coby Fleener (defended by Mark Barron). Penalty on Blake Countess: Unnecessary Roughness, 15 yards (no play)",0.060,1.600
4,13:57,1,10,NOR 40,10,23,Drew Brees pass complete short left to Alvin Kamara for 17 yards (tackle by Blake Countess),1.600,2.720
4,13:26,1,10,LAR 43,10,23,Alvin Kamara middle for 5 yards (tackle by Kayvon Webster),2.720,2.850
4,12:49,2,5,LAR 38,10,23,Drew Brees pass incomplete short left intended for Coby Fleener,2.850,2.150
4,12:43,3,5,LAR 38,10,23,Drew Brees pass incomplete short middle intended for Ted Ginn (defended by Lamarcus Joyner),2.150,0.720
4,12:37,4,5,LAR 38,10,23,Drew Brees pass complete short middle to Alvin Kamara for 33 yards (tackle by John Johnson). Penalty on Trumaine Johnson: Illegal Use of Hands (Declined),0.720,6.060
4,12:25,1,5,LAR 5,10,23,Mark Ingram left end for 2 yards (tackle by Mark Barron),6.060,5.530
4,11:42,2,3,LAR 3,10,23,"Drew Brees pass complete short right to Mark Ingram for 3 yards. Penalty on Michael Hoomanawanui: Offensive Pass Interference, 10 yards (no play)",5.530,3.720
4,11:36,2,13,LAR 13,10,23,Drew Brees pass complete short middle to Willie Snead for 9 yards (tackle by Michael Brockers),3.720,4.490
4,10:50,3,4,LAR 4,10,23,Drew Brees pass complete short right to Michael Thomas for 1 yard (tackle by Kayvon Webster),4.490,3.040
4,10:09,4,3,LAR 3,13,23,Wil Lutz 21 yard field goal good,3.040,3.000
4,10:05,,,NOR 35,13,23,"Wil Lutz kicks off 66 yards, returned by Pharoh Cooper for 21 yards (tackle by Trey Edmunds)",0.000,-0.280
4,9:59,1,10,LAR 20,13,23,Todd Gurley left tackle for 11 yards (tackle by Sheldon Rankins),0.280,1.000
4,9:26,1,10,LAR 31,13,23,Jared Goff pass complete short left to Josh Reynolds for 14 yards (tackle by Sterling Moore),1.000,1.930
4,8:49,1,10,LAR 45,13,23,Cooper Kupp pass incomplete short right intended for Tavon Austin,1.930,1.380
4,8:43,2,10,LAR 45,13,23,Jared Goff pass incomplete short left intended for Pharoh Cooper,1.380,0.700
4,8:39,3,10,LAR 45,13,23,Jared Goff pass incomplete deep left intended for Sammy Watkins is intercepted by P.J. Williams at NOR-19,0.700,-0.150
4,8:31,1,10,NOR 19,13,23,Drew Brees pass incomplete deep right intended for Michael Thomas (defended by Trumaine Johnson),0.150,-0.390
4,8:23,2,10,NOR 19,13,23,Drew Brees pass incomplete short middle intended for Michael Thomas (defended by Alec Ogletree),-0.390,-1.070
4,8:15,3,10,NOR 19,13,23,Drew Brees pass complete short right to Mark Ingram for 5 yards (tackle by Alec Ogletree and Trumaine Johnson),-1.070,-1.770
4,8:01,4,5,NOR 24,13,23,"Thomas Morstead punts 51 yards, fair catch by Pharoh Cooper",-1.770,-0.610
4,7:55,1,10,LAR 25,13,23,Todd Gurley right tackle for 1 yard (tackle by Cameron Jordan),0.610,0.200
4,7:17,2,9,LAR 26,13,23,Jared Goff pass incomplete short right intended for Sammy Watkins (defended by Sterling Moore),0.200,-0.490
4,7:13,3,9,LAR 26,13,23,Jared Goff pass complete short right to Josh Reynolds for 10 yards (tackle by Vonn Bell),-0.490,1.330
4,6:33,1,10,LAR 36,13,23,"Jared Goff pass incomplete deep right intended for Sammy Watkins. Penalty on Sterling Moore: Defensive Pass Interference, 15 yards (no play)",1.330,2.320
4,6:25,1,10,NOR 49,13,23,Jared Goff pass complete short right to Tyler Higbee for 4 yards (tackle by Marcus Williams),2.320,2.320
4,5:50,2,6,NOR 45,13,23,Jared Goff pass complete short left to Cooper Kupp for 7 yards (tackle by Kenny Vaccaro),2.320,3.050
4,5:10,1,10,NOR 38,13,23,Todd Gurley left guard for no gain (tackle by Cameron Jordan),3.050,2.510
4,4:26,2,10,NOR 38,13,23,Jared Goff pass complete short left to Cooper Kupp for 14 yards,2.510,3.970
4,4:21,1,10,NOR 24,13,23,Todd Gurley right end for no gain (tackle by John Hughes),3.970,0.000
4,4:16,,,,,,Timeout #2 by New Orleans Saints,0.000,-3.430
4,4:16,2,10,NOR 24,13,23,Todd Gurley left end for 11 yards (tackle by Rafael Bush),3.430,4.710
4,3:28,1,10,NOR 13,13,23,Todd Gurley right tackle for 2 yards (tackle by Kenny Vaccaro and Rafael Bush),4.710,0.000
4,3:21,,,,,,Timeout #3 by New Orleans Saints,0.000,-4.390
4,3:21,2,8,NOR 11,13,23,Todd Gurley middle for 3 yards (tackle by Tyeler Davison),4.390,4.100
4,2:36,3,5,NOR 8,13,23,Jared Goff pass incomplete short left intended for Sammy Watkins (defended by P.J. Williams),4.100,2.970
4,2:31,4,5,NOR 8,13,26,Greg Zuerlein 26 yard field goal good,2.970,3.000
4,2:27,,,LAR 35,13,26,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,2:27,1,10,NOR 25,13,26,Drew Brees pass complete short right to Ted Ginn for 15 yards,0.610,1.600
4,2:21,1,10,NOR 40,13,26,"Drew Brees pass incomplete short left intended for Josh Hill. Penalty on Andrus Peat: Offensive Holding, 10 yards (no play)",1.600,0.940
4,2:17,1,20,NOR 30,13,26,Drew Brees pass complete short left to Alvin Kamara for 9 yards (tackle by Trumaine Johnson),0.940,0.920
4,2:10,2,11,NOR 39,13,26,Drew Brees pass complete short left to Michael Thomas for 10 yards (tackle by Trumaine Johnson and Alec Ogletree),0.920,1.550
4,2:00,3,1,NOR 49,13,26,Drew Brees pass complete short right to Ted Ginn for 11 yards,1.550,2.920
4,1:55,1,10,LAR 40,13,26,Drew Brees pass complete deep right to Ted Ginn for 25 yards,2.920,4.580
4,1:51,1,10,LAR 15,19,26,"Drew Brees pass complete short right to Alvin Kamara for 15 yards, touchdown. Penalty on Samson Ebukam: Defensive Offside (Declined)",4.580,7.000
4,1:45,,,LAR 15,20,26,Wil Lutz kicks extra point good,0.000,0.000
4,1:45,,,NOR 35,20,26,"Wil Lutz kicks onside 11 yards, recovered by Sammy Watkins",0.000,-2.520
4,1:44,1,10,NOR 46,20,26,Jared Goff kneels for -1 yards,2.520,1.840
4,1:08,2,11,NOR 47,20,26,Jared Goff kneels for -1 yards,1.840,1.030
4,0:34,3,12,NOR 48,20,26,Jared Goff kneels for -1 yards,1.030,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
