Quarter,Time,Down,ToGo,Location,OAK,CHI,Detail,EPB,EPA
4,,,,CHI 30,18,21,"Paul Edinger kicks off 64 yards, returned by Ronney Jenkins for 32 yards (tackle by Jerry Azumah)",0.000,1.470
4,6:51,1,10,OAK 38,18,21,Rich Gannon pass complete to Doug Jolley for 11 yards (tackle by R.W. McQuarters),1.470,2.190
4,6:13,1,10,OAK 49,18,21,Rich Gannon pass complete to Jerry Rice for 12 yards (tackle by Charles Tillman),2.190,2.980
4,5:35,1,10,CHI 39,18,21,Charlie Garner right guard for no gain (tackle by Phillip Daniels and Alfonso Boone),2.980,2.440
4,4:58,2,10,CHI 39,18,21,Rich Gannon pass complete to Doug Jolley for 2 yards (tackle by Lance Briggs),2.440,2.020
4,4:22,3,8,CHI 37,18,21,Charlie Garner left end for 6 yards (tackle by Mike Brown),2.020,1.400
4,3:36,4,2,CHI 31,21,21,Sebastian Janikowski 49 yard field goal good,1.400,3.000
4,,,,OAK 30,21,21,"Sebastian Janikowski kicks off 70 yards, returned by Jerry Azumah for 27 yards (tackle by Tim Johnson)",0.000,0.740
4,3:25,1,10,CHI 27,21,21,Anthony Thomas left tackle for 2 yards (tackle by Travian Smith),0.740,0.470
4,2:45,2,8,CHI 29,21,21,Kordell Stewart right end for 6 yards (tackle by Roderick Coleman),0.470,0.560
4,2:00,3,2,CHI 35,21,21,Kordell Stewart pass complete to Dustin Lyman for 5 yards (tackle by Travian Smith),0.560,1.600
4,1:26,1,10,CHI 40,21,21,Anthony Thomas right guard for 5 yards (tackle by Derrick Gibson),1.600,1.730
4,1:00,2,5,CHI 45,21,21,Kordell Stewart pass incomplete intended for David Terrell,1.730,1.030
4,0:56,3,5,CHI 45,21,21,Kordell Stewart pass complete to Dez White for 4 yards (tackle by Terrance Shaw),1.030,-0.130
4,0:45,,,,21,21,Timeout #2 by Chicago Bears,0.000,-0.130
4,0:45,4,1,CHI 49,21,21,Kordell Stewart left guard for 1 yard (tackle by Napoleon Harris),-0.130,2.260
4,0:22,1,10,CHI 50,21,21,Kordell Stewart spiked the ball,2.260,1.710
4,0:21,2,10,CHI 50,21,21,"Kordell Stewart left end for 19 yards (tackle by Rod Woodson). Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",1.710,0.360
4,0:15,2,20,CHI 40,21,21,Kordell Stewart pass complete to Dez White for 29 yards (tackle by Rod Woodson),0.360,3.510
4,0:09,1,10,OAK 31,21,21,Anthony Thomas right guard for 1 yard (tackle by Roderick Coleman),3.510,3.100
4,0:05,,,,21,21,Timeout #3 by Chicago Bears,0.000,0.000
4,0:05,,,,21,21,Timeout #1 by Oakland Raiders,0.000,3.100
4,0:05,2,9,OAK 30,21,24,Paul Edinger 48 yard field goal good,3.100,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
