Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
3,5:11,1,10,DEN 47,12,14,Javonte Williams right tackle for 15 yards (tackle by Juan Thornhill),2.060,3.050
3,4:29,1,10,CLE 38,12,14,Samaje Perine up the middle for 7 yards (tackle by Sione Takitaki and Matthew Adams),3.050,3.450
3,3:46,2,3,CLE 31,12,14,Samaje Perine right end for 24 yards (tackle by Tony Fields and Greg Newsome),3.450,5.600
3,3:01,1,7,CLE 7,12,14,Russell Wilson pass incomplete short right intended for Jerry Jeudy,5.600,4.760
3,2:48,2,7,CLE 7,12,14,Javonte Williams left guard for 5 yards (tackle by Grant Delpit),4.760,4.950
3,2:09,3,2,CLE 2,12,14,Samaje Perine up the middle for -3 yards (tackle by Ogbonnia Okoronkwo and Jeremiah Owusu-Koramoah),4.950,3.010
3,1:29,4,5,CLE 5,12,17,Wil Lutz 23 yard field goal good,3.010,3.000
3,1:25,,,DEN 35,12,17,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,1:25,1,10,CLE 25,12,17,Dorian Thompson-Robinson pass incomplete short middle intended for David Njoku,0.610,0.060
3,1:20,2,10,CLE 25,12,17,Dorian Thompson-Robinson pass complete short left to David Njoku for 3 yards (tackle by P.J. Locke),0.060,-0.230
3,0:38,3,7,CLE 28,12,17,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",-0.230,-0.890
3,0:11,3,12,CLE 23,12,17,"Dorian Thompson-Robinson pass incomplete short right intended for David Njoku. Penalty on Baron Browning: Roughing the Passer, 15 yards (accepted) (no play)",-0.890,1.470
3,0:11,1,10,CLE 38,12,17,Kareem Hunt right guard for 3 yards (tackle by Josey Jewell and Baron Browning),1.470,1.330
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CLE 41,12,17,"Elijah Moore aborted snap, recovered by D.J. Jones at CLE-31 and returned for 11 yards",1.330,-4.240
4,14:54,1,10,CLE 20,12,17,Marvin Mims right end for 11 yards (tackle by Greg Newsome),4.240,5.140
4,14:22,1,9,CLE 9,12,17,Javonte Williams right end for 1 yard (tackle by Jeremiah Owusu-Koramoah and Mike Ford),5.140,4.570
4,13:45,2,8,CLE 8,12,17,Russell Wilson pass incomplete short right intended for Courtland Sutton,4.570,3.580
4,13:37,3,8,CLE 8,12,23,"Russell Wilson pass incomplete intended for Adam Trautman DEN challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass complete short right to Adam Trautman for 8 yards, touchdown",3.580,7.000
4,13:29,,,CLE 15,12,24,Wil Lutz kicks extra point good,0.000,0.000
4,13:29,,,DEN 35,12,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,13:29,1,10,CLE 25,12,24,Jerome Ford right guard for 4 yards (tackle by Ja'Quan McMillian and Fabian Moreau),0.610,0.600
4,12:53,2,6,CLE 29,12,24,"Penalty on Geron Christian: False Start, 5 yards (accepted) (no play)",0.600,-0.070
4,12:53,2,11,CLE 24,12,24,P.J. Walker sacked by Nik Bonitto for -4 yards,-0.070,-1.290
4,12:13,3,15,CLE 20,12,24,P.J. Walker pass incomplete short right intended for Cedric Tillman (defended by Nik Bonitto),-1.290,-2.030
