Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
4,,,,,35,32,"Two Point Attempt: Shaun Hill pass complete to Calvin Johnson, conversion succeeds",1.000,1.000
4,,,,DET 30,35,32,Jason Hanson kicks onside 13 yards (onside kick successful),0.000,1.800
4,1:48,1,10,DET 43,35,32,Shaun Hill pass incomplete deep right intended for Calvin Johnson (defended by Quintin Mikell),1.800,1.250
4,1:42,2,10,DET 43,35,32,Shaun Hill pass incomplete short right intended for Jahvid Best,1.250,0.560
4,1:38,3,10,DET 43,35,32,Shaun Hill pass incomplete deep left intended for Bryant Johnson (defended by Nate Allen),0.560,-0.520
4,1:32,,,,35,32,Timeout #2 by Philadelphia Eagles,0.000,-0.520
4,1:32,4,10,DET 43,35,32,Shaun Hill pass incomplete short middle intended for Tony Scheffler (defended by Joselio Hanson),-0.520,-2.720
4,1:26,1,10,DET 43,35,32,Michael Vick kneels for -1 yards,2.720,2.040
4,1:24,,,,35,32,Timeout #3 by Detroit Lions,0.000,2.040
4,1:24,2,11,DET 44,35,32,Michael Vick kneels for -1 yards,2.040,1.220
4,0:42,3,12,DET 45,35,32,Michael Vick kneels for -1 yards,1.220,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
