Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
4,0:32,1,9,NYG 9,19,20,"Ryan Fitzpatrick pass complete short left to Brandon Marshall for 9 yards, touchdown",5.140,7.000
4,0:32,,,NYG 9,20,20,Randy Bullock kicks extra point good,0.000,0.000
4,0:32,,,NYJ 35,20,20,"Randy Bullock kicks off 65 yards, returned by Dwayne Harris for 15 yards (tackle by Erin Henderson)",0.000,0.220
4,0:21,1,10,NYG 15,20,20,Shane Vereen left guard for 11 yards (tackle by David Harris and Marcus Gilchrist),-0.220,-0.220
4,0:15,1,10,NYG 15,20,20,Timeout #3 by New York Giants,-0.220,0.670
4,0:15,1,10,NYG 26,20,20,Shane Vereen right tackle for no gain (tackle by Sheldon Richardson),0.670,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
,,,,,,,"Jets won the coin toss, Jets to receive the overtime kickoff.",,
OT,15:00,,,NYG 35,20,20,"Josh Brown kicks off 59 yards, returned by Antonio Cromartie for 20 yards (tackle by Craig Dahl)",0.000,-0.670
OT,14:56,1,10,NYJ 26,20,20,Chris Ivory right tackle for -1 yards (tackle by Jason Pierre-Paul),0.670,-0.010
OT,14:18,2,11,NYJ 25,20,20,Ryan Fitzpatrick pass complete short right to Bilal Powell for 2 yards (tackle by Damontre Moore),-0.010,-0.430
OT,13:34,3,9,NYJ 27,20,20,Ryan Fitzpatrick pass complete short right to Eric Decker for 11 yards (tackle by Jonathan Casillas and Dominique Rodgers-Cromartie),-0.430,1.470
OT,12:54,1,10,NYJ 38,20,20,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 13 yards (tackle by Craig Dahl),1.470,2.320
OT,12:22,1,10,NYG 49,20,20,Bilal Powell right tackle for 6 yards (tackle by Jay Bromley),2.320,2.590
OT,11:41,2,4,NYG 43,20,20,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 10 yards (tackle by Dominique Rodgers-Cromartie),2.590,3.380
OT,11:01,1,10,NYG 33,20,20,Bilal Powell middle for 7 yards (tackle by Kerry Wynn),3.380,3.780
OT,10:21,2,3,NYG 26,20,20,Bilal Powell right tackle for 1 yard (tackle by Markus Kuhn),3.780,3.200
OT,9:36,3,2,NYG 25,20,20,Ryan Fitzpatrick pass complete deep right to Eric Decker for 17 yards,3.200,5.370
OT,9:04,1,8,NYG 8,20,20,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker,5.370,4.570
OT,8:59,2,8,NYG 8,20,20,Ryan Fitzpatrick pass incomplete short middle intended for Kellen Davis (defended by Robert Ayers),4.570,3.580
OT,8:54,3,8,NYG 8,20,20,"Penalty on Ryan Fitzpatrick: Delay of Game, 5 yards (no play)",3.580,3.060
OT,8:54,3,13,NYG 13,20,20,Ryan Fitzpatrick pass incomplete short right intended for Bilal Powell,3.060,2.570
OT,8:50,4,13,NYG 13,23,20,Randy Bullock 31 yard field goal good,2.570,3.000
OT,8:50,,,NYJ 35,23,20,"Randy Bullock kicks off 66 yards, returned by Dwayne Harris for 43 yards (tackle by Rontez Miles)",0.000,-1.730
OT,8:36,1,10,NYG 42,23,20,Eli Manning pass complete short middle to Odell Beckham for 9 yards (tackle by Buster Skrine),1.730,2.400
OT,8:12,2,1,NYJ 49,23,20,Eli Manning pass incomplete short left intended for Rueben Randle,2.400,1.690
OT,8:06,3,1,NYJ 49,23,20,"Eli Manning pass incomplete deep right intended for Odell Beckham. Penalty on Odell Beckham: Delay of Game, 5 yards",1.690,-0.320
OT,8:00,4,6,NYG 46,23,20,Eli Manning pass complete deep left to Odell Beckham for 20 yards (tackle by Buster Skrine),-0.320,3.310
OT,7:26,1,10,NYJ 34,23,20,Eli Manning pass incomplete short middle intended for Rashad Jennings,3.310,2.770
OT,7:20,2,10,NYJ 34,23,20,Rashad Jennings left guard for 4 yards (tackle by Demario Davis and David Harris),2.770,2.610
OT,6:44,3,6,NYJ 30,23,20,Eli Manning pass incomplete short left intended for Rueben Randle,2.610,1.430
OT,6:38,4,6,NYJ 30,23,20,Josh Brown 48 yard field goal no good,1.430,0.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
