Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
4,1:27,1,10,LAR 45,17,13,Todd Gurley right tackle for no gain (tackle by Josh Mauro),1.930,1.930
4,1:22,1,10,LAR 45,17,13,Timeout #1 by Arizona Cardinals,1.930,1.380
4,1:22,2,10,LAR 45,17,13,Todd Gurley middle for -4 yards (tackle by Calais Campbell),1.380,1.380
4,1:18,2,10,LAR 45,17,13,Timeout #2 by Arizona Cardinals,1.380,0.170
4,1:18,3,14,LAR 41,17,13,Todd Gurley right end for 2 yards (tackle by Chandler Jones),0.170,0.170
4,1:14,3,14,LAR 41,17,13,Timeout #3 by Arizona Cardinals,0.170,-0.520
4,1:14,4,12,LAR 43,17,13,"Johnny Hekker punts 41 yards, returned by John Brown for no gain. Penalty on Malcolm Brown: Horse Collar Tackle, 15 yards",-0.520,-1.000
4,1:01,1,10,ARI 31,17,13,"Drew Stanton pass incomplete short middle intended for Larry Fitzgerald. Penalty on Eugene Sims: Roughing the Passer, 15 yards (no play)",1.000,1.990
4,0:56,1,10,ARI 46,17,13,Drew Stanton pass complete short left to Darren Fells for 2 yards (tackle by E.J. Gaines),1.990,1.720
4,0:33,2,8,ARI 48,17,13,Drew Stanton pass incomplete deep left intended for Michael Floyd (defended by T.J. McDonald),1.720,1.030
4,0:27,3,8,ARI 48,17,13,Drew Stanton pass complete short middle to Larry Fitzgerald for 15 yards (tackle by Alec Ogletree),1.030,3.120
4,0:13,1,10,LAR 37,17,13,Drew Stanton spiked the ball,3.120,2.570
4,0:12,2,10,LAR 37,17,13,Drew Stanton pass incomplete short right intended for Jaron Brown (defended by Trumaine Johnson),2.570,1.880
4,0:05,3,10,LAR 37,17,13,Drew Stanton pass incomplete intended for Larry Fitzgerald is intercepted by T.J. McDonald at LAR-0,1.880,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
