Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
2,8:54,1,10,GNB 25,7,3,Brett Favre pass complete to Bubba Franks for 15 yards (tackle by Dan Morgan and Mike Minter),0.610,1.600
2,8:18,1,10,GNB 40,7,3,Ahman Green right guard for 1 yard (tackle by Al Wallace),1.600,1.190
2,7:39,2,9,GNB 41,7,3,Ahman Green right tackle for 2 yards (tackle by Mike Rucker and Kris Jenkins),1.190,0.760
2,6:58,3,7,GNB 43,7,3,Brett Favre pass incomplete intended for Robert Ferguson,0.760,-0.520
2,6:53,4,7,GNB 43,7,3,"Josh Bidwell punts 51 yards, returned by Steve Smith for 3 yards (tackle by Torrance Marshall). Penalty on Lester Towns: Illegal Block Above the Waist, 4 yards",-0.520,0.380
2,6:44,1,10,CAR 5,7,3,Lamar Smith right end for 5 yards (tackle by Hardy Nickerson),-0.380,-0.420
2,6:04,2,5,CAR 10,7,3,Lamar Smith left tackle for 7 yards (tackle by Matt Bowen and Darren Sharper),-0.420,-0.060
2,5:27,1,10,CAR 17,7,3,Rodney Peete pass incomplete intended for Steve Smith,-0.060,-0.580
2,5:22,2,10,CAR 17,7,3,"Penalty on Todd Steussie: False Start, 5 yards (no play)",-0.580,-1.150
2,5:22,2,15,CAR 12,7,3,Dee Brown left guard for 8 yards (tackle by Billy Lyon and Darren Sharper),-1.150,-0.870
2,4:40,3,7,CAR 20,7,3,Lamar Smith left tackle for 5 yards (tackle by Tod McBride and Hardy Nickerson),-0.870,-1.700
2,4:02,4,2,CAR 25,7,3,"Todd Sauerbrun punts 48 yards, returned by Darrien Gordon for 3 yards (tackle by Will Witherspoon)",-1.700,-0.940
2,3:47,1,10,GNB 30,7,3,Ahman Green right end for 2 yards (tackle by Julius Peppers),0.940,0.660
2,3:09,2,8,GNB 32,7,3,Brett Favre pass complete to Robert Ferguson for 8 yards (tackle by Terry Cousin and Dan Morgan). Penalty on Terry Cousin: Defensive Holding (Declined),0.660,1.600
2,2:58,1,10,GNB 40,7,3,Brett Favre pass complete to Bubba Franks for 5 yards (tackle by Dan Morgan and Terry Cousin),1.600,1.730
2,2:23,2,5,GNB 45,7,3,Brett Favre pass complete to Donald Driver for 15 yards (tackle by Mike Minter),1.730,2.920
2,2:00,1,10,CAR 40,7,3,Brett Favre pass incomplete,2.920,2.370
2,1:54,2,10,CAR 40,7,3,"Brett Favre pass incomplete intended for Bubba Franks (defended by Mark Fields). Penalty on Mark Fields: Defensive Pass Interference, 9 yards (no play)",2.370,3.510
2,1:50,1,10,CAR 31,7,9,"Bubba Franks pass complete to Donald Driver for 31 yards, touchdown. Penalty on GNB: Unsportsmanlike Conduct, 15 yards",3.510,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:50,,,CAR 31,7,10,Ryan Longwell kicks extra point good,0.000,0.000
2,1:50,,,GNB 15,7,10,"Ryan Longwell kicks off 65 yards, returned by Steve Smith for 23 yards (tackle by Paris Lenon)",0.000,1.800
2,1:36,1,10,CAR 43,7,10,Rodney Peete pass incomplete intended for Steve Smith (defended by Tyrone Williams),1.800,1.250
2,1:33,2,10,CAR 43,7,10,Dee Brown left tackle for 13 yards (tackle by Matt Bowen),1.250,2.650
2,1:02,1,10,GNB 44,7,10,Rodney Peete pass complete to Steve Smith for 9 yards (tackle by Tyrone Williams),2.650,3.330
2,0:57,2,1,GNB 35,7,10,"Rodney Peete pass incomplete intended for Karl Hankton. Penalty on Na'il Diggs: Roughing the Passer, 15 yards (no play)",3.330,4.240
2,0:51,1,10,GNB 20,7,10,"Rodney Peete sacked by Cletidus Hunt for -4 yards. Rodney Peete fumbles (forced by Cletidus Hunt), recovered by Joe Johnson at GNB-24 (tackle by Todd Steussie)",4.240,-0.540
2,0:43,1,10,GNB 20,,,Timeout #2 by Carolina Panthers,4.240,-0.540
2,0:43,1,10,GNB 24,7,10,"Brett Favre pass complete to Donald Driver for 76 yards. Penalty on Marco Rivera: Ineligible Downfield Pass (Offsetting), Penalty on CAR: Face Mask (5 Yards) (Offsetting) (no play)",0.540,0.540
2,0:30,1,10,GNB 24,7,10,Ahman Green right tackle for 7 yards (tackle by Jarrod Cooper),0.540,0.940
2,0:09,2,3,GNB 31,7,10,Ahman Green right tackle for 15 yards (tackle by Deon Grant and Emmanuel McDaniel),0.940,1.990
2,0:04,2,3,GNB 31,,,Timeout #1 by Green Bay Packers,0.940,1.990
2,0:04,1,10,GNB 46,7,10,Brett Favre pass complete to Robert Ferguson for 16 yards (tackle by Reggie Howard). Penalty on Marco Rivera: Offensive Holding (no play),1.990,3.050
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,7,10,"Todd Sauerbrun kicks off 64 yards, returned by Darrien Gordon for 18 yards (tackle by Damien Richardson). Darrien Gordon fumbles (forced by Damien Richardson), recovered by Bhawoh Jue at GNB-23",0.000,0.480
3,14:54,1,10,GNB 23,7,10,Ahman Green right tackle for 11 yards (tackle by Hannibal Navies and Dan Morgan),0.480,1.200
3,14:18,1,10,GNB 34,7,10,Brett Favre pass complete to Donald Driver for 11 yards (tackle by Reggie Howard and Mark Fields),1.200,1.930
3,13:37,1,10,GNB 45,7,10,Ahman Green right end for 1 yard (tackle by Mike Minter and Julius Peppers),1.930,1.520
3,12:54,2,9,GNB 46,7,10,Ahman Green right tackle for 2 yards (tackle by Mike Rucker),1.520,1.090
3,12:09,3,7,GNB 48,7,10,Brett Favre pass incomplete intended for Robert Ferguson,1.090,-0.190
3,12:02,4,7,GNB 48,7,10,"Josh Bidwell punts 39 yards, returned by Steve Smith for 3 yards (tackle by Paris Lenon)",-0.190,0.140
3,11:52,1,10,CAR 16,7,10,Rodney Peete pass incomplete intended for Dee Brown,-0.140,-0.660
3,11:47,2,10,CAR 16,7,10,Rodney Peete pass incomplete intended for Brad Hoover,-0.660,-1.320
3,11:43,3,10,CAR 16,7,10,Rodney Peete sacked by Steve Warren for -3 yards,-1.320,-2.490
3,11:28,4,13,CAR 13,7,10,"Todd Sauerbrun punts 47 yards, returned by Darrien Gordon for no gain. Penalty on Mike McKenzie: Illegal Block Above the Waist, 10 yards",-2.490,-0.940
3,11:16,1,10,GNB 30,7,10,"Ahman Green left end for 2 yards (tackle by Mike Minter). Penalty on Tyrone Davis: Offensive Holding, 10 yards (no play)",0.940,0.280
3,10:53,1,20,GNB 20,7,10,Ahman Green right tackle for 3 yards (tackle by Kris Jenkins),0.280,-0.550
3,10:15,2,17,GNB 23,7,10,Brett Favre pass incomplete intended for Robert Ferguson,-0.550,-1.220
3,10:15,3,17,GNB 23,7,10,"Penalty on Chad Clifton: False Start, 5 yards (no play)",-1.220,-2.120
3,10:11,3,22,GNB 18,7,10,Brett Favre pass complete to Ahman Green for 8 yards (tackle by Mark Fields and Terry Cousin),-2.120,-1.630
3,9:31,4,14,GNB 26,7,10,"Josh Bidwell punts 42 yards, returned by Steve Smith for 4 yards (tackle by Matt Bowen). Penalty on Reggie Howard: Personal Foul, 15 yards",-1.630,-0.340
3,9:22,1,10,CAR 21,7,10,Rodney Peete pass complete to Kris Mangum for 11 yards (tackle by Darren Sharper),0.340,1.070
3,8:43,1,10,CAR 32,7,10,Rodney Peete pass incomplete intended for Lamar Smith (defended by Hardy Nickerson),1.070,0.530
3,8:39,2,10,CAR 32,7,10,Lamar Smith right guard for 6 yards (tackle by Steve Warren and Nate Wayne),0.530,0.630
3,7:59,3,4,CAR 38,7,10,Rodney Peete sacked by Cletidus Hunt for -2 yards,0.630,-0.980
3,7:48,4,6,CAR 36,7,10,"Todd Sauerbrun punts 49 yards, returned by Darrien Gordon for no gain",-0.980,0.220
3,7:37,1,10,GNB 15,7,10,Ahman Green right tackle for 3 yards (tackle by Hannibal Navies),-0.220,-0.280
3,6:58,2,7,GNB 18,7,10,Brett Favre pass complete to Bubba Franks for 8 yards (tackle by Mike Minter),-0.280,0.670
3,6:14,1,10,GNB 26,7,10,Ahman Green right tackle for no gain (tackle by Julius Peppers and Dan Morgan),0.670,0.130
3,5:33,2,10,GNB 26,7,10,Brett Favre pass complete to Donald Driver for 18 yards (tackle by Reggie Howard and Deon Grant),0.130,1.860
3,4:48,1,10,GNB 44,7,10,Brett Favre pass incomplete intended for Tony Carter,1.860,1.320
3,4:44,2,10,GNB 44,7,10,Brett Favre pass incomplete intended for Karsten Bailey is intercepted by Dan Morgan at GNB-48 and returned for 4 yards,1.320,-2.650
3,4:38,1,10,GNB 44,7,10,"Penalty on Todd Steussie: False Start, 5 yards (no play)",2.650,2.320
3,4:38,1,15,GNB 49,7,10,Lamar Smith right guard for no gain (tackle by Joe Johnson),2.320,1.440
3,3:58,2,15,GNB 49,7,10,Lamar Smith left guard for 3 yards (tackle by Gilbert Brown and Aaron Kampman),1.440,1.160
3,3:13,3,12,GNB 46,7,10,Rodney Peete pass complete to Karl Hankton for 31 yards (tackle by Matt Bowen),1.160,4.580
3,2:25,1,10,GNB 15,7,10,Rodney Peete pass incomplete intended for Kris Mangum,4.580,3.950
3,2:19,2,10,GNB 15,7,10,Rodney Peete pass incomplete intended for Wesley Walls,3.950,3.100
3,2:04,3,10,GNB 15,7,10,"Rodney Peete sacked by Joe Johnson for 0 yards. Rodney Peete fumbles (forced by Joe Johnson), recovered by Tod McBride at GNB-13 and returned for 4 yards (tackle by Kevin Donnalley)",3.100,0.060
3,2:04,1,10,GNB 17,7,10,Brett Favre pass complete to Bubba Franks for 5 yards (tackle by Terry Cousin and Hannibal Navies),-0.060,0.210
3,1:47,2,5,GNB 22,7,10,Ahman Green right end for 1 yard (tackle by Dan Morgan),0.210,-0.490
3,1:23,3,4,GNB 23,7,10,Brett Favre sacked by Kris Jenkins for -10 yards,-0.490,-2.490
3,0:58,4,14,GNB 13,7,10,"Josh Bidwell punts 50 yards, returned by Steve Smith for 10 yards (tackle by Tony Fisher)",-2.490,-2.060
3,0:46,1,10,CAR 47,7,10,Lamar Smith left guard for 5 yards (tackle by Hardy Nickerson and Aaron Kampman),2.060,2.190
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,GNB 48,7,10,Lamar Smith left tackle for 4 yards (tackle by Hardy Nickerson and Nate Wayne),2.190,2.020
4,14:18,3,1,GNB 44,7,10,Brad Hoover left guard for 11 yards (tackle by Darren Sharper),2.020,3.380
4,13:39,1,10,GNB 33,7,10,Rodney Peete pass complete to Brad Hoover for 31 yards (tackle by Matt Bowen),3.380,6.740
4,12:59,1,2,GNB 2,13,10,"Lamar Smith right tackle for 2 yards, touchdown",6.740,7.000
4,12:59,,,GNB 2,14,10,Shayne Graham kicks extra point good,0.000,0.000
4,12:59,,,CAR 30,14,10,"Todd Sauerbrun kicks off 59 yards, returned by Najeh Davenport for 27 yards (tackle by Todd Sauerbrun)",0.000,1.470
4,12:48,1,10,GNB 38,14,10,Brett Favre pass incomplete intended for Najeh Davenport,1.470,0.920
4,12:48,2,10,GNB 38,14,10,"Penalty on Najeh Davenport: False Start, 5 yards (no play)",0.920,0.250
4,12:44,2,15,GNB 33,14,10,Brett Favre sacked by Brentson Buckner for -8 yards,0.250,-1.480
4,12:10,3,23,GNB 25,14,10,Brett Favre pass complete to Robert Ferguson for 20 yards (tackle by Reggie Howard),-1.480,-0.390
4,11:33,4,3,GNB 45,14,10,Josh Bidwell punts 29 yards,-0.390,-0.670
4,11:20,1,10,CAR 26,14,10,Lamar Smith middle for -3 yards (tackle by Na'il Diggs),0.670,-0.280
4,10:44,2,13,CAR 23,14,10,Rodney Peete pass complete to Lamar Smith for 7 yards (tackle by Cletidus Hunt),-0.280,-0.030
4,10:03,2,13,CAR 23,,,Timeout #1 by Green Bay Packers,-0.280,-0.030
4,10:03,3,6,CAR 30,14,10,"Dee Brown middle for 8 yards (tackle by Matt Bowen and Mike McKenzie). Dee Brown fumbles (forced by Matt Bowen), recovered by Jamal Reynolds at CAR-38 (tackle by Jamar Nesbit)",-0.030,-3.050
,,,,,,,"CAR challenged the ruling, and the play was upheld.",,
4,9:42,1,10,CAR 38,14,10,Ahman Green left guard for 1 yard (tackle by Mike Rucker),3.050,2.640
4,9:07,2,9,CAR 37,14,10,Brett Favre pass incomplete intended for Donald Driver,2.640,1.950
4,9:03,3,9,CAR 37,14,10,Brett Favre pass incomplete intended for Robert Ferguson,1.950,0.790
4,8:57,4,9,CAR 37,14,10,"Josh Bidwell punts 37 yards, touchback",0.790,-0.280
4,8:47,1,10,CAR 20,14,10,Dee Brown right end for -2 yards (tackle by Joe Johnson and Mike McKenzie),0.280,-0.630
4,8:00,2,12,CAR 18,14,10,Brad Hoover left tackle for 11 yards (tackle by Matt Bowen),-0.630,0.230
4,7:13,3,1,CAR 29,14,10,Brad Hoover middle for no gain (tackle by Gilbert Brown and Hardy Nickerson),0.230,-1.440
4,6:38,4,1,CAR 29,14,10,"Todd Sauerbrun punts 43 yards, returned by Darrien Gordon for 7 yards (tackle by Brian Allen)",-1.440,-1.270
4,6:29,1,10,GNB 35,14,10,Brett Favre sacked by Dan Morgan for -9 yards,1.270,-0.490
4,5:51,2,19,GNB 26,14,10,Brett Favre pass complete to Robert Ferguson for 11 yards (tackle by Reggie Howard),-0.490,0.300
4,5:08,3,8,GNB 37,14,10,"Brett Favre pass incomplete intended for Donald Driver is intercepted by Mike Minter at CAR-32 and returned for 47 yards. Penalty on Emmanuel McDaniel: Defensive Pass Interference, 34 yards (no play)",0.300,3.640
4,4:53,1,10,CAR 29,14,10,Najeh Davenport left guard for 7 yards (tackle by Reggie Howard),3.640,4.050
4,4:16,2,3,CAR 22,14,16,"Brett Favre pass complete to Donald Driver for 22 yards, touchdown",4.050,7.000
4,4:16,,,CAR 22,14,17,Ryan Longwell kicks extra point good,0.000,0.000
4,4:16,,,GNB 30,14,17,"Ryan Longwell kicks off 70 yards, touchback",0.000,0.280
4,4:10,1,10,CAR 20,14,17,Rodney Peete pass incomplete intended for Isaac Byrd,0.280,-0.270
4,4:05,2,10,CAR 20,14,17,Lamar Smith left tackle for 2 yards (tackle by Cletidus Hunt and Gilbert Brown),-0.270,-0.690
4,3:16,3,8,CAR 22,14,17,"Rodney Peete pass incomplete intended for Karl Hankton (defended by Cletidus Hunt). Penalty on Tyrone Williams: Defensive Holding, 5 yards (no play)",-0.690,0.740
4,3:10,1,10,CAR 27,14,17,Rodney Peete pass complete to Steve Smith for 26 yards (tackle by Tyrone Williams),0.740,2.460
4,3:01,1,10,GNB 47,14,17,Dee Brown left end for 2 yards (tackle by Darren Sharper and Hardy Nickerson),2.460,2.180
4,2:23,2,8,GNB 45,14,17,Rodney Peete pass incomplete intended for Brad Hoover,2.180,1.490
4,2:19,3,8,GNB 45,14,17,"Rodney Peete pass incomplete intended for Karl Hankton (defended by Darren Sharper). Penalty on Darren Sharper: Defensive Pass Interference, 13 yards (no play)",1.490,3.450
4,2:15,1,10,GNB 32,14,17,Dee Brown left tackle for 21 yards (tackle by Darren Sharper),3.450,4.840
4,2:00,1,10,GNB 11,14,17,Dee Brown left guard for -1 yards (tackle by Aaron Kampman),4.840,3.980
4,1:18,2,11,GNB 12,14,17,Rodney Peete pass complete to Steve Smith for 7 yards (tackle by Mike McKenzie),3.980,4.440
4,0:27,2,11,GNB 12,,,Timeout #2 by Carolina Panthers,3.980,4.440
4,0:27,3,4,GNB 5,14,17,Rodney Peete middle for -1 yards (tackle by Cletidus Hunt),4.440,2.990
4,0:16,3,4,GNB 5,,,Timeout #2 by Green Bay Packers,4.440,2.990
4,0:16,4,5,GNB 6,14,17,Shayne Graham 24 yard field goal no good,2.990,-0.280
4,0:13,1,10,GNB 20,14,17,Brett Favre kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
