Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
3,6:58,1,10,WAS 30,13,7,Jason Campbell pass incomplete short right intended for Santana Moss (defended by Scott Fujita),0.940,0.390
3,6:54,2,10,WAS 30,13,7,Jason Campbell pass complete short right to Brandon Lloyd for 15 yards (tackle by Mike McKenzie),0.390,1.930
3,6:15,1,10,WAS 45,13,7,Jason Campbell pass incomplete short left intended for Santana Moss (defended by Josh Bullocks),1.930,1.380
3,6:10,2,10,WAS 45,13,7,Ladell Betts right guard for 10 yards (tackle by Josh Bullocks and Will Smith),1.380,2.590
3,5:25,1,10,NOR 45,13,7,Ladell Betts right end for 4 yards (tackle by Scott Fujita and Mark Simoneau),2.590,2.580
3,4:43,2,6,NOR 41,13,7,Ladell Betts left end for no gain (tackle by Scott Fujita and Willie Whitehead),2.580,1.880
3,4:04,3,6,NOR 41,13,7,Jason Campbell sacked by Brian Young for -11 yards,1.880,-0.190
3,3:56,4,17,WAS 48,13,7,"Derrick Frost punts 42 yards, returned by Reggie Bush for 11 yards (tackle by Rock Cartwright)",-0.190,-0.340
3,3:42,1,10,NOR 21,13,7,Deuce McAllister right guard for 2 yards (tackle by Cornelius Griffin),0.340,0.070
3,3:07,2,8,NOR 23,13,7,Drew Brees pass complete short left to Marques Colston for 15 yards (tackle by Vernon Fox),0.070,1.470
3,2:29,1,10,NOR 38,13,7,Drew Brees pass complete short left to Reggie Bush for 2 yards (tackle by Vernon Fox),1.470,1.190
3,1:48,2,8,NOR 40,13,7,Drew Brees pass complete deep left to Terrance Copper for 20 yards (tackle by Lemar Marshall),1.190,2.920
3,1:06,1,10,WAS 40,13,7,Deuce McAllister right tackle for 1 yard (tackle by Andre Carter),2.920,2.510
3,0:35,2,9,WAS 39,13,7,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Carlos Rogers),2.510,2.610
3,0:10,3,3,WAS 33,13,7,Drew Brees pass complete short left to Terrance Copper for 3 yards (tackle by Kenny Wright),2.610,3.580
Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 30,13,7,Deuce McAllister left guard for 3 yards (tackle by Phillip Daniels),3.580,3.440
4,14:20,2,7,WAS 27,13,7,Drew Brees pass complete short left to Devery Henderson for 4 yards (tackle by Vernon Fox),3.440,3.270
4,13:35,3,3,WAS 23,13,7,Drew Brees pass incomplete (defended by Kedric Golston),3.270,2.030
4,13:31,4,3,WAS 23,13,10,John Carney 41 yard field goal good,2.030,3.000
4,,,,NOR 30,13,10,"Billy Cundiff kicks off 68 yards, returned by Rock Cartwright for 32 yards (tackle by Danny Clark)",0.000,-1.200
4,13:18,1,10,WAS 34,13,10,Ladell Betts for 2 yards (tackle by Scott Fujita),1.200,0.930
4,12:55,2,8,WAS 36,13,10,Jason Campbell pass incomplete deep middle intended for Chris Cooley (defended by Jay Bellamy),0.930,0.230
4,12:49,,,,13,10,Timeout #1 by Washington Redskins,0.000,0.230
4,12:49,3,8,WAS 36,13,10,Jason Campbell pass incomplete deep left intended for Santana Moss (defended by Fred Thomas),0.230,-0.980
4,12:43,4,8,WAS 36,13,10,"Derrick Frost punts 51 yards, returned by Reggie Bush for 2 yards (tackle by Reed Doughty)",-0.980,0.220
4,12:27,1,10,NOR 15,13,10,Drew Brees sacked by Andre Carter for -7 yards,-0.220,-1.290
4,11:55,2,17,NOR 8,13,10,Deuce McAllister left guard for -2 yards (tackle by Vernon Fox),-1.290,-2.470
4,11:10,3,19,NOR 6,13,10,Drew Brees pass complete deep middle to Marques Colston for 24 yards (tackle by Lemar Marshall),-2.470,0.940
4,10:36,1,10,NOR 30,13,10,Drew Brees pass incomplete deep right intended for Devery Henderson is intercepted by Carlos Rogers at WAS-35,0.940,-1.270
4,10:24,1,10,WAS 35,13,10,"Ladell Betts right guard for 11 yards (tackle by Josh Bullocks). Ladell Betts fumbles (forced by Josh Bullocks), recovered by Antwaan Randle El at WAS-48",1.270,2.130
4,9:52,1,10,WAS 48,13,10,T.J. Duckett right guard for 11 yards (tackle by Josh Bullocks),2.130,2.850
4,9:17,1,10,NOR 41,13,10,T.J. Duckett right tackle for 5 yards (tackle by Willie Whitehead),2.850,2.980
4,8:37,2,5,NOR 36,13,10,Ladell Betts left tackle for no gain (tackle by Will Smith),2.980,2.280
4,7:51,3,5,NOR 36,13,10,Jason Campbell pass complete short right to Chris Cooley for 12 yards (tackle by Scott Fujita),2.280,3.970
4,7:13,,,,13,10,Timeout #1 by New Orleans Saints,0.000,3.970
4,7:13,1,10,NOR 24,13,10,Ladell Betts left tackle for 13 yards (tackle by Jay Bellamy),3.970,4.840
4,6:30,1,10,NOR 11,13,10,Ladell Betts left end for no gain (tackle by Will Smith and Mark Simoneau),4.840,4.140
4,5:48,2,10,NOR 11,13,10,Ladell Betts right tackle for 3 yards (tackle by Mark Simoneau),4.140,3.760
4,5:07,3,7,NOR 8,13,10,Jason Campbell pass complete short left to Santana Moss for 4 yards (tackle by Scott Shanle),3.760,3.030
4,4:19,4,3,NOR 4,16,10,Shaun Suisham 22 yard field goal good,3.030,3.000
4,,,,WAS 30,16,10,"Shaun Suisham kicks off 58 yards, returned by Michael Lewis for 26 yards (tackle by Adam Archuleta)",0.000,1.470
4,4:09,1,10,NOR 38,16,10,Drew Brees pass incomplete,1.470,0.920
4,4:04,2,10,NOR 38,16,10,Drew Brees sacked by Marcus Washington for -1 yards,0.920,0.100
4,3:42,3,11,NOR 37,16,10,Drew Brees pass complete short right to Marques Colston for 6 yards (tackle by Sean Taylor),0.100,-0.520
4,3:17,4,5,NOR 43,16,10,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Lemar Marshall),-0.520,2.260
4,2:44,1,10,,16,10,Drew Brees pass incomplete short middle intended for Devery Henderson,2.260,1.710
4,2:38,2,10,,16,10,Drew Brees pass incomplete short left intended for Aaron Stecker (defended by Kenny Wright),1.710,1.030
4,2:34,3,10,,16,10,Drew Brees pass complete deep middle to Devery Henderson for 16 yards (tackle by Sean Taylor),1.030,3.310
4,2:00,1,10,WAS 34,16,10,Drew Brees pass complete short right to Reggie Bush for 15 yards (tackle by Marcus Washington),3.310,4.310
4,1:20,1,10,WAS 19,16,10,Drew Brees pass incomplete deep right intended for Marques Colston (defended by Shawn Springs),4.310,3.750
4,1:15,2,10,WAS 19,16,10,Reggie Bush middle for 4 yards (tackle by Andre Carter),3.750,3.580
4,1:01,,,,16,10,Timeout #2 by New Orleans Saints,0.000,3.580
4,1:01,3,6,WAS 15,16,10,Drew Brees pass complete short right to Reggie Bush for -1 yards (tackle by Andre Carter),3.580,2.380
4,0:53,4,7,WAS 16,16,10,Drew Brees pass incomplete deep left intended for Terrance Copper (defended by Carlos Rogers),2.380,0.060
4,0:47,1,10,WAS 17,16,10,Jason Campbell kneels for -2 yards,-0.060,-0.850
4,0:37,,,,16,10,Timeout #3 by New Orleans Saints,0.000,-0.850
4,0:37,2,12,WAS 15,16,10,Jason Campbell kneels for -1 yards,-0.850,-1.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
