Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
2,,,,WAS 30,13,0,"Shaun Suisham kicks off 69 yards, returned by Ahmad Bradshaw for 27 yards (tackle by Reed Doughty)",0.000,0.810
2,3:00,1,10,NYG 28,13,0,Eli Manning pass complete short right to Jeremy Shockey for 15 yards (tackle by Khary Campbell),0.810,1.800
2,2:31,1,10,NYG 43,13,0,Brandon Jacobs right guard for 9 yards (tackle by London Fletcher),1.800,2.470
2,2:03,2,1,WAS 48,13,0,Eli Manning pass incomplete short middle intended for Brandon Jacobs,2.470,1.750
2,1:58,3,1,WAS 48,13,0,"Eli Manning pass incomplete deep left intended for Plaxico Burress (defended by LaRon Landry). Penalty on LaRon Landry: Unsportsmanlike Conduct, 15 yards",1.750,3.380
2,1:51,1,10,WAS 33,13,0,Eli Manning pass complete short right to Plaxico Burress for 12 yards,3.380,4.170
2,1:46,1,10,WAS 21,13,0,Brandon Jacobs right tackle for 4 yards (tackle by London Fletcher and Fred Smoot),4.170,4.200
2,1:32,,,,13,0,Timeout #1 by Washington Redskins,0.000,4.200
2,1:32,2,6,WAS 17,13,0,Eli Manning pass incomplete short middle intended for Brandon Jacobs (defended by Phillip Daniels),4.200,3.460
2,1:27,3,6,WAS 17,13,0,Eli Manning pass incomplete short left intended for Amani Toomer (defended by Shawn Springs),3.460,2.340
2,1:20,4,6,WAS 17,13,3,Lawrence Tynes 35 yard field goal good,2.340,3.000
2,,,,NYG 30,13,3,"Lawrence Tynes kicks off 63 yards, returned by Rock Cartwright for 21 yards (tackle by Chase Blackburn)",0.000,0.810
2,1:09,1,10,WAS 28,13,3,"Clinton Portis up the middle for 31 yards (tackle by Sam Madison). Penalty on Sam Madison: Face Mask (15 Yards), 15 yards",0.810,3.840
2,1:00,1,10,NYG 26,13,3,Clinton Portis right guard for 8 yards (tackle by Michael Strahan),3.840,4.450
2,0:30,2,2,NYG 18,13,3,Clinton Portis left end for 10 yards (tackle by Sam Madison),4.450,5.370
2,0:21,,,,13,3,Timeout #2 by Washington Redskins,0.000,5.370
2,0:21,1,8,NYG 8,13,3,Todd Collins pass incomplete short middle intended for Santana Moss,5.370,4.570
