Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3,7:58,4,22,TAM 33,10,12,Joey Slye 51 yard field goal good,1.150,3.000
3,7:51,,,CAR 35,10,12,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,7:51,1,10,TAM 25,10,12,Ronald Jones right tackle for -3 yards (tackle by Shaq Thompson),0.610,-0.340
3,7:17,2,13,TAM 22,10,12,Jameis Winston pass complete short right to Chris Godwin for 24 yards (tackle by Shaq Thompson),-0.340,1.990
3,6:35,1,10,TAM 46,10,12,"Jameis Winston pass incomplete deep left intended for Breshad Perriman (defended by Luke Kuechly). Penalty on Gerald McCoy: Unnecessary Roughness, 15 yards",1.990,2.980
3,6:29,1,10,CAR 39,10,12,Ronald Jones right guard for 12 yards (tackle by Shaq Thompson and Tre Boston),2.980,3.780
3,5:47,1,10,CAR 27,10,12,Peyton Barber right guard for 2 yards (tackle by Luke Kuechly and Eric Reid),3.780,3.500
3,5:02,2,8,CAR 25,10,12,Jameis Winston right end for 9 yards (tackle by Luke Kuechly),3.500,4.510
3,4:25,1,10,CAR 16,16,12,"Peyton Barber up the middle for 16 yards, touchdown",4.510,7.000
3,4:20,,,CAR 15,17,12,Matt Gay kicks extra point good,0.000,0.000
3,4:20,,,TAM 35,17,12,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,4:20,1,10,CAR 25,17,12,Cam Newton pass complete short middle to D.J. Moore for 11 yards (tackle by Vernon Hargreaves),0.610,1.330
3,3:58,1,10,CAR 36,17,12,Cam Newton pass incomplete short right intended for Christian McCaffrey,1.330,0.790
3,3:52,2,10,CAR 36,17,12,"Cam Newton pass short middle is intercepted by Kevin Minter at CAR-44 and returned for 15 yards. Penalty on Carlton Davis: Defensive Holding, 5 yards (no play)",0.790,1.660
3,3:41,1,10,CAR 41,17,12,Christian McCaffrey up the middle for 3 yards (tackle by Kevin Minter and Lavonte David),1.660,1.530
3,3:04,2,7,CAR 44,17,12,"Cam Newton up the middle for no gain (tackle by Anthony Nelson and Lavonte David). Cam Newton fumbles (forced by Anthony Nelson), recovered by Ndamukong Suh at CAR-45 (tackle by Taylor Moton)",1.530,-2.590
