Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
4,11:11,1,10,PIT 47,13,12,Ben Roethlisberger pass complete short middle to Markus Wheaton for 13 yards (tackle by Chris Harris),2.060,2.920
4,10:32,1,10,DEN 40,13,12,Ben Roethlisberger pass complete short left to Darrius Heyward-Bey for 6 yards (tackle by Danny Trevathan),2.920,3.180
4,10:00,2,4,DEN 34,13,12,"Fitzgerald Toussaint left tackle for -1 yards (tackle by Bradley Roby). Fitzgerald Toussaint fumbles (forced by Bradley Roby), recovered by DeMarcus Ware at DEN-35 (tackle by Cody Wallace)",3.180,-1.270
4,9:52,1,10,DEN 35,13,12,C.J. Anderson left guard for 2 yards (tackle by Lawrence Timmons),1.270,0.990
4,9:19,2,8,DEN 37,13,12,"C.J. Anderson right tackle for 6 yards (tackle by William Gay). Penalty on Michael Schofield: Offensive Holding, 10 yards",0.990,0.450
4,8:44,2,12,DEN 33,13,12,Peyton Manning pass incomplete deep middle intended for Emmanuel Sanders (defended by William Gay),0.450,-0.230
4,8:37,3,12,DEN 33,13,12,Peyton Manning pass complete deep middle to Bennie Fowler for 31 yards (tackle by Robert Golden and James Harrison),-0.230,3.180
4,8:03,1,10,PIT 36,13,12,Ronnie Hillman right tackle for 3 yards (tackle by Steve McLendon),3.180,3.040
4,7:31,2,7,PIT 33,13,12,"Penalty on James Harrison: Neutral Zone Infraction, 5 yards (no play)",3.040,3.720
4,7:13,2,2,PIT 28,13,12,Ronnie Hillman left tackle for 3 yards (tackle by Steve McLendon),3.720,3.910
4,6:44,1,10,PIT 25,13,12,C.J. Anderson right end for 4 yards (tackle by Lawrence Timmons),3.910,3.900
4,6:00,2,6,PIT 21,13,12,Peyton Manning pass complete short left to Emmanuel Sanders for 7 yards (tackle by Ross Cockrell),3.900,4.650
4,5:27,1,10,PIT 14,13,12,Ronnie Hillman right tackle for 5 yards (tackle by William Gay),4.650,4.900
4,4:50,2,5,PIT 9,13,12,Ronnie Hillman left guard for 7 yards (tackle by Mike Mitchell and Bud Dupree),4.900,6.740
4,4:08,1,2,PIT 2,13,12,Ronnie Hillman right guard for no gain (tackle by Ryan Shazier),6.740,5.720
4,3:25,2,2,PIT 2,13,12,C.J. Anderson middle for 1 yard (tackle by Mike Mitchell),5.720,5.170
4,3:04,3,1,PIT 1,13,18,"C.J. Anderson middle for 1 yard, touchdown",5.170,7.000
4,3:00,3,1,PIT 1,13,18,Timeout #3 by Denver Broncos,5.170,5.170
4,3:00,3,,PIT 1,13,20,"Two Point Attempt: Peyton Manning pass complete to Demaryius Thomas, conversion succeeds",5.170,1.000
4,3:00,,,DEN 35,13,20,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
4,3:00,1,10,PIT 20,13,20,Ben Roethlisberger pass complete deep left to Martavis Bryant for 18 yards (tackle by Darian Stewart),0.280,1.470
4,2:28,1,10,PIT 38,13,20,Ben Roethlisberger pass complete short right to Martavis Bryant for 3 yards (tackle by Chris Harris),1.470,1.470
4,2:22,1,10,PIT 38,13,20,Timeout #1 by Pittsburgh Steelers,1.470,1.330
4,2:22,2,7,PIT 41,13,20,Ben Roethlisberger pass complete short middle to Fitzgerald Toussaint for 2 yards (tackle by T.J. Ward),1.330,0.890
4,2:00,3,5,PIT 43,13,20,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant,0.890,-0.520
4,1:56,4,5,PIT 43,13,20,Ben Roethlisberger sacked by DeMarcus Ware for -13 yards,-0.520,-3.580
4,1:49,1,10,PIT 30,13,20,C.J. Anderson right tackle for -1 yards (tackle by Bud Dupree),3.580,3.580
4,1:45,1,10,PIT 30,13,20,Timeout #2 by Pittsburgh Steelers,3.580,2.900
4,1:45,2,11,PIT 31,13,20,C.J. Anderson middle for no gain (tackle by Steve McLendon),2.900,2.900
4,1:41,2,11,PIT 31,13,20,Timeout #3 by Pittsburgh Steelers,2.900,2.210
4,1:41,3,11,PIT 31,13,20,C.J. Anderson right tackle for 4 yards (tackle by Ryan Shazier),2.210,1.670
4,0:57,4,7,PIT 27,13,23,Brandon McManus 45 yard field goal good,1.670,3.000
4,0:57,,,DEN 35,13,23,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
4,0:53,1,10,PIT 20,13,23,"Ben Roethlisberger pass incomplete deep middle intended for Markus Wheaton (defended by Chris Harris). Penalty on Chris Harris: Defensive Pass Interference, 22 yards (no play)",0.280,1.730
4,0:46,1,10,PIT 42,13,23,Ben Roethlisberger pass complete short right to Martavis Bryant for 7 yards,1.730,2.130
4,0:41,2,3,PIT 49,13,23,Ben Roethlisberger pass complete deep left to Martavis Bryant for 22 yards (tackle by Brandon Marshall),2.130,3.640
4,0:25,1,10,DEN 29,13,23,Ben Roethlisberger spiked the ball,3.640,3.100
4,0:24,2,10,DEN 29,16,23,Chris Boswell 47 yard field goal good,3.100,3.000
4,0:24,,,PIT 35,16,23,"Chris Boswell kicks onside 26 yards, recovered by C.J. Anderson",0.000,-1.530
4,0:14,1,10,DEN 39,16,23,Peyton Manning kneels for -1 yards,1.530,0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
