Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
4,11:54,1,10,TAM 24,14,35,Aaron Stecker up the middle for 6 yards (tackle by Larry Tripplett),0.540,0.810
4,11:10,2,4,TAM 30,14,35,Michael Pittman left guard for 5 yards (tackle by Marcus Washington and Larry Tripplett),0.810,1.270
4,10:26,1,10,TAM 35,14,35,Michael Pittman up the middle for 6 yards (tackle by Mike Doss),1.270,1.530
4,9:39,2,4,TAM 41,14,35,Michael Pittman up the middle for 7 yards (tackle by David Thornton),1.530,2.130
4,8:56,1,10,TAM 48,14,35,Aaron Stecker up the middle for 3 yards (tackle by Larry Tripplett),2.130,1.990
4,8:14,2,7,IND 49,14,35,Aaron Stecker up the middle for 1 yard (tackle by Larry Tripplett and Rob Morris),1.990,1.420
4,7:29,3,6,IND 48,14,35,Brad Johnson up the middle for 4 yards (tackle by Marcus Washington),1.420,0.330
4,6:50,4,2,IND 44,14,35,"Tom Tupa punts 28 yards, fair catch by Brad Pyatt",0.330,0.140
4,6:42,1,10,IND 16,14,35,"Peyton Manning pass complete to Ricky Williams for 7 yards (tackle by Simeon Rice and Tim Wansley). Penalty on Rick DeMulling: Offensive Holding, 8 yards (no play)",-0.140,-0.680
4,6:20,1,18,IND 8,14,35,Peyton Manning sacked by Ellis Wyms for -5 yards,-0.680,-1.730
4,5:41,2,23,IND 3,14,35,Peyton Manning pass complete to Ricky Williams for 8 yards (tackle by Warren Sapp),-1.730,-2.010
4,5:22,3,15,IND 11,20,35,"Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Ronde Barber at IND-29 and returned for 29 yards, touchdown",-2.010,7.000
4,,,,IND 2,21,35,Martin Gramatica kicks extra point good,0.000,0.000
4,,,,TAM 30,21,35,"Martin Gramatica kicks off 72 yards, returned by Brad Pyatt for 90 yards (tackle by Jermaine Phillips)",0.000,4.780
4,4:54,1,10,TAM 12,21,35,Peyton Manning pass incomplete intended for James Mungro,4.780,4.100
4,4:50,2,10,TAM 12,21,35,James Mungro up the middle for 3 yards (tackle by Chartric Darby),4.100,3.700
4,4:10,3,7,TAM 9,21,35,Peyton Manning pass complete to Troy Walters for 6 yards (tackle by Tim Wansley and John Lynch),3.700,3.060
4,3:43,4,1,TAM 3,27,35,"James Mungro up the middle for 3 yards, touchdown",3.060,7.000
4,,,,TAM 2,28,35,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,28,35,"Mike Vanderjagt kicks onside 12 yards, recovered by Idrees Bashir (onside kick successful)",0.000,1.730
4,3:37,1,10,IND 42,28,35,Peyton Manning pass complete to Troy Walters for 15 yards (tackle by Jermaine Phillips and Ronde Barber). Penalty on Simeon Rice: Defensive Offside (Declined),1.730,2.720
4,3:27,1,10,TAM 43,28,35,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Tim Wansley),2.720,3.450
4,3:17,1,10,TAM 32,28,35,Peyton Manning pass complete to Ricky Williams for no gain,3.450,2.900
4,3:07,2,10,TAM 32,28,35,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",2.900,2.230
4,3:07,2,15,TAM 37,28,35,Peyton Manning pass complete to Ricky Williams for 9 yards (tackle by Tim Wansley),2.230,2.740
4,2:55,3,6,TAM 28,28,35,Peyton Manning pass incomplete intended for Dallas Clark,2.740,1.610
4,2:38,4,6,TAM 28,34,35,"Peyton Manning pass complete to Marvin Harrison for 28 yards, touchdown",1.610,7.000
4,,,,TAM 2,35,35,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,35,35,"Mike Vanderjagt kicks onside 15 yards, recovered by Aaron Stecker",0.000,2.590
4,2:27,1,10,IND 45,35,35,Aaron Stecker up the middle for no gain (tackle by Mike Doss and David Thornton),2.590,2.040
4,2:22,,,,28,35,Timeout #3 by Indianapolis Colts,0.000,2.040
4,2:22,2,10,IND 45,35,35,Aaron Stecker right end for -2 yards (tackle by Rob Morris),2.040,1.090
4,2:04,3,12,IND 47,35,35,"Penalty on Kenyatta Walker: Unnecessary Roughness, 15 yards (no play)",1.090,-0.890
4,2:04,3,27,TAM 38,35,35,Aaron Stecker left guard for 11 yards (tackle by Raheem Brock and Rob Morris),-0.890,-0.130
4,1:59,4,16,TAM 49,35,35,"Tom Tupa punts 38 yards. Penalty on Detron Smith: Defensive Holding (Offsetting), Penalty on Aaron Stecker: Offensive Holding (Offsetting) (no play)",-0.130,-0.130
4,1:48,4,16,TAM 49,35,35,"Tom Tupa punts 36 yards, fair catch by Brad Pyatt",-0.130,0.220
4,1:41,1,10,IND 15,35,35,Peyton Manning pass incomplete intended for Ricky Williams,-0.220,-0.710
4,1:37,2,10,IND 15,35,35,"Peyton Manning pass complete to Troy Walters for 12 yards (tackle by Ronde Barber and Nate Webster). Penalty on Warren Sapp: Roughing the Passer, 15 yards",-0.710,1.730
4,1:28,1,10,IND 42,35,35,Peyton Manning pass complete to Marvin Harrison for 52 yards (tackle by Tim Wansley),1.730,5.830
4,0:57,1,6,TAM 6,35,35,Ricky Williams up the middle for 5 yards (tackle by Ronde Barber and Jermaine Phillips),5.830,5.910
4,0:38,2,1,TAM 1,38,35,"Ricky Williams for 1 yard, touchdown. Penalty on Tim Wansley: Defensive Offside (Declined)",5.910,7.000
4,,,,TAM 2,35,35,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,38,35,"Mike Vanderjagt kicks off 43 yards, returned by Aaron Stecker for 5 yards (tackle by Marcus Pollard)",0.000,1.070
4,0:26,1,10,TAM 32,38,35,Brad Johnson pass complete to Ken Dilger for 12 yards (tackle by Nick Harper),1.070,1.860
4,0:20,,,,35,35,Timeout #2 by Tampa Bay Buccaneers,0.000,1.860
4,0:20,1,10,TAM 44,38,35,Brad Johnson pass complete to Thomas Jones for 3 yards (tackle by David Thornton),1.860,1.720
4,0:10,,,,35,35,Timeout #3 by Tampa Bay Buccaneers,0.000,1.720
4,0:10,2,7,TAM 47,38,35,Brad Johnson pass complete to Ken Dilger for 10 yards (tackle by David Macklin),1.720,2.720
4,0:03,1,10,IND 43,38,35,"Martin Gramatica 62 yard field goal no good, blocked by Larry Tripplett",2.720,0.940
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,
OT,15:00,1,10,IND 30,38,35,"Mike Vanderjagt kicks off 70 yards, returned by Reggie Barlow for 30 yards (tackle by Gary Brackett)",0.940,0.940
OT,14:53,1,10,TAM 30,38,35,Brad Johnson pass complete to Jameel Cook for 3 yards (tackle by David Thornton),0.940,0.800
OT,14:13,2,7,TAM 33,38,35,Brad Johnson up the middle for 2 yards (tackle by Montae Reagor and David Thornton),0.800,0.370
OT,13:32,3,5,TAM 35,38,35,Brad Johnson pass complete to Keenan McCardell for 9 yards (tackle by David Macklin),0.370,1.860
OT,12:52,1,10,TAM 44,38,35,Brad Johnson pass complete to Keenan McCardell for 8 yards (tackle by Walt Harris),1.860,2.400
OT,12:25,2,2,IND 48,38,35,Thomas Jones right end for 1 yard (tackle by Jason Doering),2.400,1.820
OT,11:47,3,1,IND 47,38,35,Brad Johnson pass incomplete intended for Keenan McCardell,1.820,0.130
OT,11:40,4,1,IND 47,38,35,"Tom Tupa punts 30 yards. Penalty on Dominic Rhodes: Running Into the Kicker, 5 yards (no play)",0.130,2.790
OT,11:31,1,10,IND 42,38,35,Thomas Jones up the middle for 1 yard (tackle by Marcus Washington and Rob Morris),2.790,2.380
OT,10:53,2,9,IND 41,38,35,Brad Johnson pass incomplete intended for Keenan McCardell,2.380,1.680
OT,10:47,3,9,IND 41,38,35,Brad Johnson pass incomplete intended for Keenan McCardell,1.680,0.530
OT,10:40,4,9,IND 41,38,35,"Tom Tupa punts 28 yards, out of bounds",0.530,0.320
OT,10:33,1,10,IND 13,38,35,Peyton Manning pass incomplete intended for Ricky Williams (defended by Warren Sapp),-0.320,-0.770
OT,10:28,2,10,IND 13,38,35,Ricky Williams up the middle for 4 yards (tackle by Derrick Brooks and Nate Webster),-0.770,-0.940
OT,9:53,3,6,IND 17,38,35,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Nate Webster),-0.940,0.610
OT,9:17,1,10,IND 25,38,35,Peyton Manning pass complete to Dallas Clark for -1 yards (tackle by John Lynch),0.610,-0.070
OT,8:37,2,11,IND 24,38,35,Peyton Manning pass incomplete intended for Marvin Harrison,-0.070,-0.760
OT,8:31,3,11,IND 24,38,35,Peyton Manning pass complete to Reggie Wayne for 16 yards (tackle by John Lynch),-0.760,1.600
OT,7:54,1,10,IND 40,38,35,Ricky Williams up the middle for 4 yards (tackle by Derrick Brooks),1.600,1.590
OT,7:23,2,6,IND 44,38,35,Peyton Manning pass incomplete intended for Marvin Harrison,1.590,0.890
OT,7:18,3,6,IND 44,38,35,Peyton Manning pass complete to Troy Walters for 9 yards (tackle by Nate Webster and Derrick Brooks),0.890,2.460
OT,6:41,1,10,TAM 47,38,35,Peyton Manning pass incomplete intended for Reggie Wayne,2.460,1.910
OT,6:30,2,10,TAM 47,38,35,Peyton Manning pass complete to Reggie Wayne for 16 yards (tackle by Ronde Barber),1.910,3.510
OT,5:52,1,10,TAM 31,38,35,James Mungro left guard for 1 yard (tackle by Ronde Barber),3.510,3.100
OT,5:07,2,9,TAM 30,38,35,James Mungro up the middle for 5 yards (tackle by Jermaine Phillips),3.100,3.070
OT,4:27,3,4,TAM 25,38,35,James Mungro up the middle for 3 yards (tackle by Ellis Wyms and Warren Sapp),3.070,2.140
