Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
4,12:53,1,10,ARI 45,24,17,Drew Stanton pass complete short right to Will Heller for no gain,2.590,2.040
4,12:08,2,10,ARI 45,24,17,Aaron Brown right end for -3 yards (tackle by Darnell Dockett),2.040,0.960
4,11:27,3,13,ARI 48,24,17,Drew Stanton pass incomplete short left intended for Derrick Williams,0.960,0.070
4,11:21,4,13,ARI 48,24,17,"Nick Harris punts 31 yards, muffed catch by Steve Breaston, recovered by Zack Follett and returned for no gain",0.070,4.440
4,11:12,1,10,ARI 17,24,17,Drew Stanton pass incomplete short middle intended for Maurice Morris,4.440,3.850
4,11:07,2,10,ARI 17,24,17,Maurice Morris left end for 4 yards (tackle by Chike Okeafor),3.850,3.680
4,10:27,3,6,ARI 13,24,17,Drew Stanton right end for 5 yards (tackle by Chike Okeafor and Karlos Dansby),3.680,2.990
4,9:41,,,,24,17,Timeout #1 by Detroit Lions,0.000,2.990
4,9:41,4,1,ARI 8,24,17,Jerome Felton left tackle for no gain (tackle by Darnell Dockett),2.990,0.380
4,9:34,1,10,ARI 8,24,17,Beanie Wells right end for 2 yards (tackle by Larry Foote),-0.380,-0.630
4,8:54,2,8,ARI 10,24,17,"Kurt Warner pass incomplete short right intended for Jason Wright. Penalty on Kurt Warner: Intentional Grounding, 5 yards",-0.630,-1.770
4,8:49,3,13,ARI 5,24,17,Kurt Warner pass complete short right to Tim Hightower for 6 yards (tackle by Jordon Dizon),-1.770,-2.490
4,8:12,4,7,ARI 11,24,17,"Ben Graham punts 57 yards, returned by Phillip Buchanon for 10 yards (tackle by Sean Morey)",-2.490,-1.730
4,8:06,1,10,DET 42,24,17,Drew Stanton pass complete short left to Maurice Morris for 8 yards (tackle by Calais Campbell),1.730,2.270
4,7:27,2,2,,24,17,Drew Stanton pass incomplete deep left intended for Calvin Johnson,2.270,1.550
4,7:20,3,2,,24,17,Drew Stanton pass complete short middle to Calvin Johnson for 24 yards (tackle by Rashad Johnson),1.550,3.840
4,6:38,1,10,ARI 26,24,17,"Penalty on Calvin Johnson: False Start, 5 yards (no play)",3.840,3.510
4,6:22,1,15,ARI 31,24,17,Drew Stanton pass complete short left to Maurice Morris for 7 yards (tackle by Alan Branch),3.510,3.570
4,5:48,2,8,ARI 24,24,17,Drew Stanton pass complete short left to Maurice Morris for 6 yards (tackle by Clark Haggans and Bryan Robinson),3.570,3.750
4,5:08,3,2,ARI 18,24,17,Drew Stanton pass complete short middle to Jake Nordin for 12 yards (tackle by Dominique Rodgers-Cromartie),3.750,5.830
4,4:24,1,6,ARI 6,24,17,Drew Stanton pass complete short left to Derrick Williams for 5 yards (tackle by Bryant McFadden),5.830,5.910
,,,,,,,"ARI challenged the runner was down by contact ruling, and the play was upheld.",,
4,3:48,2,1,ARI 1,24,23,"Drew Stanton middle for 1 yard, touchdown",5.910,7.000
4,,,,ARI 2,24,24,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,24,24,"Jason Hanson kicks off 67 yards, returned by LaRod Stephens-Howling for 39 yards (tackle by DeAndre Levy)",0.000,1.730
4,3:39,1,10,ARI 42,24,24,Kurt Warner pass complete short left to Larry Fitzgerald for 13 yards (tackle by Anthony Henry),1.730,2.590
4,3:02,1,10,DET 45,24,24,Beanie Wells left tackle for 33 yards (tackle by Louis Delmas),2.590,4.780
4,2:48,,,,24,24,Timeout #2 by Detroit Lions,0.000,4.780
4,2:48,1,10,DET 12,24,24,Beanie Wells right end for 4 yards (tackle by Marvin White),4.780,4.830
4,2:09,2,6,DET 8,24,24,Tim Hightower right end for 3 yards (tackle by Larry Foote and Louis Delmas),4.830,4.610
4,1:59,3,3,DET 5,30,24,"Anquan Boldin left end for 5 yards, touchdown",4.610,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,DET 2,31,24,Mike Nugent kicks extra point good,0.000,0.000
4,,,,ARI 30,31,24,"Mike Nugent kicks off 65 yards, returned by Derrick Williams for 26 yards (tackle by Monty Beisel)",0.000,1.000
4,1:46,1,10,DET 31,31,24,Drew Stanton pass complete short right to Calvin Johnson for 3 yards (tackle by Dominique Rodgers-Cromartie),1.000,0.870
4,1:24,2,7,DET 34,31,24,Drew Stanton pass incomplete short left intended for Derrick Williams,0.870,0.170
4,1:20,3,7,DET 34,31,24,Drew Stanton middle for 4 yards (tackle by Karlos Dansby),0.170,-0.850
4,1:12,,,,31,24,Timeout #3 by Detroit Lions,0.000,-0.850
4,1:12,4,3,DET 38,31,24,Drew Stanton pass incomplete short middle intended for Bryant Johnson (defended by Rashad Johnson),-0.850,-3.050
4,1:06,1,10,DET 38,31,24,Kurt Warner kneels for -1 yards,3.050,2.370
4,0:36,2,11,DET 39,31,24,Kurt Warner kneels for -1 yards,2.370,1.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
