Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
3,9:06,1,10,NOR 32,17,10,Drew Brees pass complete short left to Jimmy Graham for 13 yards (tackle by Dawan Landry),1.070,1.930
3,8:32,1,10,NOR 45,17,10,Pierre Thomas up the middle for 7 yards (tackle by Paul Posluszny and William Middleton),1.930,2.330
3,8:00,2,3,JAX 48,17,10,Drew Brees pass complete short right to Jimmy Graham for 8 yards (tackle by Paul Posluszny),2.330,2.920
3,7:27,1,10,JAX 40,17,10,Drew Brees pass complete short left to Robert Meachem for 8 yards (tackle by D'Anthony Smith),2.920,3.450
3,6:44,2,2,JAX 32,17,10,Drew Brees pass complete short left to Jimmy Graham for -1 yards (tackle by Dwight Lowery),3.450,2.610
3,6:02,3,3,JAX 33,17,10,Drew Brees pass complete short middle to Marques Colston for 8 yards (tackle by Clint Session),2.610,3.910
3,5:29,1,10,JAX 25,17,10,Darren Sproles left end for 5 yards (tackle by Jeremy Mincey),3.910,4.040
3,4:53,2,5,JAX 20,17,10,Darren Sproles up the middle for -1 yards (tackle by Jeremy Mincey),4.040,3.200
3,4:20,,,,17,10,Timeout #1 by Jacksonville Jaguars,0.000,3.200
3,4:20,3,6,JAX 21,17,10,Drew Brees pass incomplete short left intended for Jimmy Graham,3.200,2.080
3,4:16,4,6,JAX 21,20,10,John Kasay 39 yard field goal good,2.080,3.000
3,,,,NOR 35,20,10,"Thomas Morstead kicks off 68 yards, returned by Deji Karim for 30 yards (tackle by Leigh Torrence)",0.000,0.740
3,4:06,1,10,JAX 27,20,10,Blaine Gabbert pass incomplete deep left intended for Jason Hill,0.740,0.200
3,4:01,2,10,JAX 27,20,10,Maurice Jones-Drew up the middle for 6 yards (tackle by Roman Harper and Jonathan Vilma),0.200,0.300
3,3:23,3,4,JAX 33,20,10,Blaine Gabbert pass incomplete deep left intended for Maurice Jones-Drew,0.300,-1.180
3,3:16,4,4,JAX 33,20,10,Matt Turk punts 29 yards,-1.180,-1.470
3,3:10,1,10,NOR 38,20,10,Mark Ingram left end for no gain (tackle by Jeremy Mincey),1.470,0.920
3,2:35,2,10,NOR 38,20,10,Drew Brees pass complete short middle to Mark Ingram for 2 yards (tackle by Paul Posluszny),0.920,0.500
3,1:52,3,8,NOR 40,20,10,Drew Brees pass complete short middle to Pierre Thomas for 7 yards (tackle by Dawan Landry and Dwight Lowery),0.500,-0.260
3,1:12,4,1,NOR 47,20,10,Mark Ingram up the middle for 1 yard (tackle by D'Anthony Smith),-0.260,2.130
3,0:31,1,10,NOR 48,20,10,Mark Ingram up the middle for 4 yards (tackle by Paul Posluszny),2.130,2.120
Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,JAX 48,20,10,Drew Brees pass complete short left to Robert Meachem for 9 yards (tackle by D'Anthony Smith),2.120,2.980
4,14:31,1,10,JAX 39,20,10,Drew Brees pass complete deep middle to Jimmy Graham for 29 yards (tackle by Paul Posluszny),2.980,4.910
4,14:01,1,10,JAX 10,20,10,Pierre Thomas up the middle for 8 yards (tackle by Dwight Lowery and Dawan Landry),4.910,5.720
4,13:32,2,2,JAX 2,20,10,Pierre Thomas up the middle for no gain (tackle by D'Anthony Smith),5.720,4.950
4,12:53,3,2,JAX 2,20,10,Drew Brees pass incomplete short middle intended for Lance Moore (defended by Paul Posluszny),4.950,3.250
4,12:49,4,2,JAX 2,23,10,John Kasay 21 yard field goal good,3.250,3.000
4,,,,NOR 35,23,10,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
4,12:46,1,10,JAX 20,23,10,Maurice Jones-Drew right end for 4 yards (tackle by Jonathan Vilma),0.280,0.270
4,12:21,2,6,JAX 24,23,10,Blaine Gabbert pass incomplete short middle intended for Mike Thomas (defended by Jabari Greer),0.270,-0.430
4,12:15,3,6,JAX 24,23,10,Blaine Gabbert sacked by Will Smith for -8 yards,-0.430,-2.390
4,11:56,4,14,JAX 16,23,10,"Matt Turk punts 53 yards, returned by Darren Sproles for 9 yards (tackle by Jeremy Cain)",-2.390,-1.600
4,11:43,1,10,NOR 40,23,10,Drew Brees for 5 yards (tackle by Rashean Mathis),1.600,1.730
4,11:16,2,5,NOR 45,23,10,Mark Ingram up the middle for 3 yards (tackle by Leger Douzable),1.730,1.420
4,10:40,3,2,NOR 48,23,10,Darren Sproles up the middle for 3 yards (tackle by Leger Douzable),1.420,2.320
