Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
4,2:46,2,8,DEN 40,26,24,"Jacob Hester left end for 3 yards (tackle by Mario Haggan). Penalty on D.J. Williams: Unnecessary Roughness, 15 yards",2.510,4.110
4,2:36,1,10,DEN 22,26,24,Jacob Hester left end for no gain (tackle by Rahim Moore and Joe Mays),4.110,3.560
4,2:00,2,10,DEN 22,26,24,Jacob Hester up the middle for 3 yards (tackle by Marcus Thomas),3.560,3.260
4,1:13,3,7,DEN 19,26,24,Jacob Hester left tackle for 2 yards (tackle by Marcus Thomas and Ryan McBean),3.260,2.360
4,0:28,,,,26,24,Timeout #1 by San Diego Chargers,0.000,2.360
4,0:28,4,5,DEN 17,29,24,Nick Novak 35 yard field goal good,2.360,3.000
4,,,,SDG 35,29,24,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
4,0:24,1,10,DEN 20,29,24,Tim Tebow pass complete deep right to Brandon Lloyd for 20 yards,0.280,1.600
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
4,0:19,1,10,DEN 40,29,24,Tim Tebow pass complete deep right to Daniel Fells for 31 yards (tackle by Takeo Spikes),1.600,3.640
4,0:02,1,10,SDG 29,29,24,Tim Tebow spiked the ball,3.640,3.100
4,0:01,,,,29,24,Timeout #2 by San Diego Chargers,0.000,3.100
4,0:01,2,10,SDG 29,29,24,Tim Tebow pass incomplete deep right intended for Matt Willis,3.100,2.410
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
