Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
4,14:01,2,7,CAR 35,14,28,Teddy Bridgewater pass complete short middle to Mike Davis for 8 yards (tackle by Isaiah Simmons),0.930,1.800
4,13:20,1,10,CAR 43,14,28,Mike Davis right tackle for 18 yards (tackle by Curtis Riley),1.800,2.980
4,12:36,1,10,ARI 39,14,28,Teddy Bridgewater pass complete short left to Ian Thomas for 3 yards (tackle by Charles Washington),2.980,2.850
4,11:48,2,7,ARI 36,14,28,Teddy Bridgewater pass complete short left to Robby Anderson for 5 yards (tackle by Jordan Hicks),2.850,2.810
4,11:26,3,2,ARI 31,14,28,Reggie Bonnafon up the middle for 5 yards (tackle by De'Vondre Campbell),2.810,3.840
4,10:43,1,10,ARI 26,14,28,Mike Davis up the middle for 2 yards (tackle by Jordan Hicks),3.840,3.570
4,9:58,2,8,ARI 24,14,28,Teddy Bridgewater pass complete short left to D.J. Moore for 8 yards (tackle by Byron Murphy),3.570,4.510
4,9:16,1,10,ARI 16,14,28,Curtis Samuel right end for -4 yards (tackle by Jordan Hicks),4.510,3.420
4,8:32,2,14,ARI 20,14,28,Teddy Bridgewater left end for 11 yards (tackle by Dre Kirkpatrick),3.420,4.390
4,7:54,,,,,,Timeout #1 by Carolina Panthers,,
4,7:54,3,3,ARI 9,14,28,Teddy Bridgewater pass incomplete short right intended for Mike Davis,4.390,2.930
4,7:49,4,3,ARI 9,14,31,Joey Slye 27 yard field goal good,2.930,3.000
4,7:45,,,CAR 35,14,31,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,7:45,1,10,ARI 25,14,31,Kyler Murray pass complete short right to Andy Isabella for 1 yard (tackle by Corn Elder),0.610,0.200
4,7:20,2,9,ARI 26,14,31,Kyler Murray pass incomplete short middle intended for Chase Edmonds,0.200,-0.490
4,7:15,3,9,ARI 26,14,31,"Penalty on D.J. Humphries: False Start, 5 yards (no play)",-0.490,-1.150
4,7:15,3,14,ARI 21,14,31,Kyler Murray pass incomplete short right intended for DeAndre Hopkins,-1.150,-1.960
4,7:06,4,14,ARI 21,14,31,"Andy Lee punts 42 yards, returned by Pharoh Cooper for no gain (tackle by Tanner Vallejo)",-1.960,-1.400
4,6:56,1,10,CAR 37,14,31,Teddy Bridgewater pass incomplete short left intended for Curtis Samuel,1.400,0.860
4,6:52,2,10,CAR 37,14,31,Teddy Bridgewater pass complete short right to Reggie Bonnafon for 15 yards (tackle by Curtis Riley),0.860,2.390
4,6:03,1,10,ARI 48,14,31,Reggie Bonnafon up the middle for no gain (tackle by De'Vondre Campbell and Chandler Jones),2.390,1.850
4,5:58,,,,,,Timeout #1 by Arizona Cardinals,,
4,5:58,2,10,ARI 48,14,31,Reggie Bonnafon up the middle for 22 yards (tackle by Deionte Thompson),1.850,3.840
4,5:11,1,10,ARI 26,14,31,Reggie Bonnafon left tackle for 1 yard (tackle by Deionte Thompson and Zach Allen),3.840,3.430
