Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
4,12:47,1,10,ATL 41,9,28,Tom Brady pass complete short right to James White for 9 yards (tackle by Robert Alford),2.850,3.520
4,12:24,2,1,ATL 32,9,28,Tom Brady pass incomplete short middle intended for Danny Amendola,3.520,2.810
4,12:20,3,1,ATL 32,9,28,Tom Brady pass complete deep right to Martellus Bennett for 25 yards (tackle by Keanu Neal),2.810,5.600
4,11:48,1,7,ATL 7,9,28,Tom Brady sacked by Grady Jarrett for -5 yards,5.600,3.860
4,11:07,2,12,ATL 12,9,28,Tom Brady pass complete short left to James White for 2 yards (tackle by Jalen Collins and De'Vondre Campbell),3.860,3.130
4,10:25,3,10,ATL 10,9,28,Tom Brady sacked by Grady Jarrett for -5 yards,3.130,2.440
4,9:48,4,15,ATL 15,12,28,Stephen Gostkowski 33 yard field goal good,2.440,3.000
4,9:44,,,NWE 35,12,28,"Stephen Gostkowski kicks off 48 yards, returned by Justin Hardy for 10 yards (tackle by Barkevious Mingo)",0.000,0.740
4,9:40,1,10,ATL 27,12,28,Tevin Coleman right end for 8 yards (tackle by Patrick Chung),0.740,1.280
4,9:00,2,2,ATL 35,12,28,Tevin Coleman middle for 1 yard (tackle by Trey Flowers and Logan Ryan),1.280,0.700
4,8:31,3,1,ATL 36,12,28,"Matt Ryan sacked by Dont'a Hightower for -11 yards. Matt Ryan fumbles (forced by Dont'a Hightower), recovered by Alan Branch at ATL-25 (tackle by Chris Chester)",0.700,-3.910
4,8:24,1,10,ATL 25,12,28,Tom Brady sacked by Dwight Freeney for -5 yards,3.910,2.690
4,7:41,2,15,ATL 30,12,28,Tom Brady pass complete short middle to James White for 4 yards (tackle by Keanu Neal),2.690,2.540
4,7:03,3,11,ATL 26,12,28,Tom Brady pass complete short left to Malcolm Mitchell for 12 yards (tackle by C.J. Goodwin),2.540,4.650
4,6:34,1,10,ATL 14,12,28,Tom Brady pass complete short left to Danny Amendola for 8 yards (tackle by Ricardo Allen),4.650,5.470
4,6:00,2,2,ATL 6,18,28,"Tom Brady pass complete short left to Danny Amendola for 6 yards, touchdown",5.470,7.000
4,5:56,,,ATL 2,20,28,"Two Point Attempt: James White middle, conversion succeeds",0.000,1.000
4,5:56,,,NWE 35,20,28,"Stephen Gostkowski kicks off 62 yards, returned by Justin Hardy for 7 yards (tackle by Jonathan Jones)",0.000,-0.380
4,5:53,1,10,ATL 10,20,28,Matt Ryan pass complete short left to Devonta Freeman for 39 yards (tackle by Elandon Roberts),-0.380,2.190
4,5:18,1,10,ATL 49,20,28,Devonta Freeman right end for 2 yards (tackle by Jabaal Sheard and Patrick Chung),2.190,1.920
4,4:47,2,8,NWE 49,20,28,Matt Ryan pass complete deep right to Julio Jones for 27 yards,1.920,4.110
4,4:40,1,10,NWE 22,20,28,Devonta Freeman left end for -1 yards (tackle by Devin McCourty),4.110,3.430
4,3:56,2,11,NWE 23,20,28,Matt Ryan sacked by Trey Flowers for -12 yards,3.430,1.160
4,3:50,,,,20,28,Timeout #1 by New England Patriots,0.000,-1.160
4,3:50,3,23,NWE 35,20,28,"Matt Ryan pass complete short left to Mohamed Sanu for 9 yards (tackle by Logan Ryan). Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",1.160,-0.160
4,3:44,3,33,NWE 45,20,28,Matt Ryan pass incomplete short left intended for Taylor Gabriel,-0.160,0.270
4,3:38,4,33,NWE 45,20,28,"Matthew Bosher punts 36 yards, fair catch by Julian Edelman",0.270,0.380
4,3:30,1,10,NWE 9,20,28,Tom Brady pass incomplete short right intended for James White,-0.380,-0.780
4,3:24,2,10,NWE 9,20,28,Tom Brady pass incomplete deep right intended for Chris Hogan,-0.780,-1.420
4,3:17,3,10,NWE 9,20,28,Tom Brady pass complete short right to Chris Hogan for 16 yards (tackle by Jalen Collins),-1.420,0.610
4,2:38,1,10,NWE 25,20,28,Tom Brady pass incomplete short middle intended for Julian Edelman (defended by Robert Alford),0.610,0.060
4,2:34,2,10,NWE 25,20,28,Tom Brady pass complete short left to Malcolm Mitchell for 11 yards (tackle by Jalen Collins),0.060,1.330
4,2:28,1,10,NWE 36,20,28,Tom Brady pass complete deep middle to Julian Edelman for 23 yards (tackle by Keanu Neal),1.330,2.850
,,,,,,,"ATL challenged the pass completion ruling, and the play was upheld.",,
4,2:03,1,10,ATL 41,20,28,Tom Brady pass complete deep right to Danny Amendola for 20 yards (tackle by Brian Poole),2.850,4.170
4,1:57,1,10,ATL 21,20,28,Tom Brady pass complete short right to James White for 13 yards (tackle by Brian Poole and Ricardo Allen),4.170,5.370
4,1:25,1,8,ATL 8,20,28,Tom Brady pass complete short right to James White for 7 yards (tackle by Deion Jones),5.370,5.910
4,1:00,2,1,ATL 1,26,28,"James White right guard for 1 yard, touchdown",5.910,7.000
4,0:57,,,ATL 2,28,28,"Two Point Attempt: Tom Brady pass complete to Danny Amendola, conversion succeeds. Penalty on Dwight Freeney: Defensive Offside, 5 yards",0.000,1.000
4,0:57,,,NWE 40,28,28,"Stephen Gostkowski kicks off 60 yards, returned by Eric Weems for 11 yards (tackle by Brandon Bolden)",0.000,-0.370
4,0:52,1,10,ATL 11,28,28,Matt Ryan pass complete short left to Mohamed Sanu for 12 yards (tackle by Logan Ryan),-0.370,0.480
4,0:32,1,10,ATL 23,28,28,Matt Ryan pass complete short right to Austin Hooper for 4 yards (tackle by Malcolm Butler),0.480,0.470
4,0:19,2,6,ATL 27,28,28,Matt Ryan spiked the ball,0.470,-0.230
4,0:18,3,6,ATL 27,28,28,Matt Ryan pass incomplete deep left intended for Austin Hooper,-0.230,-1.570
4,0:11,4,6,ATL 27,28,28,"Matthew Bosher punts 38 yards, fair catch by Julian Edelman",-1.570,-1.270
4,0:03,1,10,NWE 35,28,28,Dion Lewis for 13 yards,1.270,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
,,,,,,,"Patriots won the coin toss, Patriots to receive the overtime kickoff.",,
OT,15:00,,,ATL 35,28,28,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.610
OT,15:00,1,10,NWE 25,28,28,Tom Brady pass complete short left to James White for 6 yards (tackle by Deion Jones),0.610,0.870
OT,14:26,2,4,NWE 31,28,28,Tom Brady pass complete short right to Danny Amendola for 14 yards,0.870,1.930
OT,13:59,1,10,NWE 45,28,28,Tom Brady pass complete short left to Chris Hogan for 18 yards (tackle by Keanu Neal and Deion Jones),1.930,3.120
OT,13:12,1,10,ATL 37,28,28,Tom Brady pass complete short left to James White for -3 yards (tackle by Deion Jones),3.120,2.170
OT,12:37,2,13,ATL 40,28,28,Tom Brady pass complete short left to Julian Edelman for 15 yards (tackle by Robert Alford),2.170,3.910
OT,11:56,1,10,ATL 25,28,28,James White right end for 10 yards (tackle by Robert Alford),3.910,4.580
OT,11:18,1,10,ATL 15,28,28,"Tom Brady pass incomplete short right intended for Martellus Bennett (defended by De'Vondre Campbell). Penalty on De'Vondre Campbell: Defensive Pass Interference, 13 yards (no play)",4.580,6.740
OT,11:13,1,2,ATL 2,28,28,Tom Brady pass incomplete short right intended for Martellus Bennett (defended by Vic Beasley),6.740,5.720
OT,11:08,2,2,ATL 2,34,28,"James White right end for 2 yards, touchdown",5.720,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
