Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
3,10:25,2,8,STL 46,0,21,Joey Harrington pass incomplete short right intended for Laurent Robinson (defended by Will Witherspoon),2.120,1.420
3,10:20,3,8,STL 46,0,21,Joey Harrington pass complete short right to Joe Horn for 12 yards (tackle by Corey Chavous),1.420,3.310
3,9:47,1,10,STL 34,0,21,Joey Harrington pass complete short middle to Roddy White for 14 yards (tackle by O.J. Atogwe),3.310,4.240
3,9:17,1,10,STL 20,0,21,Jerious Norwood left guard for -3 yards (tackle by Adam Carriker),4.240,3.290
3,8:39,2,13,STL 23,0,21,Joey Harrington pass incomplete short left intended for Laurent Robinson (defended by Fakhir Brown),3.290,2.610
3,8:34,3,13,STL 23,0,21,Joey Harrington pass incomplete short left intended for Michael Jenkins,2.610,1.930
3,8:29,4,13,STL 23,3,21,Morten Andersen 41 yard field goal good,1.930,3.000
3,,,,ATL 30,3,21,"Michael Koenen kicks off 71 yards, returned by Brandon Williams for 15 yards (tackle by Tony Taylor)",0.000,-0.280
3,8:18,1,10,STL 14,3,21,Steven Jackson right guard for 6 yards (tackle by DeAngelo Hall),-0.280,0.150
3,7:40,2,4,STL 20,3,21,Gus Frerotte pass complete short right to Steven Jackson for 25 yards (tackle by Demorrio Williams),0.150,1.930
3,7:11,1,10,STL 45,3,21,Gus Frerotte pass incomplete short middle intended for Randy McMichael,1.930,1.380
3,7:05,2,10,STL 45,3,21,Steven Jackson left end for 1 yard (tackle by Michael Boley),1.380,0.830
3,6:22,3,9,STL 46,3,21,Gus Frerotte sacked by Chauncey Davis for -7 yards,0.830,-0.780
3,5:55,4,16,STL 39,3,21,"Donnie Jones punts 38 yards, returned by Adam Jennings for 12 yards (tackle by Tim McGarigle)",-0.780,-1.270
3,5:45,1,10,ATL 35,3,21,Joey Harrington pass incomplete short middle intended for Warrick Dunn,1.270,0.720
3,5:40,2,10,ATL 35,3,21,Joey Harrington pass incomplete short right intended for Joe Horn (defended by Chris Draft),0.720,0.040
3,5:36,3,10,ATL 35,3,21,Joey Harrington sacked by Chris Draft for -8 yards,0.040,-1.570
3,5:08,,,,3,21,Timeout #1 by St. Louis Rams,0.000,-1.570
3,5:08,4,18,ATL 27,3,21,"Michael Koenen punts 50 yards, returned by Brandon Williams for 6 yards (tackle by Michael Boley)",-1.570,-0.870
3,4:59,1,10,STL 29,3,21,Gus Frerotte pass complete short middle to Antonio Pittman for 4 yards (tackle by Demorrio Williams),0.870,0.870
3,4:24,2,6,STL 33,3,21,Antonio Pittman right guard for 6 yards (tackle by Michael Boley),0.870,1.530
3,3:43,1,10,STL 39,3,21,Gus Frerotte pass complete short right to Randy McMichael for 9 yards (tackle by Keith Brooking),1.530,2.200
3,3:03,2,1,STL 48,3,21,Antonio Pittman left tackle for 6 yards (tackle by Jonathan Babineaux),2.200,2.520
3,2:26,1,10,ATL 46,3,21,Gus Frerotte pass incomplete deep middle intended for Torry Holt is intercepted by Lawyer Milloy at ATL-15 and returned for 19 yards (tackle by Brian Leonard),2.520,-1.200
3,2:12,1,10,ATL 34,3,21,Warrick Dunn right guard for 6 yards (tackle by Chris Draft),1.200,1.470
3,1:36,2,4,ATL 40,3,21,Joey Harrington pass incomplete deep left intended for Roddy White is intercepted by Fakhir Brown at STL-32,1.470,-1.070
3,1:30,1,10,STL 32,3,21,Steven Jackson right end for no gain (tackle by Tim Anderson),1.070,0.530
3,0:50,2,10,STL 32,3,21,Gus Frerotte pass complete short left to Torry Holt for 8 yards (tackle by Lewis Sanders),0.530,0.890
