Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
3,13:16,1,10,LVR 16,14,17,"Jarrett Stidham aborted snap, recovered by Jarrett Stidham at LV-15",-0.140,-0.780
3,12:35,2,11,LVR 15,14,17,Jarrett Stidham pass incomplete short left intended for Josh Jacobs,-0.780,-1.470
3,12:30,3,11,LVR 15,14,17,Jarrett Stidham pass complete short left to Hunter Renfrow for 4 yards (tackle by Fred Warner),-1.470,-2.140
3,12:22,4,7,LVR 19,14,17,"Penalty on Fred Warner: Face Mask (15 Yards), 15 yards (accepted) (no play)",-2.140,1.200
3,12:04,1,10,LVR 34,14,17,Jarrett Stidham pass complete short left to Hunter Renfrow for 3 yards (tackle by Charvarius Ward and Talanoa Hufanga),1.200,1.060
3,11:19,2,7,LVR 37,14,17,Josh Jacobs up the middle for 3 yards (tackle by Fred Warner and Nick Bosa),1.060,0.760
3,10:34,3,4,LVR 40,14,23,"Jarrett Stidham pass complete deep left to Davante Adams for 60 yards, touchdown. Penalty on Charvarius Ward: Illegal Contact, 5 yards (declined)",0.760,7.000
3,10:22,,,SFO 15,14,24,Daniel Carlson kicks extra point good,0.000,0.000
3,10:22,,,LVR 35,14,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,10:22,1,10,SFO 25,14,24,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Roderic Teamer and Harvey Langi),0.610,1.010
3,9:42,2,3,SFO 32,14,24,Christian McCaffrey right guard for 5 yards (tackle by Roderic Teamer),1.010,1.400
3,9:08,1,10,SFO 37,14,24,Brock Purdy pass complete short right to Brandon Aiyuk for 5 yards (tackle by Harvey Langi),1.400,1.530
3,8:32,2,5,SFO 42,14,24,Brock Purdy pass complete short right to Christian McCaffrey for 15 yards (tackle by Harvey Langi),1.530,2.720
3,7:52,1,10,LVR 43,14,24,"Christian McCaffrey left tackle for no gain (tackle by Amik Robertson). Penalty on George Kittle: Offensive Holding, 10 yards (accepted) (no play)",2.720,2.060
3,7:35,1,20,SFO 47,14,24,Brock Purdy pass complete short left to Jauan Jennings for 18 yards (tackle by Duron Harmon),2.060,3.260
3,6:58,2,2,LVR 35,14,24,Tyrion Davis-Price left tackle for 5 yards (tackle by Duron Harmon),3.260,3.580
3,6:15,1,10,LVR 30,14,24,Brandon Aiyuk right end for 16 yards (tackle by Trevon Moehrig and Luke Masterson),3.580,4.650
3,5:28,1,10,LVR 14,20,24,"Christian McCaffrey right end for 14 yards, touchdown",4.650,7.000
3,5:22,,,LVR 15,21,24,Robbie Gould kicks extra point good,0.000,0.000
3,5:22,,,SFO 35,21,24,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
3,5:22,1,10,LVR 25,21,24,Jarrett Stidham pass incomplete deep right intended for Davante Adams,0.610,0.060
3,5:18,2,10,LVR 25,21,24,Josh Jacobs up the middle for -1 yards (tackle by Arik Armstead),0.060,-0.760
3,4:33,3,11,LVR 24,21,24,Jarrett Stidham pass complete short right to Davante Adams for 10 yards (tackle by Charvarius Ward),-0.760,-1.110
3,4:09,4,1,LVR 34,21,24,"AJ Cole punts 52 yards, fair catch by Ray-Ray McCloud at SF-14",-1.110,0.280
3,4:02,1,10,SFO 14,21,24,Brock Purdy pass complete short right to Brandon Aiyuk for 13 yards (tackle by Duron Harmon and Kyle Peko),-0.280,0.740
3,3:23,1,10,SFO 27,21,24,"Brock Purdy pass complete to Christian McCaffrey for no gain (tackle by Amik Robertson). Penalty on Spencer Burford: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.740,0.410
3,2:54,1,15,SFO 22,21,24,Brock Purdy pass complete deep left to Jauan Jennings for 28 yards (tackle by Nate Hobbs),0.410,2.260
3,2:33,1,10,SFO 50,21,24,Brock Purdy pass deep left intended for George Kittle is intercepted by Amik Robertson at LV-18 and returned for no gain (tackle by George Kittle),2.260,-0.040
3,2:24,1,10,LVR 18,21,24,Jarrett Stidham pass complete deep right to Darren Waller for 24 yards (tackle by Tashaun Gipson and Talanoa Hufanga),0.040,1.730
3,1:53,1,10,LVR 42,21,24,Josh Jacobs left guard for 4 yards (tackle by Arik Armstead),1.730,1.730
3,1:08,2,6,LVR 46,21,24,Josh Jacobs left tackle for 5 yards (tackle by Azeez Al-Shaair),1.730,1.690
3,0:28,3,1,SFO 49,21,24,Jarrett Stidham up the middle for 3 yards (tackle by Azeez Al-Shaair),1.690,2.520
Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 46,21,24,Jarrett Stidham pass incomplete deep left intended for Darren Waller,2.520,1.980
4,14:53,2,10,SFO 46,21,24,Jarrett Stidham pass short middle (defended by Kerry Hyder) intended for Davante Adams is intercepted by Drake Jackson at LV-42 and returned for no gain (tackle by Jarrett Stidham),1.980,-2.790
4,14:46,1,10,LVR 42,21,24,Danny Gray right end for 9 yards (tackle by Trevon Moehrig),2.790,3.460
4,14:15,2,1,LVR 33,21,24,Christian McCaffrey up the middle for 5 yards (tackle by Luke Masterson),3.460,3.710
4,13:34,1,10,LVR 28,21,24,Christian McCaffrey left guard for 3 yards (tackle by Kyle Peko and Bilal Nichols),3.710,3.570
4,12:50,2,7,LVR 25,21,24,Brock Purdy pass incomplete deep right intended for Jauan Jennings (defended by Tyler Hall),3.570,2.870
4,12:45,3,7,LVR 25,21,24,Brock Purdy pass incomplete deep left intended for George Kittle,2.870,1.800
4,12:39,4,7,LVR 25,24,24,Robbie Gould 43 yard field goal good,1.800,3.000
4,12:34,,,SFO 35,24,24,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
4,12:34,1,10,LVR 25,24,24,Brandon Bolden left tackle for 1 yard (tackle by Azeez Al-Shaair and Jimmie Ward),0.610,0.200
4,11:53,2,9,LVR 26,24,24,Jarrett Stidham pass complete short left to Mack Hollins for 11 yards (tackle by Talanoa Hufanga),0.200,1.400
4,11:22,1,10,LVR 37,24,24,"Penalty on LVR: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",1.400,1.070
4,11:22,1,15,LVR 32,24,24,Brandon Bolden right guard for 2 yards (tackle by Fred Warner and Deommodore Lenoir),1.070,0.450
4,10:42,2,13,LVR 34,24,24,Jarrett Stidham pass complete short left to Davante Adams for 2 yards (tackle by Jimmie Ward and Charvarius Ward),0.450,0.170
4,9:54,3,10,LVR 37,24,24,Jarrett Stidham pass incomplete deep left intended for Davante Adams,0.170,-0.980
4,9:49,4,10,LVR 36,24,24,AJ Cole punts 29 yards out of bounds,-0.980,-1.270
4,9:42,1,10,SFO 35,24,24,Brock Purdy pass complete short left to Ray-Ray McCloud for 42 yards (tackle by Duron Harmon),1.270,4.040
4,8:58,1,10,LVR 23,24,24,Christian McCaffrey right end for 5 yards (tackle by Bilal Nichols),4.040,4.210
4,8:15,2,5,LVR 18,24,24,Brock Purdy pass complete short middle to Brandon Aiyuk for 6 yards (tackle by Kyle Peko and Nate Hobbs),4.210,4.780
4,7:27,1,10,LVR 12,24,24,Brock Purdy pass incomplete short left intended for Brandon Aiyuk (defended by Nate Hobbs),4.780,4.100
4,7:23,2,10,LVR 12,24,24,Christian McCaffrey right guard for 6 yards (tackle by Harvey Langi and Jerry Tillery),4.100,4.380
4,6:51,,,,,,Timeout #1 by Las Vegas Raiders,,
4,6:51,3,4,LVR 6,24,24,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Tyler Hall),4.380,3.000
4,6:48,4,4,LVR 6,27,24,Robbie Gould 24 yard field goal good,3.000,3.000
4,6:44,,,SFO 35,27,24,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
4,6:44,1,10,LVR 25,27,24,Jarrett Stidham pass complete short right to Foster Moreau for 21 yards (tackle by Oren Burks),0.610,1.990
4,5:54,1,10,LVR 46,27,24,Josh Jacobs up the middle for 1 yard (tackle by Jimmie Ward),1.990,1.590
4,5:13,2,9,LVR 47,27,24,Jarrett Stidham pass complete short middle to Foster Moreau for 14 yards (tackle by Jimmie Ward),1.590,2.980
4,4:34,1,10,SFO 39,27,24,Jarrett Stidham pass incomplete short right,2.980,2.440
4,4:29,2,10,SFO 39,27,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",2.440,1.770
4,4:29,2,15,SFO 44,27,24,Jarrett Stidham pass complete short left to Josh Jacobs for 5 yards (tackle by Jimmie Ward),1.770,1.820
4,4:20,3,9,SFO 39,27,24,Jarrett Stidham pass incomplete intended for Mack Hollins (defended by Deommodore Lenoir),1.820,0.720
4,4:13,4,9,SFO 38,27,27,Daniel Carlson 57 yard field goal good,0.720,3.000
4,4:08,,,LVR 35,27,27,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,4:08,1,10,SFO 25,27,27,Brock Purdy pass incomplete short right intended for Ray-Ray McCloud,0.610,0.060
4,4:02,2,10,SFO 25,27,27,Brock Purdy pass complete short middle to Brandon Aiyuk for 23 yards (tackle by Amik Robertson),0.060,2.130
4,3:19,1,10,SFO 48,27,27,Brock Purdy pass incomplete short left intended for George Kittle,2.130,1.580
4,3:15,2,10,SFO 48,27,27,Brock Purdy pass complete short left to Christian McCaffrey for 38 yards (tackle by Tyler Hall and Roderic Teamer),1.580,4.650
4,2:23,1,10,LVR 14,33,27,"Jordan Mason left end for 14 yards, touchdown",4.650,7.000
4,2:17,,,LVR 15,34,27,Robbie Gould kicks extra point good,0.000,0.000
4,2:17,,,SFO 35,34,27,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
4,2:17,1,10,LVR 25,34,27,Jarrett Stidham pass complete short middle to Mack Hollins for 21 yards (tackle by Talanoa Hufanga),0.610,1.990
4,2:00,1,10,LVR 46,34,27,"Jarrett Stidham pass incomplete short right. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.990,1.330
4,1:53,1,20,LVR 36,34,27,"Jarrett Stidham pass complete deep right to Davante Adams for 45 yards (tackle by Azeez Al-Shaair) Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.330,4.310
4,1:18,1,10,SFO 19,34,27,"Jarrett Stidham pass incomplete deep middle intended for Darren Waller. Penalty on Fred Warner: Defensive Pass Interference, 18 yards (accepted) (no play)",4.310,6.970
