Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
3,1:27,2,7,DET 29,3,14,Fred Jackson middle for 5 yards (tackle by Kyle Vanden Bosch and Lawrence Jackson),3.310,3.270
3,0:41,3,2,DET 24,3,14,Corey McIntyre middle for 1 yard (tackle by Sammie Lee Hill),3.270,2.080
3,0:10,,,,3,14,Timeout #1 by Buffalo Bills,0.000,2.080
3,0:10,4,1,DET 23,3,14,Rian Lindell 41 yard field goal no good,2.080,-1.000
3,0:05,1,10,DET 31,3,14,Nate Burleson left end for 17 yards (tackle by Jairus Byrd),1.000,2.130
Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 48,3,14,Shaun Hill pass complete deep middle to Calvin Johnson for 18 yards (tackle by Akin Ayodele and Jairus Byrd),2.130,3.310
4,14:25,1,10,BUF 34,3,14,Jahvid Best left end for 1 yard (tackle by Reggie Torbor),3.310,2.910
4,14:01,2,9,BUF 33,3,14,Jahvid Best left tackle for -2 yards (tackle by Paul Posluszny),2.910,1.950
4,13:28,3,11,BUF 35,3,14,Shaun Hill pass complete short middle to Tony Scheffler for 4 yards (tackle by Donte Whitner),1.950,1.320
4,12:50,4,7,BUF 31,3,14,Dave Rayner 49 yard field goal no good,1.320,-1.530
4,12:45,1,10,BUF 39,3,14,Fred Jackson middle for no gain (tackle by Landon Johnson and Turk McBride),1.530,0.990
4,12:05,2,10,BUF 39,3,14,Ryan Fitzpatrick pass complete short left to Fred Jackson for -2 yards (tackle by Julian Peterson),0.990,0.040
4,11:24,3,12,BUF 37,3,14,Ryan Fitzpatrick pass complete short middle to Fred Jackson for 12 yards (tackle by Lawrence Jackson and Louis Delmas),0.040,2.190
4,10:35,1,10,BUF 49,3,14,"Quinton Ganther middle for 2 yards (tackle by Amari Spievey). Penalty on David Martin: Illegal Shift, 5 yards (no play)",2.190,1.860
4,10:13,1,15,BUF 44,3,14,Quinton Ganther left guard for -1 yards (tackle by Ndamukong Suh),1.860,0.840
4,9:28,2,16,BUF 43,3,14,Ryan Fitzpatrick pass incomplete short middle intended for Donald Jones,0.840,0.170
4,9:24,3,16,BUF 43,3,14,Fred Jackson right tackle for 4 yards (tackle by Landon Johnson and Ndamukong Suh),0.170,-0.260
4,8:44,4,12,BUF 47,3,14,Brian Moorman punts 41 yards,-0.260,0.350
4,8:37,1,10,DET 12,3,14,Shaun Hill pass complete short right to Jerome Felton for 19 yards (tackle by Jairus Byrd),-0.350,1.000
4,7:54,1,10,DET 31,3,14,"Penalty on Tony Scheffler: False Start, 5 yards (no play)",1.000,0.670
4,7:31,1,15,DET 26,3,14,Shaun Hill pass complete short right to Tony Scheffler for 18 yards (tackle by Donte Whitner and Bryan Scott),0.670,1.860
4,6:55,,,,3,14,Timeout #2 by Buffalo Bills,0.000,1.860
4,6:55,1,10,DET 44,3,14,Shaun Hill pass complete short left to Calvin Johnson for 29 yards (tackle by Donte Whitner),1.860,3.780
4,6:17,1,10,BUF 27,3,14,Shaun Hill pass incomplete short left intended for Jahvid Best,3.780,3.230
4,6:12,2,10,BUF 27,3,14,Shaun Hill pass incomplete short left intended for Brandon Pettigrew,3.230,2.540
4,6:04,3,10,BUF 27,3,14,Shaun Hill pass incomplete deep right intended for Bryant Johnson (defended by Leodis McKelvin),2.540,1.670
4,5:58,4,10,BUF 27,6,14,Dave Rayner 45 yard field goal good,1.670,3.000
4,,,,DET 30,6,14,"Dave Rayner kicks off 66 yards, returned by Leodis McKelvin for 27 yards (tackle by Landon Johnson)",0.000,1.000
4,5:45,1,10,BUF 31,6,14,Fred Jackson middle for 2 yards (tackle by Lawrence Jackson and Ndamukong Suh),1.000,0.730
4,5:01,2,8,BUF 33,6,14,Ryan Fitzpatrick pass incomplete short middle intended for Steve Johnson,0.730,0.040
4,4:57,3,8,BUF 33,6,14,Ryan Fitzpatrick pass complete deep left to Steve Johnson for 19 yards (tackle by Louis Delmas),0.040,2.390
4,4:51,1,10,DET 48,6,14,Fred Jackson middle for 6 yards (tackle by Landon Johnson and Alphonso Smith),2.390,2.660
4,4:07,2,4,DET 42,6,14,Fred Jackson middle for no gain (tackle by DeAndre Levy and Andre Fluellen),2.660,1.950
4,3:59,,,,6,14,Timeout #1 by Detroit Lions,0.000,1.950
4,3:59,3,4,DET 42,6,14,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson,1.950,0.460
4,3:52,4,4,DET 42,6,14,Brian Moorman punts 30 yards,0.460,0.350
