Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
4,4:50,2,3,MIA 3,17,30,"Kenneth Gainwell left end for 3 yards, touchdown",5.530,7.000
4,4:46,,,MIA 15,17,31,Jake Elliott kicks extra point good,0.000,0.000
4,4:46,,,PHI 35,17,31,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,4:46,1,10,MIA 25,17,31,Tua Tagovailoa pass complete short left to Jaylen Waddle for 8 yards (tackle by Josiah Scott),0.610,1.140
4,4:15,2,2,MIA 33,17,31,Tua Tagovailoa sacked by and Fletcher Cox for -2 yards and Jordan Davis for -2 yards,1.140,0.170
4,3:35,3,4,MIA 31,17,31,Tua Tagovailoa sacked by Josh Sweat for -6 yards,0.170,-1.700
4,3:23,,,,,,Timeout #3 by Miami Dolphins,,
4,3:23,,,,,,Timeout #2 by Philadelphia Eagles,,
4,3:23,4,10,MIA 25,17,31,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Eli Ricks),-1.700,-3.910
4,3:19,1,10,MIA 25,17,31,D'Andre Swift right tackle for -3 yards (tackle by Andrew Van Ginkel),3.910,2.960
4,2:36,2,13,MIA 28,17,31,D'Andre Swift left end for 22 yards (tackle by DeShon Elliott),2.960,5.830
4,2:00,1,6,MIA 6,17,31,Jalen Hurts kneels for no gain,5.830,4.950
4,1:21,2,6,MIA 6,17,31,Jalen Hurts kneels for -1 yards,4.950,3.810
4,0:40,3,7,MIA 7,17,31,Jalen Hurts kneels for -3 yards,3.810,2.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
