Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
2,2:00,3,27,MIA 14,6,14,"Jay Ajayi right guard for 7 yards (tackle by Deone Bucannon and Markus Golden). Penalty on Laremy Tunsil: Offensive Holding, 7 yards (no play)",-3.180,-4.230
2,1:55,3,34,MIA 7,6,14,Jay Ajayi right end for no gain (tackle by Calais Campbell),-4.230,0.000
2,1:49,,,,6,14,Timeout #2 by Arizona Cardinals,0.000,2.490
2,1:49,4,34,MIA 7,6,14,"Matt Darr punts 42 yards, returned by Patrick Peterson for 11 yards (tackle by Michael Thomas)",-2.490,-3.050
2,1:39,1,10,MIA 38,6,14,Carson Palmer pass incomplete deep left intended for JJ Nelson,3.050,2.510
2,1:34,2,10,MIA 38,6,14,Carson Palmer pass incomplete deep right intended for Michael Floyd,2.510,1.820
2,1:28,3,10,MIA 38,6,14,Carson Palmer pass incomplete short left intended for David Johnson,1.820,0.000
2,1:23,,,,6,14,Timeout #1 by Miami Dolphins,0.000,-0.720
2,1:23,4,10,MIA 38,9,14,Chandler Catanzaro 56 yard field goal good,0.720,3.000
2,1:18,,,ARI 35,9,14,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
2,1:18,1,10,MIA 25,9,14,"Damien Williams left guard for 5 yards (tackle by D.J. Swearinger). Penalty on Ja'Wuan James: Offensive Holding, 10 yards, Penalty on Jarvis Landry: Offensive Holding (Declined)",0.610,0.280
2,1:10,1,15,MIA 20,9,14,Damien Williams left end for -1 yards (tackle by Markus Golden),0.280,-0.810
2,0:36,2,16,MIA 19,9,14,Ryan Tannehill right end for 12 yards (tackle by Deone Bucannon),-0.810,0.170
2,0:26,3,4,MIA 31,9,14,Ryan Tannehill pass complete short right to Damien Williams for -2 yards (tackle by Deone Bucannon),0.170,0.000
2,0:19,,,,9,14,Timeout #3 by Arizona Cardinals,0.000,1.440
2,0:19,4,6,MIA 29,9,14,"Matt Darr punts 51 yards, returned by Patrick Peterson for 3 yards (tackle by Walt Aikens). Penalty on Marcus Cooper: Offensive Holding, 10 yards",-1.440,0.380
2,0:09,1,10,ARI 10,9,14,Carson Palmer kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,9,14,"Chandler Catanzaro kicks off 64 yards, returned by Kenyan Drake for 22 yards (tackle by Brandon Williams)",0.000,-0.480
3,14:51,1,10,MIA 23,9,14,Jay Ajayi middle for 2 yards (tackle by Deone Bucannon),0.480,0.200
3,14:20,2,8,MIA 25,9,14,Ryan Tannehill right end for 1 yard (tackle by D.J. Swearinger),0.200,-0.360
3,13:41,3,7,MIA 26,9,14,Ryan Tannehill pass complete short right to Jarvis Landry for 71 yards (tackle by D.J. Swearinger),-0.360,6.510
3,12:40,1,3,ARI 3,9,14,"Jay Ajayi right end for 3 yards. Penalty on Anthony Steen: Offensive Holding, 10 yards (no play)",6.510,4.530
3,12:36,1,13,ARI 13,9,14,Ryan Tannehill pass complete short left to Kenyan Drake for 3 yards (tackle by Josh Mauro),4.530,4.190
3,11:59,2,10,ARI 10,9,14,Ryan Tannehill pass complete short left to Kenny Stills for 7 yards (tackle by Marcus Cooper),4.190,4.720
3,11:59,3,3,ARI 3,9,20,"Ryan Tannehill pass complete short right to Damien Williams for 3 yards, touchdown. Penalty on Jarvis Landry: Taunting, 15 yards",4.720,7.000
3,11:17,,,ARI 15,9,21,Andrew Franks kicks extra point good,0.000,0.000
3,11:17,,,MIA 20,9,21,"Andrew Franks kicks off 74 yards, returned by Brittan Golden for 23 yards (tackle by Kenyan Drake)",0.000,-0.870
3,11:11,1,10,ARI 29,9,21,David Johnson left tackle for 7 yards (tackle by Andre Branch),0.870,1.270
3,10:33,2,3,ARI 36,9,21,David Johnson left guard for -3 yards (tackle by Ndamukong Suh and Bobby McCain),1.270,0.170
3,9:54,3,6,ARI 33,9,21,Carson Palmer pass complete short middle to David Johnson for 4 yards (tackle by Jason Jones),0.170,-0.910
3,9:22,4,2,ARI 37,9,21,"Drew Butler punts 47 yards, fair catch by Jarvis Landry",-0.910,0.140
3,9:13,1,10,MIA 16,9,21,"Ryan Tannehill for 5 yards. Ryan Tannehill fumbles, recovered by Ryan Tannehill at MIA-11",-0.140,-0.660
3,8:30,2,10,MIA 16,9,21,Ryan Tannehill pass complete short left to DeVante Parker for 3 yards (tackle by Justin Bethel),-0.660,-0.950
3,7:50,3,7,MIA 19,9,21,Ryan Tannehill pass complete short right to Kenny Stills for 14 yards (tackle by Tony Jefferson),-0.950,1.140
3,7:08,1,10,MIA 33,9,21,Jay Ajayi right end for 2 yards (tackle by Calais Campbell),1.140,0.860
3,6:29,2,8,MIA 35,9,21,Jay Ajayi right end for 4 yards (tackle by Sio Moore),0.860,0.700
3,5:49,3,4,MIA 39,9,21,Ryan Tannehill pass complete short left to Dion Sims for 2 yards (tackle by Tony Jefferson),0.700,-0.650
3,5:05,4,2,MIA 41,9,21,"Matt Darr punts 51 yards, fair catch by Patrick Peterson",-0.650,0.380
3,4:54,1,10,ARI 8,9,21,"Carson Palmer pass incomplete short right intended for Larry Fitzgerald. Penalty on Spencer Paysinger: Defensive Holding, 5 yards (no play)",-0.380,-0.320
3,4:47,1,10,ARI 13,9,21,"Carson Palmer sacked by Andre Branch for -7 yards. Carson Palmer fumbles (forced by Andre Branch), recovered by John Wetzel at ARI-8",-0.320,-1.150
3,3:59,2,15,ARI 8,9,21,"Penalty on Carson Palmer: Delay of Game, 4 yards (no play)",-1.150,-1.440
3,3:59,2,19,ARI 4,9,21,Carson Palmer pass incomplete short left intended for David Johnson (defended by Andre Branch),-1.440,-2.470
3,3:55,3,19,ARI 4,9,21,David Johnson middle for 6 yards (tackle by Ndamukong Suh),-2.470,-2.490
3,3:42,4,13,ARI 10,9,21,"Drew Butler punts 53 yards, returned by Jarvis Landry for 10 yards. Jarvis Landry fumbles, recovered by Alex Okafor at MIA-47",-2.490,2.460
3,3:04,1,10,MIA 47,9,21,"David Johnson right tackle for 2 yards (tackle by Terrence Fede and Mike Hull). Penalty on Jermaine Gresham: Taunting, 15 yards",2.460,0.160
3,2:34,2,23,ARI 40,9,21,"Carson Palmer pass complete short middle to David Johnson for 7 yards (tackle by Neville Hewitt). Penalty on Ulrick John: Offensive Holding, 10 yards (no play)",0.160,-1.190
3,2:05,2,33,ARI 30,9,21,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,-1.190,-1.810
3,2:00,3,33,ARI 30,9,21,Carson Palmer pass incomplete short right intended for Jermaine Gresham,-1.810,-1.370
3,1:55,4,33,ARI 30,9,21,"Drew Butler punts 31 yards, returned by Jarvis Landry for 5 yards (tackle by Kareem Martin)",-1.370,-1.860
3,1:46,1,10,MIA 44,9,21,Ryan Tannehill pass complete short right to DeVante Parker for 11 yards (tackle by Brandon Williams),1.860,2.590
3,1:09,1,10,ARI 45,9,21,Matt Moore for 5 yards (tackle by Tony Jefferson and Xavier Williams),2.590,2.720
3,0:32,2,5,ARI 40,9,21,Jay Ajayi middle for 1 yard (tackle by Xavier Williams),2.720,2.150
Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,ARI 39,9,21,Jay Ajayi middle for 3 yards (tackle by Tony Jefferson),2.150,0.890
4,14:34,4,1,ARI 36,9,21,"Penalty on Anthony Steen: False Start, 5 yards (no play)",0.890,0.530
4,13:56,4,6,ARI 41,9,21,Matt Darr punts 40 yards,0.530,0.380
4,13:48,1,10,ARI 1,9,21,Carson Palmer pass complete short right to Michael Floyd for 15 yards (tackle by Byron Maxwell),-0.380,-0.140
4,13:10,1,10,ARI 16,9,21,Carson Palmer middle for 6 yards (tackle by Mike Hull),-0.140,0.280
4,12:26,2,4,ARI 22,9,21,Carson Palmer pass complete short left to Larry Fitzgerald for 8 yards (tackle by Spencer Paysinger),0.280,0.940
4,11:47,1,10,ARI 30,9,21,Carson Palmer pass complete short middle to Jermaine Gresham for 8 yards (tackle by Mike Hull),0.940,1.470
4,11:11,2,2,ARI 38,9,21,Kerwynn Williams left end for 3 yards (tackle by Jason Jones),1.470,1.660
4,10:42,1,10,ARI 41,9,21,Carson Palmer pass complete short right to Jermaine Gresham for 5 yards (tackle by Byron Maxwell and Terrence Fede),1.660,1.800
4,10:01,2,5,ARI 46,9,21,Carson Palmer pass complete short left to Larry Fitzgerald for 3 yards (tackle by Neville Hewitt),1.800,1.490
4,9:27,3,2,ARI 49,9,21,"David Johnson left end for 4 yards (tackle by Tony Lippett). Penalty on Andre Branch: Defensive Offside, 5 yards (no play)",1.490,2.520
4,9:03,1,10,MIA 46,9,21,"Carson Palmer sacked by Cameron Wake for -7 yards. Penalty on Mike Hull: Illegal Contact, 5 yards (no play)",2.520,2.850
4,8:49,1,10,MIA 41,9,21,David Johnson left tackle for 2 yards (tackle by Andre Branch and Mike Hull),2.850,2.580
4,8:07,2,8,MIA 39,9,21,"Carson Palmer pass incomplete deep right intended for Larry Fitzgerald. Penalty on Byron Maxwell: Defensive Pass Interference, 16 yards (no play)",2.580,4.040
4,8:00,1,10,MIA 23,9,21,Carson Palmer pass complete short right to Jermaine Gresham for 14 yards (tackle by Spencer Paysinger),4.040,5.140
4,7:23,1,9,MIA 9,9,21,Carson Palmer pass incomplete short right intended for Darren Fells (defended by Jordan Phillips),5.140,4.380
4,7:15,2,9,MIA 9,9,21,Carson Palmer pass incomplete short middle intended for Darren Fells,4.380,3.360
4,7:11,3,9,MIA 9,15,21,"Carson Palmer pass complete short left to Brittan Golden for 9 yards, touchdown",3.360,7.000
4,7:05,,,MIA 15,15,23,"Chandler Catanzaro kicks extra point no good, blocked by Jordan Phillips, returned by Walt Aikens for defensive conversion",0.000,1.000
4,7:05,,,ARI 35,15,23,"Chandler Catanzaro kicks off 67 yards, returned by Kenyan Drake for 22 yards (tackle by Justin Bethel). Penalty on Michael Thomas: Offensive Holding, 10 yards",0.000,0.380
4,6:57,1,10,MIA 10,15,23,Jay Ajayi right end for 3 yards (tackle by Sio Moore),-0.380,-0.560
4,6:16,2,7,MIA 13,15,23,Jay Ajayi left guard for -2 yards (tackle by Chandler Jones),-0.560,-1.300
4,5:32,3,9,MIA 11,15,23,Matt Moore pass incomplete deep right intended for Damien Williams,-1.300,-2.490
4,5:24,4,9,MIA 11,15,23,Matt Darr punts 39 yards,-2.490,-2.260
4,5:14,1,10,,15,23,David Johnson right tackle for 4 yards (tackle by Andre Branch and Ndamukong Suh),2.260,2.250
4,4:34,2,6,MIA 46,15,23,Carson Palmer pass complete short left to Jermaine Gresham for 9 yards (tackle by Tony Lippett),2.250,3.120
4,4:25,1,10,MIA 37,15,23,Carson Palmer pass complete short middle to David Johnson for 12 yards (tackle by Tony Lippett and Spencer Paysinger),3.120,3.910
4,3:49,1,10,MIA 25,15,23,Kerwynn Williams left end for 11 yards (tackle by Bacarri Rambo),3.910,4.650
4,3:17,1,10,MIA 14,15,23,David Johnson left end for 6 yards (tackle by Tony Lippett),4.650,5.090
4,3:10,2,4,MIA 8,15,23,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Byron Maxwell),5.090,4.280
4,3:05,3,4,MIA 8,21,23,"Carson Palmer pass complete short middle to JJ Nelson for 8 yards, touchdown",4.280,7.000
4,3:01,,,MIA 2,23,23,"Two Point Attempt: Carson Palmer pass complete to David Johnson, conversion succeeds",0.000,1.000
4,3:01,,,ARI 35,23,23,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
4,3:01,1,10,MIA 25,23,23,Matt Moore pass incomplete short right intended for DeVante Parker (defended by Brandon Williams),0.610,0.060
4,2:58,2,10,MIA 25,23,23,Jay Ajayi right guard for 1 yard (tackle by Sio Moore),0.060,-0.490
4,2:22,3,9,MIA 26,23,23,Matt Moore pass complete short middle to Jarvis Landry for 6 yards (tackle by Patrick Peterson),-0.490,0.000
4,2:04,,,,23,23,Timeout #1 by Arizona Cardinals,0.000,1.240
4,2:04,4,3,MIA 32,23,23,"Matt Darr punts 44 yards, returned by Patrick Peterson for 1 yard (tackle by Neville Hewitt)",-1.240,-0.610
4,1:55,1,10,ARI 25,23,23,"Carson Palmer sacked by Bobby McCain for -6 yards. Carson Palmer fumbles, recovered by Carson Palmer at ARI-19",0.610,0.000
4,1:49,,,,23,23,Timeout #1 by Miami Dolphins,0.000,0.810
4,1:49,2,16,ARI 19,23,23,Carson Palmer pass complete short left to David Johnson for 5 yards (tackle by Spencer Paysinger),-0.810,-0.760
4,1:43,3,11,ARI 24,23,23,Carson Palmer pass incomplete deep right intended for Larry Fitzgerald,-0.760,-1.770
4,1:39,4,11,ARI 24,23,23,"Drew Butler punts 43 yards, returned by Jarvis Landry for 20 yards (tackle by Hakeem Valles)",-1.770,0.000
4,1:39,,,,23,23,Timeout #2 by Arizona Cardinals,0.000,-2.460
