Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
3,3:34,2,7,TAM 22,24,21,"Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Lavonte David). Penalty on Justin Jackson: Chop Block, 15 yards (no play)",3.770,1.740
3,3:05,2,22,TAM 37,24,21,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Kevin Minter),1.740,1.220
3,2:28,3,21,TAM 36,24,21,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Kevin Minter and Devin White),1.220,1.500
3,1:44,4,14,TAM 29,24,21,Michael Badgley 47 yard field goal no good,1.500,-1.400
3,1:40,1,10,TAM 37,24,21,Tom Brady pass complete deep right to Scott Miller for 44 yards (tackle by Casey Hayward),1.400,4.310
3,0:56,1,10,LAC 19,24,27,"Tom Brady pass complete deep right to Scott Miller for 19 yards, touchdown",4.310,7.000
3,0:52,,,LAC 15,24,28,Ryan Succop kicks extra point good,0.000,0.000
3,0:52,,,TAM 35,24,28,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,0:52,1,10,LAC 25,24,28,Justin Herbert pass complete short right to Keenan Allen for 3 yards (tackle by Lavonte David),0.610,0.470
3,0:16,2,7,LAC 28,24,28,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by Carlton Davis),0.470,-0.230
3,0:12,3,7,LAC 28,30,28,"Justin Herbert pass complete deep right to Jalen Guyton for 72 yards, touchdown",-0.230,7.000
3,0:00,,,TAM 15,31,28,Michael Badgley kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,LAC 35,31,28,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,15:00,1,10,TAM 25,31,28,Tom Brady pass complete short left to Scott Miller for 6 yards (tackle by Michael Davis),0.610,0.870
4,14:22,2,4,TAM 31,31,28,Tom Brady pass complete short right to Scott Miller for 7 yards (tackle by Desmond King),0.870,1.470
4,13:42,1,10,TAM 38,31,28,Tom Brady pass complete deep right to O.J. Howard for 17 yards (tackle by Nasir Adderley),1.470,2.590
4,13:04,1,10,LAC 45,31,28,"Tom Brady pass incomplete deep left intended for Mike Evans. Penalty on Mike Evans: Offensive Pass Interference, 10 yards (no play)",2.590,1.930
4,12:56,1,20,TAM 45,31,28,Tom Brady pass incomplete deep right intended for Rob Gronkowski,1.930,0.690
4,12:51,2,20,TAM 45,31,28,Tom Brady pass complete deep right to Mike Evans for 48 yards (tackle by Nasir Adderley),0.690,5.600
4,12:04,1,7,LAC 7,31,28,Ke'Shawn Vaughn left tackle for 3 yards (tackle by Michael Davis),5.600,5.340
4,11:23,2,4,LAC 4,31,28,"Penalty on Tristan Wirfs: False Start, 5 yards (no play)",5.340,4.380
4,11:10,2,9,LAC 9,31,34,"Tom Brady pass complete short left to Ke'Shawn Vaughn for 9 yards, touchdown",4.380,7.000
4,11:05,,,LAC 15,31,35,Ryan Succop kicks extra point good,0.000,0.000
4,11:05,,,TAM 35,31,35,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,11:05,1,10,LAC 25,31,35,Justin Herbert sacked by Shaquil Barrett for -3 yards,0.610,-0.340
4,10:23,2,13,LAC 22,31,35,Justin Herbert up the middle for 4 yards (tackle by Lavonte David),-0.340,-0.490
4,9:45,3,9,LAC 26,31,35,Justin Herbert pass complete short left to Joshua Kelley for 8 yards (tackle by Sean Murphy-Bunting and Lavonte David),-0.490,-1.110
4,8:56,4,1,LAC 34,31,35,"Ty Long punts 59 yards, returned by Jaydon Mickens for 14 yards (tackle by Emeke Egbule)",-1.110,-0.340
4,8:45,1,10,TAM 21,31,35,Ronald Jones up the middle for 3 yards (tackle by Damion Square and Uchenna Nwosu),0.340,0.210
4,8:02,2,7,TAM 24,31,35,Tom Brady pass complete short left to Scott Miller for 7 yards (tackle by Kyzir White),0.210,1.000
4,7:25,1,10,TAM 31,31,35,Ronald Jones right guard for 2 yards (tackle by Denzel Perryman and Linval Joseph),1.000,0.730
4,6:47,2,8,TAM 33,31,35,Ronald Jones left end for 4 yards (tackle by Kenneth Murray),0.730,0.560
4,6:09,3,4,TAM 37,31,35,Tom Brady pass complete short left to Ke'Shawn Vaughn for 13 yards (tackle by Kyzir White),0.560,2.260
4,5:21,1,10,TAM 50,31,35,Ronald Jones right tackle for -1 yards (tackle by Rayshawn Jenkins),2.260,1.580
4,4:31,2,11,TAM 49,31,35,Tom Brady pass complete deep right to Rob Gronkowski for 29 yards (tackle by Kyzir White),1.580,4.110
4,3:45,1,10,LAC 22,31,35,Ronald Jones left tackle for 10 yards (tackle by Michael Davis and Denzel Perryman),4.110,4.780
4,2:59,1,10,LAC 12,31,35,Ronald Jones up the middle for 5 yards (tackle by Jerry Tillery),4.780,5.020
4,2:52,,,,,,Timeout #1 by Los Angeles Chargers,,
4,2:52,2,5,LAC 7,31,35,Ke'Shawn Vaughn up the middle for no gain (tackle by Denzel Perryman and Linval Joseph),5.020,4.160
4,2:48,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:48,3,5,LAC 7,31,35,Tom Brady pass incomplete short middle intended for Ke'Shawn Vaughn,4.160,2.980
4,2:44,4,5,LAC 7,31,38,Ryan Succop 26 yard field goal good,2.980,3.000
4,2:40,,,TAM 35,31,38,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,2:40,1,10,LAC 25,31,38,Justin Herbert pass complete short left to Justin Jackson for 3 yards (tackle by Jamel Dean),0.610,0.470
4,2:35,2,7,LAC 28,31,38,"Justin Herbert pass deep right intended for Keenan Allen is intercepted by Carlton Davis at TB-48 and returned for 3 yards. Penalty on Devin White: Illegal Block Above the Waist, 10 yards",0.470,-1.660
4,2:22,1,10,TAM 41,31,38,Ronald Jones left guard for 2 yards (tackle by Kenneth Murray and Linval Joseph),1.660,1.390
4,2:17,,,,,,Timeout #3 by Los Angeles Chargers,,
4,2:17,2,8,TAM 43,31,38,Ronald Jones right tackle for 14 yards (tackle by Kyzir White),1.390,2.720
4,2:00,1,10,LAC 43,31,38,Tom Brady kneels for -1 yards,2.720,2.040
4,1:19,2,11,LAC 44,31,38,Tom Brady kneels for -1 yards,2.040,1.220
4,0:39,3,12,LAC 45,31,38,Tom Brady kneels for -1 yards,1.220,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
