Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
4,4:07,1,10,CIN 42,20,0,"Joe Mixon right tackle for 3 yards (tackle by Terrell Suggs). Penalty on Brent Urban: Illegal Use of Hands, 5 yards",1.730,2.260
4,4:01,1,10,,20,0,Joe Mixon right guard for 4 yards (tackle by Michael Pierce and Eric Weddle),2.260,2.250
4,3:36,2,6,BAL 46,20,0,Andy Dalton pass complete short left to Joe Mixon for 2 yards (tackle by C.J. Mosley),2.250,1.820
4,3:00,3,4,BAL 44,20,0,Andy Dalton pass incomplete short left intended for A.J. Green is intercepted by Jimmy Smith at BAL-36 and returned for 8 yards,1.820,-1.860
4,2:52,1,10,BAL 44,20,0,Javorius Allen left guard for -2 yards (tackle by Kevin Minter and Nick Vigil),1.860,1.050
4,2:09,2,12,BAL 42,20,0,Javorius Allen left tackle for 7 yards (tackle by Dre Kirkpatrick),1.050,1.290
4,2:00,3,5,BAL 49,20,0,Javorius Allen right tackle for 2 yards (tackle by Ryan Glasgow),1.290,0.000
4,1:13,,,,,,Timeout #3 by Baltimore Ravens,0.000,0.000
4,1:13,4,3,CIN 49,20,0,"Sam Koch punts 36 yards, fair catch by Alex Erickson",0.000,0.320
4,1:06,1,10,CIN 13,20,0,Joe Mixon right tackle for -4 yards (tackle by C.J. Mosley),-0.320,-1.070
4,0:25,2,14,CIN 9,20,0,Joe Mixon left end for -5 yards (tackle by Patrick Ricard),-1.070,-2.470
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
