Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
4,2:40,1,10,BAL 28,20,23,Kurt Warner pass incomplete short right intended for Bryant Johnson,3.710,3.170
4,2:36,2,10,BAL 28,20,23,Edgerrin James up the middle for 5 yards (tackle by Bart Scott),3.170,3.140
4,2:00,3,5,BAL 23,20,23,Kurt Warner pass incomplete deep right intended for Bryant Johnson (defended by Corey Ivy),3.140,1.980
4,1:58,4,5,BAL 23,23,23,Neil Rackers 41 yard field goal good,1.980,3.000
4,,,,ARI 30,23,23,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
4,1:50,1,10,BAL 20,23,23,Kyle Boller pass complete short left to Todd Heap for 7 yards (tackle by Gerald Hayes),0.280,0.680
4,1:28,2,3,BAL 27,23,23,Willis McGahee up the middle for 1 yard (tackle by Antonio Smith),0.680,0.100
4,1:22,,,,23,23,Timeout #1 by Baltimore Ravens,0.000,0.100
4,1:22,3,2,BAL 28,23,23,Kyle Boller pass complete short left to Derrick Mason for 5 yards,0.100,1.140
4,1:18,1,10,BAL 33,23,23,Kyle Boller pass complete short middle to Willis McGahee for 1 yard (tackle by Gerald Hayes),1.140,0.730
4,0:54,2,9,BAL 34,23,23,"Kyle Boller pass complete short middle to Todd Heap for 12 yards (tackle by Adrian Wilson). Penalty on Adrian Wilson: Unnecessary Roughness, 15 yards",0.730,2.980
4,0:47,1,10,ARI 39,23,23,Kyle Boller pass complete short left to Derrick Mason for 7 yards (tackle by Karlos Dansby),2.980,3.390
4,0:21,2,3,ARI 32,23,23,Musa Smith up the middle for 2 yards (tackle by Gerald Hayes),3.390,2.940
4,0:19,,,,23,23,Timeout #2 by Baltimore Ravens,0.000,2.940
4,0:19,3,1,ARI 30,23,23,Kyle Boller up the middle for 2 yards (tackle by Darnell Dockett and Antonio Smith),2.940,3.710
4,0:05,,,,23,23,Timeout #3 by Baltimore Ravens,0.000,0.000
4,0:05,,,,23,23,Timeout #2 by Arizona Cardinals,0.000,3.710
4,0:05,1,10,ARI 28,23,26,Matt Stover 46 yard field goal good,3.710,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
