Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
4,13:12,1,10,NWE 35,31,24,Mitchell Trubisky pass deep left intended for Anthony Miller is intercepted by Jonathan Jones at NE-4 and returned for no gain,3.250,0.380
4,13:05,1,10,NWE 4,31,24,Kenjon Barner right tackle for 2 yards (tackle by Danny Trevathan),-0.380,-0.630
4,12:32,2,8,NWE 6,31,24,Tom Brady pass complete short right to Josh Gordon for 6 yards (tackle by Kyle Fuller),-0.630,-0.480
4,11:56,3,2,NWE 12,31,24,Tom Brady pass complete short middle to James White for 10 yards (tackle by Danny Trevathan),-0.480,0.410
4,11:21,1,10,NWE 22,31,24,Kenjon Barner right tackle for 3 yards (tackle by Kyle Fuller),0.410,0.270
4,10:42,2,7,NWE 25,31,24,Tom Brady pass complete short middle to Chris Hogan for 19 yards (tackle by Danny Trevathan),0.270,1.860
4,10:15,1,10,NWE 44,31,24,Tom Brady pass incomplete short left intended for James White,1.860,1.320
4,10:12,2,10,NWE 44,31,24,Tom Brady pass complete deep middle to Josh Gordon for 55 yards (tackle by Bryce Callahan),1.320,6.970
4,9:24,1,1,CHI 1,31,24,Kenjon Barner left tackle for -1 yards (tackle by Eddie Goldman),6.970,5.720
4,8:44,2,2,CHI 2,37,24,"Tom Brady pass complete short middle to James White for 2 yards, touchdown",5.720,7.000
4,8:40,,,CHI 15,38,24,Stephen Gostkowski kicks extra point good,0.000,0.000
4,8:40,,,NWE 35,38,24,"Stephen Gostkowski kicks off 68 yards, returned by Benny Cunningham for no gain (tackle by Brandon King and Nate Ebner)",0.000,-0.140
4,8:34,1,10,CHI 16,38,24,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen,-0.140,-0.660
4,8:31,2,10,CHI 16,38,24,Mitchell Trubisky pass incomplete deep right intended for Taylor Gabriel,-0.660,-1.320
4,8:25,3,10,CHI 16,38,24,Mitchell Trubisky sacked by Adrian Clayborn for -10 yards,-1.320,-2.490
4,7:54,4,20,CHI 6,38,24,"Pat O'Donnell punts 37 yards, fair catch by Julian Edelman at CHI-43",-2.490,-2.720
4,7:47,1,10,CHI 43,38,24,Kenjon Barner right guard for 4 yards (tackle by Danny Trevathan),2.720,2.720
4,7:11,2,6,CHI 39,38,24,Cordarrelle Patterson left end for 4 yards (tackle by Eddie Jackson),2.720,2.540
4,6:31,3,2,CHI 35,38,24,Tom Brady pass short right (defended by Adrian Amos) intended for James Develin is intercepted by Kyle Fuller at CHI-34 and returned for 3 yards,2.540,-1.400
4,6:24,1,10,CHI 37,38,24,Mitchell Trubisky pass incomplete deep right intended for Anthony Miller,1.400,0.860
4,6:18,2,10,CHI 37,38,24,Mitchell Trubisky pass complete short middle to Taylor Gabriel for 11 yards (tackle by Patrick Chung),0.860,2.130
4,5:38,1,10,CHI 48,38,24,Jordan Howard right guard for 5 yards (tackle by Kyle Van Noy),2.130,2.260
4,5:18,2,5,NWE 47,38,24,Mitchell Trubisky pass complete short right to Trey Burton for 21 yards (tackle by Patrick Chung),2.260,3.840
4,4:52,1,10,NWE 26,38,24,Mitchell Trubisky pass complete short right to Kevin White for 10 yards (tackle by Jason McCourty),3.840,4.510
4,4:23,1,10,NWE 16,38,24,"Mitchell Trubisky pass complete short middle to Ben Braunecker for 5 yards (tackle by Patrick Chung). Penalty on Patrick Chung: Illegal Use of Hands, 5 yards (no play)",4.510,4.840
4,4:17,1,10,NWE 11,38,30,"Mitchell Trubisky pass complete short right to Trey Burton for 11 yards, touchdown",4.840,7.000
4,4:13,,,NWE 15,38,31,Cody Parkey kicks extra point good,0.000,0.000
4,4:13,,,CHI 35,38,31,"Cody Parkey kicks off 62 yards, returned by Cordarrelle Patterson for no gain (tackle by Ben Braunecker)",0.000,1.660
4,4:05,1,10,NWE 41,38,31,James White left tackle for 5 yards (tackle by Danny Trevathan),1.660,1.800
4,3:28,2,5,NWE 46,38,31,James White left tackle for 4 yards (tackle by Eddie Goldman),1.800,1.620
4,2:52,3,1,NWE 50,38,31,James White left tackle for 2 yards (tackle by Adrian Amos),1.620,2.390
4,2:45,,,,,,Timeout #1 by Chicago Bears,,
4,2:45,1,10,CHI 48,38,31,James White right end for 8 yards (tackle by Bilal Nichols),2.390,2.930
4,2:37,,,,,,Timeout #2 by Chicago Bears,,
4,2:37,2,2,CHI 40,38,31,James White right tackle for 3 yards (tackle by Leonard Floyd),2.930,3.120
4,2:30,,,,,,Timeout #3 by Chicago Bears,,
4,2:30,1,10,CHI 37,38,31,James White left tackle for 2 yards (tackle by Nick Kwiatkoski),3.120,2.840
4,2:00,2,8,CHI 35,38,31,James White right end for 2 yards (tackle by Nick Kwiatkoski),2.840,2.410
4,1:16,3,6,CHI 33,38,31,James White left end for no gain (tackle by Prince Amukamara),2.410,1.160
4,0:30,,,,,,Timeout #1 by New England Patriots,,
4,0:30,4,6,CHI 33,38,31,"Ryan Allen punts 33 yards, touchback.",1.160,-0.280
4,0:24,1,10,CHI 20,38,31,Mitchell Trubisky pass complete short middle to Anthony Miller for 14 yards (tackle by Jonathan Jones),0.280,1.200
4,0:10,1,10,CHI 34,38,31,Mitchell Trubisky spiked the ball,1.200,0.660
4,0:09,2,10,CHI 34,38,31,Mitchell Trubisky pass complete short right to Tarik Cohen for 3 yards (tackle by Keion Crossen),0.660,0.370
4,0:05,3,7,CHI 37,38,31,Mitchell Trubisky pass complete short right to Taylor Gabriel for 8 yards,0.370,1.930
4,0:02,1,10,CHI 45,38,31,Mitchell Trubisky pass complete deep middle to Kevin White for 54 yards (tackle by Duron Harmon),1.930,6.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
